X	Y_20180212_14590_10_1g	Y_20180212_14590_10_2g	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_18_1g	Y_20180212_14590_18_2g	Y_20180212_14590_18_3g	Y_20180212_14590_18_4g	Y_20180212_14590_18_5g	Y_20180212_14590_19_1g	Y_20180212_14590_19_2g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_3g	Y_20180212_14590_1_4g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_24_1g	Y_20180212_14590_24_2g	Y_20180212_14590_26_1g	Y_20180212_14590_26_2g	Y_20180212_14590_2_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_3g	Y_20180212_14590_2_4g	Y_20180212_14590_2_5g	Y_20180212_14590_30_1g	Y_20180212_14590_30_2g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_37_2g	Y_20180212_14590_38_1g	Y_20180212_14590_38_2g	Y_20180212_14590_39_1g	Y_20180212_14590_3_1g	Y_20180212_14590_3_2g	Y_20180212_14590_3_3g	Y_20180212_14590_3_4g	Y_20180212_14590_3_5g	Y_20180212_14590_3_6g	Y_20180212_14590_40_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_40_4g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_41_3g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g
0	13060.215	13944.658	13808.517	12835.466	13826.381	14231.506	13944.156	13845.27	13044.12	13301.799	14002.47	16266.401	14323.329	16033.267	13164.557	17994.619	13067.986	13514.296	15208.671	13396.885	15697.947	13864.616	16461.703	14689.976	14585.314	18750.896	13000.37	13206.183	17665.301	12307.191	13263.1	12853.535	11962.004	16778.918	14623.701	12561.7	14709.553	12994.413	11712.56	18796.062	11371.864	14771.263	13209.868	15430.8	14221.724	12574.045	14483.505	12279.818	10941.557	15913.776	14266.483	13315.756	17795.639	13706.156	13898.544	12249.812	13214.231	12987.938
0.1334	14406.968	14517.486	14046.51	14461.355	15659.877	14996.176	13600.894	15416.044	13186.465	14094.34	13789.485	15472.947	15320.339	16759.656	14379.037	18268.576	14053.193	14907.455	16972.184	13523.394	15550.642	14654.729	17179.859	14310	14749.443	19076.785	14028.015	13809.658	19385.949	12795.356	14126.769	13756.434	12761.005	15752.085	15961.433	13358.018	14824.891	12816.968	13016.623	20207.879	12258.142	15350.161	14154.626	16103.806	14065.24	13780.849	15013.42	12828.279	10722.453	15989.029	14957.707	14092.516	18183.193	14048.469	13881.926	13173.684	14265.904	13471.657
0.2668	15831.229	15637.348	15039.283	16169.851	19777.004	15060.924	15408.649	16691.842	14859.307	15483.448	14727.269	16951.072	15783.423	17936.863	16459.076	19324.471	16136.116	15654.023	20298.008	14853.373	17438.824	14949.939	18559.217	15954.226	16894.646	20656.654	14654.229	14578.6	22417.012	14205.712	15965.813	15518.552	14612.682	16690.109	17191.768	15482.911	15846.722	14485.306	14653.985	20963.992	12310.364	18292.959	15329.937	17757.484	15774.731	14909.537	16951.641	14598.354	12311.103	17505.395	17101.852	15529.438	20254.639	15024.304	14373.911	16502.672	16786.264	14081.9
0.4003	17927.885	18746.541	16351.201	20304.531	18798.512	16493.793	17581.309	19340.955	18097.348	20215.248	15199.358	18950.371	18694.898	21520.244	17950.379	22016.496	18260.004	17915.561	23453.996	15266.313	21524.377	18202.562	19074.941	18038.486	19908.377	22500.906	15836.878	17630.092	22047.346	17035.447	19932.414	18456.395	19159.764	17753.207	19095.139	18049.906	18219.375	17501.23	18155.674	22928.357	14159.106	21735.482	17224.492	20951.83	18082.363	16871.885	17207.477	15693.267	13659.428	19736.377	20253.426	19037.053	25825.293	16631.812	15264.663	20585.664	18890.172	14937.418
0.5337	18838.959	22867.229	17328.891	20211.52	18355.27	19217.967	18145.945	22157.254	21507.617	22974.795	18493.605	21313.475	24203.943	22350.559	19219.92	23799.701	18585.043	24166.176	22273.551	17663.217	23811.627	18672.855	20899.633	19715.092	25644.496	23353.502	18550.668	19105.312	20935.834	17039.65	17611.836	20172.863	24263.83	20040.07	20676.047	18731.648	20118.793	19057.574	21550.012	22233.369	16747.016	22296.172	19387.926	23351.594	19529.311	18947.238	16199.258	16701.6	15145.903	20315.75	22299.488	25676.703	28760.396	19218.195	19598.137	20883.936	20109.947	17007.951
0.6671	19639.457	24185.148	18811.449	19707.463	17731.248	17824.836	17201.48	21469.682	21333.604	22349.744	20127.375	20007.027	29322.574	21735.5	17297.143	24645.213	17504.564	37887.918	20946.242	20673.676	24302.816	16762.178	21670.439	20149.129	28083.268	21475.801	19287.549	18557.18	21737.883	16143.076	15048.556	20450.738	26851.287	20630.621	20983.08	19152.377	19630.152	17831.572	22397.02	22219.844	19343.465	20669.453	20664.215	21047.484	22001.275	19162.311	15718.111	16109.792	15498.656	18812.146	21149.355	27226.879	28032.82	19084.355	25243.641	19998.311	19084.619	18942.746
0.8005	19377.893	23485.678	17284.783	19156.947	17227.283	16916.848	18105.463	18627.701	20186.021	19823.648	21419.502	19453.135	26218.049	19391.91	18279.916	21599.6	16875.629	46139.418	19745.635	25275.09	21629.52	17440.828	21854.691	18413.824	27147.652	21085.467	18814.016	15866.441	23752.059	16149.015	13785.238	18532.971	23485.113	19348.217	20190.158	18572.041	18328.125	17294.789	18596.48	21338.578	19975.586	19932.627	20379.434	19734.125	20403.137	19544.355	16983.568	16156.99	14683.083	17904.797	19640.859	25218.025	27521.492	18358.875	26894.367	18247.887	17042.393	21426.16
0.934	19654.588	23982.449	16683.605	18126.244	17431.654	17741.33	18253.189	17332.379	19993.217	18569.648	20224.055	19528.381	23520.482	20244.711	17980.916	19766.682	19085.156	41011.828	18913.209	24311.447	18817.535	17235.994	21630.391	18785.475	24280.6	21987.803	17189.803	16218.162	26992.566	15591.122	15251.568	16504.859	20617.266	18441.201	19825.971	17436.137	17524.506	16385.121	16994.514	22753.787	19525.281	20724.51	19799.945	19373.619	18125.545	19103.477	18936.406	16147.007	14333.32	18322.465	17508.891	21811.791	26922.514	17705.072	23673.586	16217.815	17650.754	21526.09
1.0674	21008.67	23616.008	16128.744	17727.174	16953.352	16637.984	17415.666	16101.672	18578.598	17638.557	20109.314	19555.828	21132.979	21583.119	19449.242	19428.305	21872.416	31704.176	17329.832	21340.23	18216.379	17695.34	21361.639	21758.822	21896.857	22882.432	17989.115	16276.013	29079.639	16587.322	15628.355	15769.109	18572.576	19105.486	19997.502	16888.682	17177.967	15671.622	16657.957	22988.693	20029.326	22500.061	18952.072	20493.559	16823.322	19370.266	22055.662	17568.582	14946.381	15912.964	18166.426	21382.43	25551.449	17262.824	22341.723	16884.361	18815.469	20025.424
1.2008	20317.975	22709.916	15386.928	17771.816	17870.055	16629.725	17315.307	15793.62	18262.6	17022.533	18974.699	22535.041	21428.457	21929.186	22294.186	18732.031	27792.166	26180.701	18475.4	19179.406	17061.537	17839.076	20159.484	25717.705	21029.164	21779.904	21843.219	16957.352	30661.213	17939.027	15893.31	15562.317	17796.01	19810.662	21832.57	17338.602	17021.756	15078.219	16835.848	25731.494	19012.807	29651.75	19061.059	20600.672	17907.129	18459.561	26349.551	21184.205	15289.411	15860.772	17652.889	20434.545	28485.012	18807.676	20186.756	18297.842	20540.707	18470.01
