x	Y_20181208_15693_1_12g	Y_20181208_15693_10_14g	Y_20181208_15693_10_7g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_14_6g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_18_7g	Y_20181208_15693_19_2g	Y_20181208_15693_2_3g	Y_20181208_15693_2_6g	Y_20181208_15693_2_7g	Y_20181208_15693_2_9g	Y_20181208_15693_20_4g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_2g	Y_20181208_15693_5_4g	Y_20181208_15693_6_4g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_7_9g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g
0	29639.4062	30611.4531	31164.7871	29756.8574	29682.8691	27557.4395	30140.7109	29525.6309	29882.9316	27683.3359	26157.0371	29881.3457	31530.1133	31896.8984	29122.6133	30089.75	32187.3418	31800.9336	31152.0117	27261.1602	30940.9629	29696.8711	27837.3008	29611.5039	29820.5215	31167.3418	26296.7988	27271.002	29961.4746	31802.625	29141.5117	27706.6895	27813.5312	30686.5547	25780.5312	30218.209
0.1334	31606	30071.8203	31335.5137	31270.5879	30023.9043	28168.1797	29351.082	30421.8203	31432.5703	27995.0879	27650.2363	30275.1523	30316.9004	31175.7715	29256.3926	31513.6504	31927.248	31170.0762	30634.3789	27935.4082	32435.2598	31032.6797	29388.2969	30961.8652	29651.0977	31504.373	26343.2695	27012.5273	29928.5137	32699.9336	29921.1719	29105.9238	29102.8301	30779.6211	27437.8105	29855.7324
0.2668	31405.2637	30174.248	31468.957	32158.7383	29451.9805	28187.2363	29160.0234	30123.9023	29723.791	28664.9648	27183.4434	30767.1484	31169.502	35175.2422	30072.7422	30330.4844	33357.8789	31810.4336	32832.6016	27724.4707	33373.1992	30169.3379	29958.3047	32080.8281	29691.8184	31682.584	26559.623	26677.6621	30487.8281	33264.7578	30179.9375	29334.4668	28728.5742	31897.7227	29027.416	30225.6562
0.4003	31512.6816	31470.0098	29896.0195	33284.9062	29779.127	27419.375	29139.6387	28545.4141	30641.7812	28877.6719	27551.6211	31128.709	30273.7168	35488.6094	29327.3008	32372.5723	33243.8672	32100.2539	31655.0645	28226.7852	31755.5742	31653.084	29154.3086	31606.0605	30049.5879	33364.7109	26662.5137	26905.4668	31408.9453	31960.4844	30453.7168	30349.7988	28640.8105	32312.9941	28798.0801	30109.3887
0.5337	32753.6348	30052.875	29626.3926	32823.1445	29377.5605	27571.8164	29021.248	30109.1094	29418.7109	29354.707	27531.2891	30837.8926	31429.0859	33736.8672	31095.4258	32586.6055	33019.125	31721.9922	30968.127	28221.1133	31560.3633	31535.4277	30045.2812	31272.1309	30249.8945	32204.4531	26299.7969	28211.502	31378.2051	33076.8828	30595.1602	29434.2734	28955.9629	32436.2363	27172.0273	30230.3535
0.6671	33930.9375	29643.2539	30821.793	33365.9375	30542.9688	28608.3477	29525.8398	30143.0879	29201.9883	29096.3867	27274.7734	30687.3672	30592.3262	34940.2109	30964.2715	31942.9824	33345.6719	32416.6289	31753.1289	26583.9746	32752.4277	30972.4219	31162.1914	31157.6426	30980.9766	31753.4746	25656.9941	28305.9277	30955.5645	33853.8203	28952.9121	30912.2539	30630.0586	30623.6504	27016.8926	30113.9219
0.8005	35116.7266	30697.7734	31234.6406	33017.1641	32604.2949	27445.2363	29485.8379	29615.959	30192.7031	31487.3457	26793.3594	30298.2109	30146.2734	34068.5547	31772.2344	31784.3359	32746.334	33971.0703	32302.877	28411.0586	32134.7148	30512.5	29955.7656	31564.3242	29417.9219	31659.8398	25879.0723	28586.8906	31674.9336	33964.5508	30141.8555	28977.2168	30823.4023	31253.2266	27020.6582	29908.9375
0.934	36945.5781	33218.418	31713.6309	33214.9883	30057.1211	28256.1426	31338.3105	29516.0879	30331.5391	30351.9102	27821.4746	30533.957	31045.3809	33176.0469	32667.6934	31857.7129	32252.9414	34629.5977	31201.3711	28006.6328	32288.1172	30942.418	29979.6211	32910.8516	31035.5117	31632.9922	26062.1035	28721.9629	32912.2148	33786.1953	31984.5586	30603.9414	31110.7773	32457.543	27826.25	30486.5156
1.0674	37915.1445	33273.7539	32396.418	33937.7383	29898.084	28131.3906	29221.8809	30858.3223	31186.2129	31103.1445	27027.9043	29205.0898	32131.5762	33320.375	33676.4375	31781.7266	32208.3145	36275.7969	31520.2188	29687.582	32169.459	32794.082	31673.3594	33335.4023	29941.3691	31371.3555	24132.1816	28783.8359	30340.5195	34209.9414	32038.291	32825.7266	30294.459	33843.7578	28674.5898	31581.166
1.2008	38007.6641	31251.6602	32406.5586	32809.3359	31989.8633	27587.5156	29395.0352	31394.5156	31373.1816	29801.3262	28232.666	29239.6172	31896.1465	33075.0391	35442.4961	30889.0918	32714.7754	35839.1719	32008.5977	29999.7188	33298.2773	33223.8711	31939.5801	33970.5508	31551.3594	32242.7559	24234.5527	29183.2715	31659.6016	34076.6445	35340.8789	30774.9102	31706.1504	36443.6562	28441.332	32060.8047
