x	Y_20180212_14590_13_1g	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g
0	40474.141	37853.008	40064.125
0.1334	41183.84	38424.285	41620.207
0.2668	43330.625	40675.492	39862.059
0.4003	40726.09	41385.492	38888.34
0.5337	42147.141	40922.613	38487.777
0.6671	44341.543	40640.836	40153.992
0.8005	42430.176	40702.754	41521.703
0.934	41470.215	42017.531	40362.707
1.0674	43163.504	43672.414	40404.621
1.2008	43085.422	44575.121	40486.543
1.3342	44461.953	43852.305	42014.125
1.4676	43985.082	43374.098	44530.051
1.6011	45232.484	43142.875	44535.066
1.7345	52292.133	48689.047	50504.953
1.8679	73879.609	57595.66	65382.461
2.0013	111663.336	76718.055	87844.891
2.1348	126681.102	124467.75	136121.594
2.2682	90656.984	164937.25	167796.922
2.4016	59804.293	148847.312	143675.406
2.535	50104.809	94473.367	94261.82
2.6684	46245.375	64237.465	65558.422
2.8019	47061.711	50570.273	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
