x	Y_20180130_15100b_1_7g	Y_20180130_15100b_10_1g	Y_20180130_15100b_11_7g	Y_20180130_15100b_12_10g	Y_20180130_15100b_12_2g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_13_6g	Y_20180130_15100b_14_13g	Y_20180130_15100b_15_14g	Y_20180130_15100b_15_6g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_11g	Y_20180130_15100b_16_2g	Y_20180130_15100b_16_8g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_12g	Y_20180130_15100b_19_2g	Y_20180130_15100b_19_9g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_20_3g	Y_20180130_15100b_21_12g	Y_20180130_15100b_21_13g	Y_20180130_15100b_21_2g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_6g	Y_20180130_15100b_22_13g	Y_20180130_15100b_22_15g	Y_20180130_15100b_22_16g	Y_20180130_15100b_22_5g	Y_20180130_15100b_22_9g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_1g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_7g	Y_20180130_15100b_23_9g	Y_20180130_15100b_24_12g	Y_20180130_15100b_24_9g	Y_20180130_15100b_3_12g	Y_20180130_15100b_3_1g	Y_20180130_15100b_3_4g	Y_20180130_15100b_4_23g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_24g	Y_20180130_15100b_6_11g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_1g	Y_20180130_15100b_7_5g	Y_20180130_15100b_8_2g	Y_20180130_15100b_9_16g
0	12328.979	14003.865	12351.113	14914.861	12452.975	12696.814	15328.375	13544.746	13988.159	13657.258	11824.924	11362.729	13909.026	12720.645	14665.854	12644.963	13658.001	13312.279	13176.463	12735.51	10858.298	11045.676	12298.953	12247.775	13123.345	12038.015	14131.589	13100.019	13263.82	13880.364	14108.121	12780.907	12158.572	12862.101	13214.444	10977.233	11869.325	11475.894	13731.677	13356.83	12383.159	12520.534	12980.939	12744.087	13952.012	13232.084	13174.046	15275.728	12287.141	14120.113	13455.632
0.1334	12236.778	13728.75	12582.485	15392.762	13093.399	14344.182	16011.991	13362.448	14079.485	14384.131	12191.533	12630.706	14201.495	13060.842	15308.933	13420.7	13747.879	14146.582	13988.148	13401.19	11280.792	12069.338	13402.591	12865.575	13344.784	12832.276	14451.626	13934.59	13680.299	14331.722	14592.102	13521.506	12825.294	14267.587	16131.362	11592.319	12243.022	13093.007	15451.146	14959.706	13065.995	12997.229	13913.038	13995.722	14131.204	14970.062	15460.125	16732.418	13248.297	14381.751	14522.522
0.2668	13144.348	14341.939	15595.396	18010.947	14811.695	16726.779	17456.904	13692.627	16041.152	15966.562	12238.761	14799.325	15910.024	14357.045	15526.963	15850.771	14725.56	15758.08	15312.419	14793.631	12306.217	12663.896	14697.548	14311.294	14154.764	15598.286	17080.234	16606.057	15144.897	15116.497	15174.396	14140.613	14452.568	17013.096	17875.109	12742	13137.026	14185.445	18508.5	17106.744	13786.591	15263.658	14511.327	16692.973	16258.215	16797.391	17919.168	19310.975	13898.598	16096.336	16240.787
0.4003	14901.032	16840.629	19776.576	20937.098	17016.234	18493.902	20223.127	17050.893	17871.385	17003.062	13207.156	17689.279	19448.811	16215.57	19299.148	17969.971	16786.842	18636.883	17243.162	16492.359	12575.13	14259.455	16685.457	17159.104	15945.951	18167.176	17627.295	19408.93	16717.236	15793.396	15777.023	16355.929	15896.885	18883.057	19582.34	14677.472	14798.944	17720.551	20842.33	20421.801	16637.479	18380.391	16056.434	17831.99	16611.975	15317.615	20832.789	22617.275	17419.217	17762.596	18739.057
0.5337	15687.724	17643.846	21881.805	22593.666	20030.205	17079.92	21912.135	21243.586	21050.928	15567.146	14775.081	19871.891	19759.316	15360.966	21651.582	17765.742	17095.338	22780.832	19645.074	17085.195	13972.028	16139.424	20009.305	21816.955	17682.75	16404.639	17207.828	19822.205	17526.572	16577.986	16682.801	18426.076	16374.887	18122.23	17774.959	18324.244	17913.504	21163.877	19725.443	22018.312	21261.551	23100.656	18458.469	16324.914	16314.082	14562.3	21182.398	21662.93	20863.037	19293.613	18693.652
0.6671	14961.408	18930.336	22089.654	20293.795	19945.973	15068.1	20740.562	23577.182	21166.316	15326.262	14268.951	16932.223	17808.574	13993.548	18477.771	16356.493	17444.436	22098.25	20367.307	16453.494	15769.982	16086.902	21069.461	25266.84	15783.752	15803.77	15895.979	18808.039	17173.836	16064.186	16814.344	17973.615	15026.634	15899.491	16452.73	20041.336	20302.541	25902.123	18081.967	19510.75	23612.939	24433.986	19004.148	14887.797	16167.544	13790.499	18495.824	18117.662	19376.078	17150.768	17341.574
0.8005	15192.358	19226.365	22375.457	18127.412	16906.531	13911.405	19440.838	21440.385	17322.879	14810.591	14860.014	16238.229	15046.501	13218.428	15717.968	15443.054	17216.617	19643.057	19008.855	14676.367	14515.082	14538.934	19560.504	22274.646	13591.893	13758.057	15018.612	17337.963	14324.356	15927.167	15975.737	16388.893	12926.229	14930.582	15329.207	17946.742	18614.15	30954.633	16926.123	16205.374	21305.871	20947.969	16839.373	13561.788	16615.727	13193.084	16152.877	15670.71	18138.686	15039.06	16780.674
0.934	14236.924	16872.301	20946.475	18328.863	17098.344	13946.837	17828.025	18807.072	15003.981	14669.808	13670.702	16627.201	13754.06	14122.16	15296.637	14597.206	16811.686	18172.498	17119.736	14753.9	13695.767	13447.314	16657.92	19893.174	13035.681	13861.091	14966.246	15989.395	13378.25	15234.854	14888.509	15857.927	12616.183	14437.22	14728.386	15712.077	16786.93	32071.857	16021.214	16716.512	19560.227	19901.693	15924.63	12723.78	16859.668	13299.921	15423.403	15819.694	16785.934	14869.031	16231.456
1.0674	14017.006	17276.41	21080.166	19717.633	16457.949	13230.317	18908.725	17297.133	13829.938	14495.382	13790.947	17100.102	13867.521	14019.414	15552.722	14227.551	16482.711	19007.717	16559.496	14417.814	13784.438	13372.112	14583.063	17417.334	12945.46	13776.822	14630.844	15514.416	13649.51	14891.701	13311.907	15407.34	13345.806	14557.924	14827.699	14082.937	16314.833	29716.508	15783.043	16729.467	18669.117	18110.896	14297.401	12416.53	16762.65	13922.338	15362.993	17120.816	15807.231	14975.379	14480.839
1.2008	13456.377	18420.887	18565.537	17526.438	15571.157	13854.677	18766.395	15718.378	15460.285	15106.958	13729.688	17380.691	15495.127	13108.827	15120.853	14309.136	16060.611	20005.062	16264.743	13806.252	13421.518	13030.133	14296.504	16401.395	12876.022	13576.057	14049.694	15223.185	12939.116	15384.702	12765.71	14538.465	14034.895	13764.022	14858.151	14089.758	14922.742	24747.885	15977.29	17101.689	18670.143	19429.553	13165.918	12496.98	15950.93	13522.573	16270.3	17067.479	15046.703	14401.391	14048.001
