x	Y_20181208_15794b_3_4g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
0	32155.3789	28855.125	30947.2891
0.1334	33004.8438	28101.5469	29506.959
0.2668	30595.3145	27266.0664	30973.5293
0.4003	29795.9102	27862.0684	31238.9258
0.5337	29397.8398	26847.6914	30883.1016
0.6671	29804.9648	27769.0625	30094.2676
0.8005	29422.041	27229.127	31009.3203
0.934	28313.709	27969.8105	31236.0977
1.0674	28963.3926	27837.0723	31695.3164
1.2008	29912.8398	28109.0723	33174.4453
1.3342	28857.916	28885.8301	32750.4961
1.4676	29244.8867	28797.6191	31824.7812
1.6011	30527.0645	29719.2949	33332.207
1.7345	32709.5742	29224.8203	32550.1836
1.8679	36040.3711	31028.9043	32563.5742
2.0013	47990.4766	35822.3047	33312.3828
2.1347	69396.2031	41662.4102	33416.2578
2.2682	78470.6094	39749.7969	39021.8438
2.4016	59446.2227	35197.8242	51979.7656
2.535	47736.5469	30843.0996	71934.0703
2.6684	41454.4062	28477.4473	70273.9922
2.8019	NaN	28946.8047	50783.3828
2.9353	NaN	NaN	41688.707
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
