x	Y_20181208_15100_10_3g	Y_20181208_15100_15_8g	Y_20181208_15100_25_1g	Y_20181208_15100_3_5g	Y_20181208_15100_7_3g	Y_20181208_15100_8_3g
0	28283.4863	29153.7891	27062.8965	30248.9316	28406.9746	30607.9258
0.1334	28697.3926	28451.0859	28256.8516	29692.7227	28272.8262	31440.1855
0.2668	29851.1621	28439.1504	28650.0938	29724.1738	27890.5059	32310.7715
0.4003	30632.0352	27897.2051	28862.7148	30089.9824	27500.8984	32332.9414
0.5337	30701.1484	28042.1367	28100.2969	28922.4746	27406.0977	31037.6426
0.6671	29108.4004	29799.1309	28742.9258	27709.5215	28478.4375	31810.332
0.8005	31871.123	29687.9805	29028.3145	28219.1172	29470.0078	31713.5879
0.934	30606.4707	30206.4453	28597.3457	30034.3027	30216.1758	34177.207
1.0674	31265.2461	29722.8867	28628.1543	30031.9121	29414.7422	32904.9883
1.2008	31619.4609	30307.4355	27686.334	28965.2539	28717.2188	33200.2305
1.3342	31829.0977	29417.9082	28394.0098	27565.1562	29479.2422	33985.1719
1.4676	33430.1953	31187.7578	28295.1035	28711.4004	28768.0059	33821.375
1.6011	33137.6328	30982.8301	29761.541	30022.4297	29223.0391	32010.9102
1.7345	33214.1445	32394.1367	29154.8848	30518.4121	28476.2305	34710.6836
1.8679	36579.5352	32871.4219	27856.1309	30437.1973	29396.3262	33496.125
2.0013	37803.2812	33926.5938	29409.8047	30239.9648	31202.8457	35404.6719
2.1347	35639.8398	36556.6836	30499.457	31126.1328	33296.9492	35083.543
2.2682	35286.3086	46687.5312	31945.3457	30788.4824	38134.2109	35495.4531
2.4016	36142.8242	62419.2617	38758.3125	32435.4258	47966.7188	39096.5312
2.535	37890.5195	64537.7109	53595.4609	36553.2227	68288.2422	48961.7539
2.6684	47207.9141	50197.1836	67211.7812	49586.1523	69717.8828	66005.3906
2.8019	53685.4023	38782.875	61695.3633	68208.4062	49615.168	91105.1719
2.9353	51618.0547	33373.4219	44125.9727	68737.3281	39801.1289	83119.7188
3.0687	40639.0586	29849.9082	NaN	52144.6992	33486.8008	57877.6445
3.2021	37102.1016	NaN	NaN	39660.5898	31727.3008	44054.8594
3.3355	34070.8086	NaN	NaN	32586.6309	NaN	38072.2539
3.469	33341.957	NaN	NaN	31487.3652	NaN	37606.3789
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
