x	Y_20181208_15794b_1_6g	Y_20181208_15794b_3_5g	Y_20181208_15794b_6_6g
0	11464.6504	9897.7725	12409.2539
0.1334	12487.2021	11006.0811	13514.7363
0.2668	15426.5732	12360.1357	16742.7461
0.4003	18500.584	12946.5615	15749.2725
0.5337	18139.9434	12778.7031	16219.249
0.6671	18041.0918	11388.5791	17519.959
0.8005	16174.4375	11154.2031	15957.3711
0.934	15417.0615	11517.6875	15446.207
1.0674	15147.9824	10920.3486	14985.0283
1.2008	14808.9951	10352.3008	13533.0391
1.3342	13646.8008	10510.4619	12181.1787
1.4676	13620.5371	10688.8008	11858.5527
1.6011	12869.3115	10935.6113	11343.2627
1.7345	12601.3174	10638.1064	12247.8877
1.8679	12024.585	11113.9326	11555.043
2.0013	12037.2705	NaN	NaN
2.1347	11690.8818	NaN	NaN
2.2682	11884.0645	NaN	NaN
2.4016	NaN	NaN	NaN
2.535	NaN	NaN	NaN
2.6684	NaN	NaN	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
