x	Y_20181208_15693_10_9g	Y_20181208_15693_5_8g	Y_20181208_15693b_10_7g
0	31262.584	30802.0605	25915.2617
0.1334	31571.1582	30279.7988	26824.2402
0.2668	30963.0527	30939.9922	26794.0039
0.4003	32175.543	30483.502	27541.4082
0.5337	32250.8809	30685.1211	28143.3086
0.6671	30811.1855	31255.4902	29653.8848
0.8005	31839.9453	32271.7305	30119.832
0.934	31279.1367	31895.2344	28990.9922
1.0674	32659.1973	31859.1816	29466.4395
1.2008	32152.7324	32246.3398	28879.541
1.3342	33735.8047	32889.4844	29294.8945
1.4676	33098.4023	32533.7305	30721.6582
1.6011	32329.8828	31696.7363	29997.9883
1.7345	34263.8242	32762.9688	29641.4727
1.8679	33862.168	32153.4824	28973.8613
2.0013	34761.6953	31872.5078	27040.9375
2.1347	34627.0078	32856.2109	27699.5879
2.2682	34265.7695	32651.3184	27829.1621
2.4016	34829.1797	33649.8789	27356.6426
2.535	35767.5938	33746.5234	28095.166
2.6684	35017.6289	36499.7109	29120.8906
2.8019	35573.8906	44715.1172	29016.5547
2.9353	35598.4414	64578.4492	30459.6953
3.0687	36810.8711	68166.7734	31037.5605
3.2021	40042.3398	55484.0039	33457.3398
3.3355	50472.8125	41172.7773	39579.1641
3.469	54379.5391	34225.6406	50703.3438
3.6024	48143.1641	31807.8691	59528.0547
3.7358	40230.7695	31670.2656	47227.8008
3.8692	35929.1523	NaN	34522.7305
4.0027	34278.9727	NaN	29518.8145
4.1361	32985.5195	NaN	28240.707
4.2695	31686.4883	NaN	NaN
4.4029	30983.1406	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
5.2035	NaN	NaN	NaN
5.3369	NaN	NaN	NaN
5.4703	NaN	NaN	NaN
5.6037	NaN	NaN	NaN
