x	Y_20181208_15692_31_1g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_34_1g	Y_20181208_15692_34_6g	Y_20181208_15692_36_1g	Y_20181208_15692_37_1g	Y_20181208_15692_37_3g	Y_20181208_15692_37_6g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_39_4g	Y_20181208_15692_42_12g	Y_20181208_15692_42_4g	Y_20181208_15692_42_8g	Y_20181208_15692_43_11g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_45_15g	Y_20181208_15692_45_5g	Y_20181208_15692_46_10g	Y_20181208_15692_46_15g	Y_20181208_15692_6_4g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_4g	Y_20181208_15692b_13_4g	Y_20181208_15692b_16_4g	Y_20181208_15692b_7_7g	Y_20181208_15692b_9_6g
0	9441.4473	10288.0264	11839.3359	12423.1611	9433.4307	11048.96	9277.1631	10182.1689	11915.4053	10741.8574	11376.9902	11079.7949	12447.1729	10333.9082	10717.2012	11916.8506	12746.8057	13022.3535	12251.4971	10493.3994	11577.3408	9948.9141	15557.7021	12496.5859	9505.0479	9444.8154	12032.5166	9461.5898	9130.8809	11202.3213	9453.8877	9444.4229	16021.7148	12095.6807	13571.2168
0.1334	10477.8037	10769.3047	13110.6504	12433.3828	10745.2002	10596.4395	9225.5996	10861.7148	11709.6533	11207.0684	12711.2656	13270.8994	13923.0625	10880.2539	11578.4492	13607.4277	14539.9434	14645.6045	13195.2451	12109.126	12731.3096	10186.0898	14143.4404	13335.0127	9460.7617	9947.4912	14129.3066	9671.6592	9262.4375	12544.5166	9825.1953	10260.4619	21960.1621	13076.1436	13132.2627
0.2668	11941.8994	11358.8291	15346.3896	13581.3037	12538.6719	10876.7158	9675.502	11280.4844	12294.2764	12695.6357	15434.1582	13985.8594	14906.4834	12354.7324	14238.6211	17515.4004	15306.3477	17955.5625	13523.0547	14897.0771	16319.3691	10780.4678	15126.0723	14498.3779	9267.0752	10312.042	18136.2461	11014.7627	9483.5537	18103.2285	10223.9863	11912.791	24817.8984	16056.2822	14773.3994
0.4003	14175.5664	12160.7236	16127.0986	14644.127	14799.9492	11911.8936	10771.4424	12517.2764	12147.3887	13753.6201	15213.209	14352.9062	14611.3662	14287.2383	15458.8105	16786.0488	15386.9404	17329.1602	16697.3203	17703.0547	18274.3906	12225.0645	15770.9512	17156.3672	10708.6357	11151.8672	20918.0957	13612.376	10492.1533	19189.2578	12091.1475	13904.8008	23094.3066	17917.0137	16378.9131
0.5337	15533.4102	15463.9258	16232.792	16783.5664	19943.1504	13121.293	11797.6416	14806.5615	13711.9102	12568.5977	14462.25	14120.3105	13444.8213	15574.7861	16066.5225	17074.9961	16023.6768	17140.8633	19051.877	16717.4199	17646.957	14246.6797	15516.1387	20710.4355	12488.3008	12086.5977	20572.5352	16345.5527	12333.7695	18351.5078	15695.2148	15954.1797	19375.2598	17035.207	17070.8027
0.6671	14905.2607	16597.5645	15531.9111	17744.8555	25657.377	13830.5342	13390.3105	18089.4219	14298.4551	12640.3232	12744.8008	12859.8105	14100.1367	15906.542	17157.9707	15705.7578	15389.4336	16737.3438	20731.0938	14886.3525	16865.7266	15613.835	14793.8662	19912.7617	14876.7227	13682.502	18933.625	17305.3262	15735.4316	15719.2139	17036.8164	15769.1758	18640.7441	14875.9912	15266.7314
0.8005	14472.6465	15694.8301	15859.6475	15636.9883	22485.9824	13035.1494	13934.3174	18267.4727	13994.7109	12873.9238	12838.0029	13320.6562	14125.498	15477.8896	15695.4395	15928.1318	15135.7393	14309.9004	19620.8555	14540.4971	16600.791	15058.5732	15061.1475	17019.2031	16598.4258	13469.2588	18218.1816	16774.2402	18551.9238	15003.1963	16346.7686	15343.251	17539.1582	12447.042	15665.3691
0.934	13604.1494	15460.124	15401.7275	16786.3867	18257.5684	13837.6846	14160.6738	18189.2285	14089.7607	12329.377	12335.5693	14028.3945	14303.6826	15583.9707	14925.4082	16116.8037	15485.1221	13789.1689	17133.9473	14906.1699	16316.4893	15429.665	15242.418	14889.667	16341.4092	13087.6641	16787.2871	16710.7266	18438.7539	18025.5918	16081.6826	14772.9473	17027.3594	11469.6729	14795.5781
1.0674	13570.5625	14122.9365	14391.7158	16663.6367	15574.5771	13790.2432	13080.4434	17309.041	13438.8271	13170.0791	13253.4385	13381.6699	13849.332	15822.6172	13937.6211	15589.7012	14765.3877	13774.2744	15256.4434	14043.8711	17595.5332	14589.9463	14603.5938	15833.959	15828.1504	12323.3066	17082.7188	16232.1973	15440.8203	17862.5664	15512.3242	14711.3662	15335.623	11532.8057	13578.042
1.2008	13825.8232	15343.2959	14487.124	16088.5771	14915.6387	13727.9258	12337.4629	18938.3457	13900.8525	13720.8955	13339.417	13336.4873	13676.4639	16452.4434	14692.9697	15673.2588	14584.7354	13599.458	15054.6133	13752.7178	16366.7529	14161.417	13976.498	15861.751	15947.082	12459.9062	17063.9043	16959.9355	15360.8838	15255.5283	15573.8926	14187.4443	15177.4316	11698.0732	13046.1719
1.3342	13644.2129	14986.5752	14759.2041	16907.375	15006.6123	14352.166	11871.5195	17126.4219	14128.3252	13731.2686	13721.4268	13023.0947	13506.2119	16844.5977	14766.5557	15568.624	13836.2598	12321.9336	14848.4082	14188.8545	16734.1094	13636.376	14388.2236	16201.6699	15327.9863	13138.7734	15692.0723	16231.3848	14088.1416	14158.5361	15435.4004	15403.9805	14287.2168	11517.6855	12490.6875
1.4676	14202.9092	15275.5371	15344.2803	17729.0586	15319.8516	15003.0898	12004.0146	16278.1035	13666.792	14027.6377	14767.1074	13206.6543	12603.2031	17756.0371	14063.8672	15418.8066	13417.0674	13075.1182	15619.5381	15211.8643	17504.4531	13517.4512	14192.6338	16181.9385	15612.4219	13377.8379	15372.2969	15322.8662	14881.6064	13263.3848	14486.0635	14735.3115	14743.793	11366.6143	12206.4473
1.6011	14458.0469	14626.3691	14498.3262	17706.2617	15571.9482	15105.0811	13764.5332	16074.9639	14501.543	13398.0947	15464.4736	13107.8945	12770.9971	17910.4102	15321.873	15579.291	12680.0947	13071.1777	14598.9346	15335.0332	16093.7129	12735.5557	13145.502	16495.5254	14856.5977	13722.1133	17076.6191	16086.2754	17472.3672	14795.4023	15038.9902	13915.9697	14360.4736	11783.5352	12165.9551
1.7345	14248.9121	15170.7207	13780.1113	18789.3086	16082.7402	14721.4268	13289.2324	14514.3242	13888.126	14015.8789	14244.9014	13842.9473	12661.6875	16761.3164	16079.3369	15071.4551	13329.168	12207.9785	14404.5527	14975.5928	16546.7227	12732.5752	12666.0762	16568.5254	14807.9775	13870.0059	17627.2773	17633.6758	16938.6133	13656.708	13824.2783	14511.9092	13751.3955	12846.4316	12366.3652
