x	Y_20181208_15794_13_8g	Y_20181208_15794_19_18g	Y_20181208_15794_26_19g	Y_20181208_15794_3_5g	Y_20181208_15794_4_17g	Y_20181208_15794_9_20g
0	11648.5605	11842.7246	11909.0137	12530.2627	12758.8623	9742.7236
0.1334	12297.6914	11507.1709	14837.9824	14606.6074	15572.7324	9948.8623
0.2668	13324.2939	11300.5859	14739.3877	16541.4609	19073.7109	10719.4629
0.4003	15685.4131	11370.4863	14144.9404	16418.6211	21375.3145	11110.8604
0.5337	18443.9141	14042.333	13844.3125	14426.9854	18189.4805	13113.2832
0.6671	17064.293	15492.2148	13219.3701	13802.8154	17107.2188	16976.2578
0.8005	16158.8945	15424.5088	12140.3223	13629.3584	15171.2676	22271.9336
0.934	15429.834	15106.3271	11340.7354	14168.8037	14197.0459	22027.2383
1.0674	14911.4268	14387.8232	11309.5449	13690.3916	14501.5	19794.4375
1.2008	14470.8447	14611.501	10897.3125	12351.4141	13855.9736	17372.0938
1.3342	13490.4863	15373.0859	10862.9629	12911.876	14009.7031	16300.0693
1.4676	13777.8564	14449.2373	11221.8242	12997.3818	13212.9043	15292.4248
1.6011	14196.1211	13947.6787	11158.3486	12412.6348	13240.3154	15848.8359
1.7345	13571.4639	13775.2383	11055.6025	13025.5029	13321.5098	16390.7637
1.8679	13375.4258	14892.5361	12247.8672	12722.5898	13120.4287	15573.29
2.0013	13182.459	14315.1143	12503.334	13290.6758	12575.335	15643.0117
2.1347	13958.8877	13810.1348	13224.3457	13757.5488	12455.085	15452.1426
2.2682	14290.4766	13308.458	13491.4238	14426.1523	12352.7471	14712.0078
2.4016	15288.1758	12994.0537	13555.1885	13571.3555	12692.2559	14578.8467
2.535	15724.4033	12210.1836	13371.6396	12978.3916	13267.2393	13055.5586
2.6684	14572.7812	11671.04	13384.7568	12715.3369	12949.9814	12759.0156
2.8019	13804.6494	11368.71	12719.3438	11696.0791	12820.2236	12356.8828
2.9353	13496.1377	10947.6729	12739.0625	11728.5605	11961.4033	11791.4932
3.0687	12767.4736	11940.8262	12307.4023	13002.2051	11853.252	11500.8584
3.2021	12886.6953	11743.7168	12523.0166	11917.999	11132.7549	11727.2617
3.3355	12076.7822	12436.8994	11939.627	12391.3672	11462.1934	13005.6855
3.469	11946.5127	12277.6465	11596.2744	12550.0576	10991.7979	13395.5293
3.6024	12331.416	12482.5107	11246.9834	12439.3311	11487.6309	13253.9785
3.7358	11887.0303	11883.8301	11891.3496	12931.4883	11569.9941	12468.1631
3.8692	11134.9102	11882.3398	NaN	13035.6465	NaN	12101.0068
4.0027	11933.4521	12511.709	NaN	NaN	NaN	11137.3467
4.1361	11601.9229	12762.0107	NaN	NaN	NaN	NaN
4.2695	NaN	12707.6592	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN
