x	Y_20181208_15693_1_13g	Y_20181208_15693_1_4g	Y_20181208_15693_10_14g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_6g	Y_20181208_15693_13_8g	Y_20181208_15693_14_1g	Y_20181208_15693_14_5g	Y_20181208_15693_15_4g	Y_20181208_15693_15_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_13g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_2g	Y_20181208_15693_18_4g	Y_20181208_15693_2_10g	Y_20181208_15693_20_6g	Y_20181208_15693_3_3g	Y_20181208_15693_3_5g	Y_20181208_15693_3_6g	Y_20181208_15693_4_2g	Y_20181208_15693_4_7g	Y_20181208_15693_6_13g	Y_20181208_15693_6_1g	Y_20181208_15693_6_2g	Y_20181208_15693_6_5g	Y_20181208_15693_6_7g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_2g	Y_20181208_15693_9_5g	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_4g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_8g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_3g	Y_20181208_15693b_13_11g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_3g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_7g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	32910.5625	28825.6777	32932.3594	27812.0625	26906.3672	27771.9668	28321.1055	28023.5703	27295.0781	29163.0293	31897.0566	31307.1094	32732.6738	26241.9082	30189.4512	28511.5742	32137.4766	32144.1387	31251.4082	29704.8359	31555.7305	31353.1074	25555.1367	30527.2559	31840.4609	26418.6133	30880.9922	32963.6445	34153.5078	30256.6621	33769.207	29515.8711	25970.9512	28280.5605	27169.334	28278.2832	30865.3594	29884.9277	29246.4961	30475.5312	29333.8691	27636.1738	28699.9102	29484.5684	29331.6465	30385.2031	27460.584	31323.8789	30619.5664	30314.5078	28190.2852	29502.5742	32246.7637	31286.6699	29764.166	29037.3594	27767.9004	26973.3828	28229.4727	30992.0801	26090.4453	30082.4082	30821.9648	32510.4688	31257.1582	26309.2324	29677.3203
0.1334	34410.7461	29376.8105	31987.9844	27901.0371	28600.0391	30015.7031	27172.7754	29245.5332	26979.1855	29770.8301	31190.7695	31124.8027	33452.7344	28111.6172	31127.0957	28579.0957	31584.2148	31309.8125	32294.5508	30274.7012	30456.5859	31808.25	26146.7383	31189.5781	30751.5645	27485.1758	30019.4297	30321.5117	33598.4336	29770.2734	32546.293	29664.6875	26909.3496	29141.2246	27184.4844	27179.7344	29690.8633	29996.2832	28155.2461	30616.4336	28067.0996	28046.6699	28793.8984	29821.2559	30360.2891	30526.1543	26940.6797	30858.3379	30956.3066	30360.4062	29049.4766	28777.0859	32640.8359	30191.5586	30306.7129	31278.6484	27049.0586	26794.4648	26635.2109	30984.5547	26368.1465	30478.2793	30969.5371	32390.543	32521.4844	26841.7539	28759.1074
0.2668	35478.0547	29354.8027	31661.8027	27387.3516	27880.0918	27564.2168	26652.5801	29264.8359	28722.1543	29146.9648	29825.4434	29778.582	32607.8027	27708.2051	29904.3516	27972.0684	32184.2812	30451.8398	30324.1875	30874.082	31944.1328	33186.5938	25311.957	31999.0078	31193.6133	28242.2715	29891.8262	31854.7871	32374.3164	31035.8477	32544.1562	29274.7402	27759.8125	27442.6152	27519.6348	28218.8945	30249.6816	29919.4453	29247.7773	30966.1016	29325.6309	27981.0352	28301.7949	30398.2129	29474.8828	29255.9082	27327.4668	30694.4941	29633.4785	29838.0117	28112.5332	28974.1035	32755.5508	29888.9863	30294.9902	31597.7891	27660.1758	25331.9727	26090.1816	32416.2773	28339.8496	28782.8398	31035.8867	32759.2598	31488.4238	27740.0234	29207.8262
0.4003	33945.7812	29641.5566	31690.2891	29339.4297	26562.6035	28230.2988	26637.6328	27637.0391	27278.7676	28951.3496	29231.1797	30888.9199	31534.0293	27682.4551	30506.7227	27397.5312	33184.4609	32180.9219	31428.584	29761.6738	30751.8105	32762.6113	27547.2207	31453.4297	30600.0645	27245.8047	29801.1074	29997.8789	34286.5078	31087.5371	33175.3633	28961.9277	28910.207	28011.7188	26982.4219	29826.3828	29569.7734	29584.3496	29638.2148	30959.5332	29693.6523	28153.5254	28485.791	29919.5898	30447.7852	31185.1973	27697.6523	30331.0879	29158.8828	28533.8145	27749.1719	30461.5664	31416.8555	31926.918	28166.4531	31915.3906	27513.7539	25250.4707	26560.166	31905.209	27798.4824	27404.9922	31047.6641	33644.5273	32351.5098	28023.5977	28866.1387
0.5337	32426.0273	29845.3477	33169.2422	28989.9727	26236.1582	28350.3359	27360.3965	26491.5293	26778.9512	27993.3984	30477.8613	31419.9062	32496.25	27191.8945	30626.5977	29365.6191	31172.916	31317.9199	32369.2734	30698.459	30311.1523	32121.3867	26183.9629	32920.9766	30738.2598	27797.623	30001.5098	30159.7227	32857.8555	29869.9922	32425.4805	28728.2812	29377.2207	30089.5039	27584.2578	28590.4141	31008.2285	30204.6504	27007.0547	30968.0605	28181.7812	27084.1562	28568.2891	31151.8105	29642.9648	29618.0273	26676.5801	30805.2949	29674.3145	30502.625	28958.0645	29347.4082	32878.8945	30810.75	29143.6797	29740.502	27223.9688	25231.6465	26046.2539	31736.084	27583.7051	28257.748	31065.5605	33379.9062	32682.3809	27064.9551	29356.8945
0.6671	33761.7969	28821.7969	32938.3867	27678.8242	26734.6367	28847.084	27561.1504	25635.6016	27420.8242	28859.2988	30625.6875	33020.5859	31030.8066	28857.2988	31379.6055	29120.4609	31128.7188	29876.3516	32306.5918	31702.4316	30246.9551	32914.3398	27499.8438	32303.1016	31604.2422	28869.5098	29254.9688	30131.1074	32536.2578	31167.2578	31684.1055	29758.2402	29450.3262	28971.5684	26746.5098	30224.248	30612.2246	30918.9883	24464.6094	30800.4668	28740.6289	26429.3027	28726.6523	32321.5723	30051.3477	29891.1855	25947.9941	29627.2305	29222.9746	31266.625	27976.0059	28643.7109	31814.0117	30241.3242	28590.5117	31398.4219	28034.8906	25472.7773	27496.4121	31722.0566	26799.5234	28395.9707	31715.0195	32596.7383	33599.8906	28370.3594	29333.7227
0.8005	34560.7266	29684.3125	32488.7734	29110.5352	26535.7871	28396.8945	26735.127	24849.6387	27760.7383	28047.7637	29660.5234	32856.1523	31739.1836	29440.6895	31212.1113	28393.166	31537.5352	30209.4961	32491.9961	30824.9395	31256.3984	32392.3008	26715.75	32500.0078	31184.6582	28096.8809	28872.2949	29578.9121	32451.8652	31549.3633	30419.8848	31096.0625	30247.9434	28060.5098	27036.3867	29665.873	31249.0371	30446.6094	27335.3418	30259.582	29816.5195	26192.2988	28634.4355	32254.8652	29862.5977	30121.5586	27216.3926	28799.2441	29781.7441	28718.3184	28780.5332	29285.9355	31290.2227	30724.2207	28746.5703	29649.0742	27707.1426	25350.2969	26502.627	32638.2695	26618.2168	28445.3555	31534.3945	33070.5742	32667.8555	26098.457	28554.1211
0.934	32282.7559	30601.6777	32226.6152	29128.7129	26184.6016	28918.7266	26670.8691	26018.5605	29096.3555	29137.6484	29123.6406	32055.3145	32172.1289	28031.7754	31044.2539	28244.2832	30606.4785	32707.2617	32345.9785	30946.6094	31136.502	33194.375	26443.7441	33204.4492	32808.3047	27867.7324	29678.8242	30738.125	32796.8945	30059.9824	31770.2695	30039.6328	29962.3711	28392.2773	26883.8574	30743.7715	30093.7207	29254.1152	28940.7402	31479.4199	30744.2461	25696.1523	27570.6113	31718.9707	30355.1777	29187.1094	26887.3691	29502.5742	28283.7227	28962.0176	28825.7285	28817.541	31989.373	31548.5449	27572.5508	29649.3203	27456.625	25704.3418	26264.6172	32250.4121	26758.4531	27007.2969	31208.4219	33074.5977	31606.0703	27179.2812	28913.627
1.0674	34693.1406	27830.8496	32596.1016	28191.2305	27139.0586	28792.2812	25955.6797	27608.0293	27950.5977	28580.8086	29207.2949	30216.0176	31967.3281	29159.0645	30763.5586	27364.2715	31192.9727	30478.3398	31599.3516	30615.1875	30456.9355	33670.9258	27542.5625	30943.3164	31745.5918	27494.9609	30327.7461	30931.8281	31601.377	31464.5664	33617.7773	29411.582	29443.6777	28873.6758	26856.4727	30886.3672	29916.1484	29904.4766	28887.0781	32856.0117	30472.0742	27336.1621	28390.9434	31892.4082	29495.498	29693.4473	27378.5703	30159.3535	30226.2695	30291.2656	27926.9609	29279.584	33439.5391	32319.6309	28197.4062	31462.1211	28833.6191	25584.3398	25899.4883	33360.6367	26928.0176	27382.252	31725.4395	33373.4336	32844.957	28525.8496	28940.6035
1.2008	34264.9375	31704.2207	31945.7266	28717.1816	27815.2051	27852.5469	26133.6484	25881.2227	27581.3809	28508.9023	30151.1172	31348.2363	32546.9902	29644.4531	31349.9375	27549.8438	29708.9961	30614.1055	30377.9688	29203.6797	29827.9492	32295.6973	26591.502	30573.0469	31943.25	28292.0977	27884.25	30690.4746	31433.4414	31242.0586	32893.9727	30140.5449	30448.043	29563.1816	26035.7734	29794.3086	29920.873	30426.9102	27777.0547	31594.2949	29614.627	27294.625	27551.7695	30443.1523	29913.0664	30466.8008	27241.9668	30626.7676	30504.9395	29707.2246	27804.4629	29123.0605	32511.041	30867.4629	28118.4238	30897.8223	28682.498	26812.7812	26941.1133	33687.0898	27835.0176	26522.0078	30727.0801	33034.3281	31768.7207	27433.7988	26942.9473
