x	Y_20181208_15692_38_19g	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_14_5g	Y_20181208_15692b_17_2g
0	28320.7168	31207.2266	26627.1738	29049.5625	28781.5508
0.1334	28288.9746	31200.7988	26131.9746	28647.4453	29548.4277
0.2668	28693.0957	30510.6309	26897.7461	29743.7285	28639.1836
0.4003	28688.4375	31497.4336	26923.957	29877.4551	29327.1602
0.5337	28652.6348	30869.9121	27283.1055	29467.3887	28800.1562
0.6671	29699.7129	29673	27831.6016	28383.5059	30006.4707
0.8005	30188.6504	30085.4004	26222.1055	29748.6543	29064.998
0.934	30151.7656	30752.4609	26312.8301	29909.3828	30819.8262
1.0674	29781.7148	31136.7676	26151.9805	29531.5898	31420.873
1.2008	28035.5059	31720.1035	27774.1328	30755.5547	31215.1797
1.3342	28669.4355	31307.6426	27935.6523	31761.2383	30626.1465
1.4676	30743.457	30650.4766	27175.9609	31079.9902	30681.1543
1.6011	31368.8066	31550.6699	26727.3223	32682.6621	30976.3398
1.7345	30539.2285	30959.9863	26385.0625	32634.2539	31062.6914
1.8679	30048.0645	30719.4805	27887.3301	32781.2969	32097.7754
2.0013	29654.6465	31407.8223	28158.2617	32833.3047	31965.7598
2.1347	29843.0391	32363.8008	28117.4219	31624.9688	31221.6621
2.2682	30950.7598	33324.5195	27295.5371	31347.877	30670.3105
2.4016	30262.1973	33728.2891	26338.041	31952.2266	31132.8906
2.535	31062.3145	36705.375	27858.3203	31788.1953	32805.0547
2.6684	30966.1074	45240.9727	30750.5605	31842.2441	31953.3223
2.8019	32480.1973	66673.3828	36011.6094	32690.4453	30691.1934
2.9353	36479.0234	90909.3828	46381.4961	34417.5	34851.5469
3.0687	46285.793	93290.2969	48892.0312	41188.6016	39651.9688
3.2021	61697.7773	65707.6406	39994.9609	55939.1758	51614.4609
3.3355	76067.1328	45514.1758	32863.0391	66034.7891	72310.0469
3.469	59762.1172	36993.2617	NaN	56123.2578	79465.4688
3.6024	43937.1641	33970.7148	NaN	42953.5977	59648.7734
3.7358	39915.8906	34111.4102	NaN	36356.5273	43259.0078
3.8692	NaN	35936.8633	NaN	NaN	35606.6953
4.0027	NaN	NaN	NaN	NaN	31646.4512
4.1361	NaN	NaN	NaN	NaN	30099.8945
4.2695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
