x	Y_20181208_15100_10_3g	Y_20181208_15100_11_5g	Y_20181208_15100_13_2g	Y_20181208_15100_13_3g	Y_20181208_15100_13_7g	Y_20181208_15100_15_4g	Y_20181208_15100_16_4g	Y_20181208_15100_16_8g	Y_20181208_15100_18_5g	Y_20181208_15100_18_6g	Y_20181208_15100_18_9g	Y_20181208_15100_19_1g	Y_20181208_15100_19_3g	Y_20181208_15100_2_3g	Y_20181208_15100_20_2g	Y_20181208_15100_20_9g	Y_20181208_15100_21_10g	Y_20181208_15100_21_11g	Y_20181208_15100_21_1g	Y_20181208_15100_21_3g	Y_20181208_15100_22_10g	Y_20181208_15100_22_1g	Y_20181208_15100_22_4g	Y_20181208_15100_23_2g	Y_20181208_15100_23_8g	Y_20181208_15100_25_4g	Y_20181208_15100_26_2g	Y_20181208_15100_26_4g	Y_20181208_15100_26_6g	Y_20181208_15100_27_1g	Y_20181208_15100_27_7g	Y_20181208_15100_27_9g	Y_20181208_15100_32_5g	Y_20181208_15100_5_1g	Y_20181208_15100_6_3g	Y_20181208_15100_6_4g	Y_20181208_15100_8_2g
0	31060.709	34471.9023	26389.0957	26500.5332	25781.7988	27616.5703	26318.7656	30102.9414	27501.4414	29247.4141	33831.2812	28681.0605	25125.2383	29471.3027	26839.293	31639.9727	33975.207	31560.0664	28949.0195	26404.0332	32304.7656	31420.0781	28757.7344	29446.3926	30552.127	30616.4141	28662.9863	28129.8691	29260.0645	15689.7109	26506.6172	28019.7598	30613.7988	26564.4336	32219.4688	30195.1348	30483.5371
0.1334	32210.0039	30741.666	28017.9062	26929.8906	26945.1074	27603.0723	25984.127	30485.4668	29304.7617	29759.7363	31597.9746	29381.9238	24912.2324	30409.1914	28988.2852	31545.5117	32542.9121	32748.6543	28833.5039	26204.6289	34063.3164	30911.7598	28303.873	30515.7559	29460.8984	29288.8477	29239.3594	27091.5879	29006.0352	15117.7139	26367.7852	29177.3242	30779.0039	26345.4688	32360.375	31734.5898	30590.7031
0.2668	31090.8398	33750.293	29406.2539	27382.9648	27359.0996	30212.7109	26688.5508	30413.5137	27380.8613	31356.0371	30254.9082	28350.3438	25056.7383	31209.3516	30501.5801	32278.0566	34698.5078	31710.9707	30133.9609	26539.0645	33451.2305	30018.8066	28268.4766	29107.1465	29103.7441	30483.6504	28832.0117	28870.9043	28875.916	15402.1113	25491.377	30931.9531	29213.6211	25968.5859	31707.6914	31566.2363	30366.625
0.4003	30569.3184	30397.3027	29591.1445	27941.7988	27468.5391	29869.6426	28315.4395	29867.6152	26611.375	30633.7734	31324.1387	29062.4434	25401.7988	29897.4434	30298.4727	32224.6406	33029.5078	30878.4961	30553.2676	26095.373	33620.5625	29368.834	29508.209	28952.8828	30125.1328	30817.5234	29307.0801	27551.834	28497.5664	20489.3652	26022.4375	30635.3184	29566.1055	27480.9863	33308.0117	31026.6543	30875.7461
0.5337	31370.0195	33276.0078	31285.7539	26833.5898	30203.6895	31084.3398	27363.2285	31663.1289	28374.8008	29231.5996	34215.1797	29255.582	25836.2578	31243.332	31571.0938	32062.9199	32886.832	31976.918	31257.8066	27018.5918	33234.9922	30164.8105	29530.2559	28739.2656	27434.125	31205.334	28660.3262	27521.291	29680.0938	20104.4121	25774.7012	31155.0898	29612.2109	26243.2207	33153.3438	30367.4199	31579.3398
0.6671	32166.7969	32430.373	37937.1953	28592.6914	33989.3203	34650.4219	27758.3848	30592.2637	29065.666	30700.625	37933.3633	30913.625	25131.5293	30498.1777	32269.1562	32071.8008	33315.8203	32181.0059	36711.5078	25140.0508	32062.0195	30228.1895	30524.0098	29229.2559	28585.0859	30976.4863	30377.5508	27320.0898	30981.0547	21185.3555	26555.4316	29360.8262	29836.0586	26257.3711	32962.3906	30611.9922	30811.7891
0.8005	31170.0469	31751.168	52305.4453	28406.498	38988.3203	39363.5039	29751.2773	31368.127	28445.8594	31740.7656	46201.8672	31791.0605	25177.0469	31189.9473	33934.3672	35205.4336	35782.25	32613.3223	48237.0312	26737.4062	32640.7031	32834.6875	29408.4668	30282.3262	29047.2754	31798.8477	32043.4902	30859.6719	30090.2383	21157.4121	26828.0605	29374.4297	31582.166	26409.1797	33819.1367	30443.0938	32205.293
0.934	33033.1992	34627.2617	70805.875	30659.959	61904.7227	49953.9062	33293.6562	31669.5391	29442.6543	34004.9414	69602.9062	32965.2422	26036.1113	34607.7305	36677.6289	38333.6289	40852.0703	32906.5117	76016.6641	29286.9258	33576	38824.6172	30904.0605	32040.5195	28921.998	35519.8086	36010.5156	34028.7656	30436.9883	23894.5449	28328.5273	31240.6074	31531.5664	28048.0527	33546.1484	29352.3145	34062.625
1.0674	34872.5234	35565.9727	72350.4141	30753.541	89430.8359	80100.6797	39890.8281	34055.4023	33128.832	39865.207	127266.2969	38322.4023	26594.8633	39997.1445	47199.9023	41213.3125	52593.7773	32778.0703	97625.6484	31515.0723	32733.1406	51692.5859	32100.3945	34385.8164	30655.2109	39488.8516	45417.8555	41924.9766	32836.7773	26729.6816	28974.1484	31844.002	34377.3477	33499.7656	36396.8555	30714.0527	42310.4805
1.2008	41917.0586	37641.2227	57418.3633	33515.4922	81889.9766	100214.7344	58561.8633	39296.125	44810.3359	52881.7188	162726.0469	48341.4062	29142.543	54246.6758	70003.2969	55605.5156	88706.3125	34946.6172	79690.9375	38287.3711	33728.4883	76639.9141	34226.7188	41492.4531	33419.5	47399.3906	64758.6367	65660.6328	33587.2227	42724.9297	33546.543	35424.1523	39616.0039	47000.9883	45506.3945	32801.1172	57992.3398
1.3342	55998.5938	46631.0469	45603.457	37373.9023	53200.7656	78842.7891	85282.9062	58884.3398	71170.5703	71932.8828	124477.1406	72018.1719	35074.5391	84633.5547	102055.8906	81661.3438	112381.5781	35979.2773	52413.8828	61177.6523	32995.0938	91837.7422	41742.2617	58965.1445	39709.6797	69747.0078	97487.8359	90865.6875	44508.875	67461.7188	42978.3398	44382.4648	51341.5938	72761.875	70415.1875	36578.3672	71793.5156
1.4676	63516.5078	73430.625	39083.957	47344.0195	38565.9766	47599.5703	93717.4531	94061.1406	91122.2109	83204.5625	73888.0156	107275.9219	50130.8867	99341.2422	98995.5625	124666.3828	93344.3516	42072.7305	40836.0547	95488.3047	36613.2383	68559.1641	53670.4336	90796.4375	53183.4688	94032.5781	106667.4844	78240.1562	63196.793	100879.3281	60981.4062	68365.0391	61044.0039	79223.4531	108068.2188	47299.1602	67219.4922
1.6011	58028.7539	137173.6094	33228.4844	66571.5781	31047.5371	36982.9023	69056.1641	119013.5781	74119.5391	66910.3984	48023.7188	113623.4609	65858.3828	75899.75	67856.3906	136770.0469	62838.3711	56513.7656	35094.5586	104917.1719	43999.6172	47371.8555	80306.2344	100301.3828	79134.6562	81558.1719	77801.9766	55201.1367	83185.25	111591.1797	79435.1875	83659.5859	56601.4023	62069.8008	108942.6406	64976.1914	50165.2656
1.7345	42608.4531	174783.7969	NaN	79793.6172	NaN	32472.457	44615.5117	96596.3906	48787.3164	47940.293	43405.4844	79513.7031	63167.7344	53192.1211	47196.3672	95172.3516	45855.0352	80245.8203	33169.7852	70702.6641	66127.8281	39499.7656	89572.9141	69259.9844	85076.1875	52551.2773	49914.1094	39017.5273	78079.8594	86203.5	75255.3984	71806.4297	42613.7266	41141.9258	71306.8438	75504.4688	38475.4648
1.8679	36054.8516	137184.6406	NaN	64597.3398	NaN	31406.6602	33306.2148	60037.668	37803.4453	38179.0156	39647.9844	51058.5586	47489.2109	40242.293	NaN	59870.1914	40572.3516	93379.4062	33102.9531	45732.5938	96459.8984	37784.4023	65689.2812	44771.9102	62297.6289	39662.5938	38758.2773	34570.5547	53051.6562	53716.9688	52514.8828	50596.5195	35966.125	34348.6367	51559.3594	60152.6836	34877.25
2.0013	34433.5352	73739.1094	NaN	42945.5898	NaN	NaN	29647.4336	43665.3984	31874.2656	33191.5938	40123.3672	38778.0312	40227.7422	35657.3828	NaN	46332.7852	36573.3633	74012.1094	NaN	35531.7383	93220.7422	41817.207	44047.2578	35131.2773	44185.6406	34623.5039	34131.4648	32789.7266	41854.2031	38761.375	39721.7969	41322.957	33231.6484	31047.3672	42532.7969	42079.4141	32507.6719
2.1347	34666.9141	49101.0703	NaN	36147.875	NaN	NaN	28395.3633	36182.8594	30904.5	30497.2637	NaN	34025.7578	45418.6172	34377.1953	NaN	40029.6836	35591.4648	52068.1211	NaN	32084.4316	65576.6875	NaN	37558.0781	33401.1602	35286.6797	34221.7734	33785.7852	29526.1172	37251.8398	31777.1055	34027.5312	34690.6562	31682.6055	30302.0996	37653.0234	34846.0391	31296.0781
2.2682	32693.8789	39673.2773	NaN	32218.0898	NaN	NaN	NaN	34124.5977	NaN	NaN	NaN	30912.3594	NaN	33770.0938	NaN	39229.4453	NaN	39912.7656	NaN	30988.6094	48704.7812	NaN	34324.6094	34121.4922	33590.875	34409.5859	31290.623	NaN	33545.9844	28625.3086	NaN	31892.502	31245.3301	NaN	35860.207	33599.8594	29643.6934
2.4016	NaN	37477.0586	NaN	30264.1016	NaN	NaN	NaN	34750.2891	NaN	NaN	NaN	31729.1348	NaN	NaN	NaN	39594.4883	NaN	36147.7148	NaN	NaN	41070.3516	NaN	32042.9492	34184.6172	34636.2266	NaN	NaN	NaN	NaN	28350.7324	NaN	31001.1758	NaN	NaN	37768.0469	31946.2598	NaN
2.535	NaN	34492.543	NaN	29424.6758	NaN	NaN	NaN	32953.2188	NaN	NaN	NaN	30771.7129	NaN	NaN	NaN	39963.7578	NaN	NaN	NaN	NaN	35972.4336	NaN	32116.2324	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30285.2461	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	35532.3594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35297.6758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	32632.5859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
