x	Y_20181208_15100_1_7g_left	Y_20181208_15100_11_4g_left	Y_20181208_15100_14_1g_left	Y_20181208_15100_16_1g_left	Y_20181208_15100_17_5g_left	Y_20181208_15100_18_3g_left	Y_20181208_15100_19_5g_left	Y_20181208_15100_4_1g_left	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g_left	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g_left	Y_20181208_15100_7_8g	Y_20181208_15100_1_4g_right	Y_20181208_15100_13_10g_right	Y_20181208_15100_14_1g_right	Y_20181208_15100_14_4g_right	Y_20181208_15100_14_6g	Y_20181208_15100_14_9g	Y_20181208_15100_15_12g	Y_20181208_15100_15_6g_right	Y_20181208_15100_16_1g_right	Y_20181208_15100_17_11g	Y_20181208_15100_17_4g_right	Y_20181208_15100_2_1g_right	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_12g	Y_20181208_15100_22_13g	Y_20181208_15100_22_21g	Y_20181208_15100_22_2g	Y_20181208_15100_22_5g	Y_20181208_15100_26_3g	Y_20181208_15100_27_11g	Y_20181208_15100_27_4g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_3_1g_right	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_3g	Y_20181208_15100_4_6g	Y_20181208_15100_6_5g_right	Y_20181208_15100_7_5g_right
0	27171.4707	31341.8281	35144.7773	27618.9277	28190.7852	29798.6543	25424.0449	26601.1973	28329.9219	32206.8574	30326.4863	29562.1562	31247.4082	30109.9766	31386.3027	31562.1758	26762.6113	23360.8008	26510.6289	28766.6992	24947.1016	27983.3125	28069.875	28245.5312	27198.3242	30610.209	30882.6816	30026.3145	32182.9648	32447.2578	31941.4492	27743.1426	30451.6953	32111.2129	29261.8555	30644.3633	28373.1934	24846.1738	27933.1875	32118.9688	31813.0645	25961.0254	31987.7578	27607.7832	28476.7285	26647.9824	29520.8262
0.1334	25602.6934	31402.2617	31087.2148	28150.6035	28565.8359	30259.6035	25584.6465	26496.7324	30745.541	32959.0977	31274.877	28950.123	30913.6387	28669.3594	29232.3047	31072.5957	27203.1895	23528.3887	28039.7969	29000.7891	25777.4004	28154.4668	27641.0898	27122.8105	27977	30879.9785	29756.5664	31312.666	33245.6484	33131.4258	30749.9102	28090.7383	29741.3086	31724.332	28149.4746	32360.0039	30070.3652	24623.0527	29539.5566	31113.8789	32349.6992	27601.9219	33607.668	27575.3906	26843.0586	26186.9766	30549.5195
0.2668	25943.7441	31618.168	29266.1602	27366.4336	27397.1113	29030.0625	26295.377	27018.6973	31065.7891	31631.1309	32018.207	29229.3789	31579.3984	29933.0488	29406.377	31695.9844	26768.5996	24144.1738	27755.9648	30028.1836	26348.1836	26343.373	27137.6426	28074.3438	27494.7402	30143.1895	30037.041	31453.2949	31078.4473	33230.1211	31795.4336	27613.8398	29826.1367	30988.123	28524.6699	32774.7305	30030.4395	25039.873	30333.9336	32012.832	31492.2207	26789.4297	31926.4609	27630.4238	26826.6289	27383.8203	30209.373
0.4003	26881.6973	31558.3105	29533.127	27491.2969	28053.2305	28740.0977	27287.9492	25841.4707	31379.1504	33315.6562	31910.5645	30124.6523	32078.0996	30850.2832	31554.0938	33379.1719	27410.6094	23449.5684	26834.7402	29100.8203	25401.8379	27916.2559	27902.4043	28178.9609	27606.9883	29409.5312	30414.2754	30242.8965	31169.1699	33662.8203	32037.4902	27391.6035	30918.5195	31996.9883	29369.5762	30788.5664	30116.1074	25158.9648	30492.6406	31629.8848	30442.9707	27021.7383	31909.5215	27348.4199	27310.6816	26753.4844	29047.877
0.5337	27567.8945	31807.293	29336.6523	27635.4922	28771.9062	29333.9023	26252.7734	26902.8242	31441.293	33245.4688	31982.4551	31579.1367	30201.5664	30119.0273	31695.4824	33754.3711	27441.4102	24363.8535	28718.8945	30028.416	25962.7617	28496.7656	26667.7051	29078.3984	28574.1016	30221.5566	30729.3008	30574.4551	32825.6289	33624.4023	31481.8359	28271.8027	29502.5508	31789.3887	29765.2598	30659.8496	28927.5566	25353.4043	31510.875	31975.5645	31297.582	26306.2559	30323.7422	26781.3301	27359.7441	25288.7773	29780.543
0.6671	27558.2324	32661.5566	28843.7852	27525.2656	27677.6289	30015.1211	25227.9375	27828.791	31846.5352	33409.3984	32805.7109	30957.1328	29578.8145	32668.5254	31633.2363	31506.1484	26764.6699	24029.6289	27817.3887	30088.5645	24948	27410.418	28610.7422	28253.3906	29051.5547	32347.9648	31829.2578	31535.3516	32357.5391	32846.1016	32406.1543	28252.0352	28581.5977	30620.8477	29794.5703	31087.7188	28939.3496	24542.9902	28778.457	32251.0879	30808.0098	26922.5566	30942.8047	27744.2402	26819.4609	26045.4922	31089.9668
0.8005	27323.9414	32354.9277	30572.9375	26460.3691	28725.1348	30369.9551	25455.4082	27741.3516	32859.7227	32161.8984	34243.7109	31553.1562	31319.0078	30883.0371	32088.1094	31409.7461	26462.3828	23411.6172	26790.1777	29336.75	24557.4629	28928.2402	26978.8164	28240.9004	27948.0352	32413.6035	31504.9023	31023.748	33507.7656	33841.4258	32911.3945	27854.3105	29760.5977	30938.6562	29882.8594	31244.0938	30157.2012	25465.0293	29912.3867	32756.4512	30515.8223	26625.8906	33599.75	27747.8359	25993.3184	27102.875	32064.5215
0.934	26970.4043	33290.2969	28006.3848	26239.5781	29485.5996	30638.0547	26259.8594	26278.1875	32282.7324	31763.3379	32282.502	31270.7324	30845.4863	31378.0957	32296.166	30688.959	27396.4004	23280.0391	26377.7305	29356.4121	25652.791	29041.3906	27210.541	27512.7305	27837.1172	31637.0332	31748.8203	33368.9961	32995.1719	33692.4102	32611.9395	28721.2051	29081.332	30135.0039	30671.6738	31399.9863	29724.9727	25063.2773	29723.8613	31402.3691	30116.3594	26427.8711	31711.8672	28436.3379	26626.248	26698.9492	32475.0957
1.0674	27668.0039	34152.9766	31219.1328	27574.1621	28880.6914	30969.3984	25852.7324	28690.8262	33244.7227	31500.9395	32316.457	31858.4492	30706.0098	32435.1504	32093.5156	30179.2188	25673.5156	22521.3145	29118.3086	28957.2324	26169.502	27289.9707	29522.3262	26752.9199	28512.7773	31588.5273	30158.4219	32956.6992	31708.9395	33454.2305	31958.9805	29512.2383	30184.752	30353.5898	29712.4316	32246.1738	29794.2695	24466.4199	29216.125	30229.4824	31887.5371	27169.1328	31114.2852	28486.8691	25369.5508	27427.4609	32154.875
1.2008	26355.959	33774.125	30398.2383	27604.2754	27522.8789	30741.2852	26116.3926	28154.0762	31401.1562	31998.7676	32699.1387	32197.5371	30935.2383	32179.6211	31935.6719	29788.9316	25910.8594	22921.4238	30264.6309	29427.5293	25152.8926	29581.8398	28772.3965	28212.4941	30038.5254	31299.2207	30047.5781	34854.4414	31671.9004	31717.5488	31848.8379	28011.2871	28948.5273	30127.7559	29098.9668	31691.418	29352.5117	25059.668	30374.5527	31477.1465	30991.3145	28540.9551	31782.4668	28294.9141	25705.7188	28367.1953	32148.6875
