x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_4g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_6g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_11g	Y_20181208_15693_13_12g	Y_20181208_15693_14_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_7g	Y_20181208_15693_15_11g	Y_20181208_15693_15_9g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_4g	Y_20181208_15693_19_8g	Y_20181208_15693_2_2g	Y_20181208_15693_2_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_20_4g	Y_20181208_15693_3_4g	Y_20181208_15693_5_6g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_8g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_6g	Y_20181208_15693_7_7g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_9_8g
0	12738.5059	12140.0771	10944.4102	13457.7246	11935.8008	11636.2646	10512.8105	13831.002	12561.8574	14551.6299	11147.874	13228.96	14049.8711	12929.125	11223.7588	10672.5088	13631.0488	11974.7178	10489.1846	12482.708	13133.9082	10218.8838	10369.749	11494.7598	11854.0898	11466.7852	11575.1523	13225.4336	13511.21	12363.2529	12875.96	12946.7275	12668.417	13477.3818	10348.8066	14773.4814	9601.9346	14013.4863	12209.416	12098.0654	12500.3877	12314.584	12250.8242	11319.8223	12576.7148
0.1334	12905.752	10989.8262	11369.8047	13681.4775	11889.5156	12192.748	11894.8838	13864.8496	13544.7793	18579.1367	11151.3887	14256.417	14293.6875	13498.4404	11088.8809	11359.9043	16094.9043	12482.3115	12372.3154	12686.6914	13812.6143	10077.4082	12094.0176	12256.0195	12805.0215	12840.6553	12522.0996	15358.1641	13586.2588	13494.1064	12945.7314	13770.9609	12734.7539	15117.6035	10858.7949	17594.3242	9429.3145	13324.1299	11908.1621	12777.5107	13683.6201	13143.7227	14834.6074	12143.8574	13784.375
0.2668	12460.1895	11899.4014	12835.1904	15806.8779	13841.4863	13916.7832	12926.5967	13464.5732	14939.668	17965.582	12198.8428	18150.8594	15896.2451	15637.6455	11079.9941	11691.373	20504.5977	13278.7627	13539.543	13703.9756	16485.3281	10287.9463	15311.5176	14027.1826	16154.9229	15096.7861	13625.6768	19110.3828	15599.6436	14901.625	13518.1465	15505.4414	12844.7324	16429.5566	11069.9316	19924.7148	10095.7812	14858.8643	13148.5264	12976.0156	15035.5771	14608.6895	16834.3535	13713.2129	14091.7432
0.4003	12731.9043	12234.3447	13617.4707	18228.4922	17101.3867	15643.8203	13071.8262	14075.499	15093.5596	15383.9697	13630.4111	19443.4961	19298.8242	20284.4824	12315.6943	13633.9102	23813.4805	14232.0576	15458.6406	16409.9824	19593.5781	10413.3555	22427.6719	16495.7051	20615.2246	18166.9844	17447.332	20334.1172	21849.4043	16265.5664	16102.248	18521.3809	13462.2422	19262.5645	12550.6221	19144.0098	10049.7715	16835.0488	14532.1162	13418.9238	16320.7637	13846.8291	18091.0664	15901.2871	14790.7041
0.5337	13028.083	13038.416	14353.0996	18587.8613	17801.4961	17132.4258	12295.3525	15897.1592	15164.1865	14043.123	15619.165	17150.4805	25818.1035	23469.418	14126.0127	16308.8828	20891.2695	17452.1426	17070.0879	19388.6289	22111.1602	10674.2871	25514.3066	18557.4648	21184.3691	18241.1348	19957.043	18215.2715	26355.8809	16644.0957	16981.0098	19503.4941	14014.2959	20061.7109	14628.6943	16386.1172	11081.9893	16864.9336	15085.7324	15061.9834	19092.0723	12416.8027	15526.9561	16866.4004	16518.7695
0.6671	14884.6074	14216.7891	13175.4268	17080.1094	17075.9082	16914.1504	11839.5645	17742.1289	14821.8154	13026.1113	16609.2227	13995.4551	28453.9609	23053.8984	17097.7148	17370.2656	16900.9961	19333.0371	15863.9756	19873.4922	20884.8184	10817.5615	22836.957	18261.6172	18055.8086	16190.5977	18780.1836	16190.6807	24339.0664	14914.6445	17523.4922	16607.457	15450.918	19390.8613	16777.3848	15421.2773	12003.9678	16402.8145	15329.6836	16325.6484	21513.6094	11953.0645	14523.4844	16286.9482	17206.3008
0.8005	15737.9531	14616.0176	11917.0723	14319.9648	14709.4854	15213.9121	12328.8311	17283.2402	14546.501	12762.4014	16049.9824	12245.3135	24968.0859	19604.0039	18271.7246	14929.6602	15806.6152	18521.5762	15404.248	20359.9395	20302.2559	11179.5586	18664.4004	17473.2578	15835.042	15649.3457	16308.374	15001.5635	21505.3008	13946.3604	15411.7344	14591.958	17400.377	17752.8125	17527.6758	14290.458	14073.7188	16446.625	14506.3086	15387.1328	20829.4785	10858.3271	12476.3301	13857.8447	16215.4844
0.934	15850.5361	13401.957	12184.9902	15322.3359	13162.2295	14186.8154	12034.3135	14959.3398	14382.9736	12704.9248	14849.9336	12272.5674	22504.6875	18039.7031	16992.3203	13468.748	15253.083	16936.6914	16022.2588	17161.1602	20293.2285	11400.3184	16934.1738	17999.9414	14893.2383	15531.543	15126.3105	14499.7012	18975.3535	13531.3887	15437.1328	12878.8018	16490.6484	15808.2471	17612.4277	14595.0312	14793.5039	15744.6455	13976.1289	13678.5801	19238.7383	10880.4375	12581.0215	13258.9277	15051.7012
1.0674	15328.9131	14016.1904	12817.1367	15559.2139	13174.9268	14497.1152	11842.4697	13372.6494	13146.1406	13706.2715	14841.6943	12614.96	20390.3223	16401.7344	15097.4551	12789.2422	15030.9473	15506.5889	15043.96	14300.0977	23525.4668	11337.0078	15351.3438	16004.1475	14920.1787	15238.2344	14663.4219	14400.418	17561.2637	12178.6699	14679.0781	12290.248	15135.0801	13924.6523	16703.002	14807.5986	15819.2998	14977.4795	12787.6934	12907.9092	18256.7832	11342.6318	12389.6016	13317.1436	14169.459
1.2008	15098.3936	13664.4551	13085.4219	15639.6943	13445.4004	14243.1562	11864.4346	11726.5479	12597.5371	14189.6396	14430.8486	13556.9004	19420.0781	14685.3145	12855.6494	13328.9639	14499.6221	13898.5342	15332.7061	14453.2656	24102.6836	10963.1494	15307.9346	15426.4668	14392.6455	16023.8027	15292.5742	14032.3945	17572.7637	11652.5732	14793.2344	11767.5137	14649.8271	14497.5469	15894.3545	14425.3975	17242.0488	14894.9951	11700.9512	13182.9102	17166.3887	11244.8184	14216.9297	13909.6768	13235.9053
