x	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_11g	Y_20181208_15693_10_13g	Y_20181208_15693_10_1g	Y_20181208_15693_10_20g	Y_20181208_15693_10_7g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_12_7g	Y_20181208_15693_13_12g	Y_20181208_15693_13_2g	Y_20181208_15693_13_9g	Y_20181208_15693_14_10g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_11g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_2_1g	Y_20181208_15693_2_5g	Y_20181208_15693_20_1g	Y_20181208_15693_20_2g	Y_20181208_15693_20_3g	Y_20181208_15693_4_5g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_3g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_8_5g	Y_20181208_15693_8_6g	Y_20181208_15693_9_12g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g	Y_20181208_15693b_1_10g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_10g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_13g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_6g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_22g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_6_8g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_14g	Y_20181208_15693b_9_4g
0	13457.7246	11935.8008	11630.3633	9644.9727	11689.8662	13667.6172	9840.627	10512.8105	13831.002	12095.1904	12110.8721	14551.6299	11147.874	13228.96	11180.9834	12929.125	11400.5098	12258.1562	10979.7666	10672.5088	15604.8379	11974.7178	11150.9355	12013.1562	12482.708	13133.9082	11668.8984	10218.8838	10369.749	10796.4609	12145.5273	11257.3975	12424.6943	12875.96	12493.75	12946.7275	13000.9893	12189.8721	12213.1094	14773.4814	9601.9346	12209.416	12098.0654	14927.1748	12250.8242	11319.8223	15211.9326	10835.7559	11452.2051	11439.4531	13352.7246	13795.2949	13889.5361	14738.4697	13721.5967	11684.3135	12143.6514	11233.3643	12132.3076	11206.2148	11557.1777	11127.1387	12045.0342	11724.4014	12417.8574	12572.457	15358.9717	12314.6367	10809.499	12218.9756	11764.7861	11178.5977	10635.5234	11744.96	11070.1387	11752.5	11448.084	12153.9609	14888.6924	13214.6582	13115.4277	11852.5791	12142.168	11789.1104	11147.5098	13207.4277	10654.1875	12934.1738	11586.2637	11118.0947	11019.5557	10439.5488	11658.7314	11240.0342	11536.5098	11445.5273
0.1334	13681.4775	11889.5156	12888.2764	11663.209	11764.1475	13052.332	9841.9346	11894.8838	13864.8496	13470.5127	14144.2754	18579.1367	11151.3887	14256.417	11427.542	13498.4404	12359.9844	14045.5049	12574.0908	11359.9043	17951.4766	12482.3115	11946.375	11535.585	12686.6914	13812.6143	13725.6084	10077.4082	12094.0176	11199.2207	13043.0273	12380.5127	14959.6406	12945.7314	14024.4688	13770.9609	14030.2139	13151.1846	12199.915	17594.3242	9429.3145	11908.1621	12777.5107	17675.6953	14834.6074	12143.8574	18253.3809	11013.2305	11922.7324	11596.5801	13702.335	18128.4961	14738.7832	13916.1328	13637.8291	12483.2881	12143.958	10888.6094	14012.8643	11502.9102	13205.8252	11660.0068	12622.0439	11368.5498	12516.8848	13713.7627	16196.1621	14275.166	11018.6514	13766.4688	11331.3311	11145.7969	11112.2725	12212.793	12450.5967	12024.2852	11392.9531	14613.1953	15329.7725	13560.6768	14509.9863	11650.3262	13636.666	11552.4229	13086.7031	13920.2402	11327.3477	15424.1611	11787.5215	12135.7695	11755.4277	12347.3584	12176.5713	11724.9639	12356.8984	11336.5811
0.2668	15806.8779	13841.4863	14613.7354	13037.2207	12097.6738	14099.1357	10170.7412	12926.5967	13464.5732	14608.1279	16538.7891	17965.582	12198.8428	18150.8594	11812.3418	15637.6455	13819.0703	17900.8555	13640.8613	11691.373	15378.4658	13278.7627	12454.832	12373.2432	13703.9756	16485.3281	17193.3008	10287.9463	15311.5176	11336.1094	15615.3418	13951.0068	16892.3066	13518.1465	15823.8672	15505.4414	16963.5176	15304.9531	12334.8984	19924.7148	10095.7812	13148.5264	12976.0156	19263.8926	16834.3535	13713.2129	18505.248	12265.0547	12649.165	12986.9287	15860.3076	21743.5137	17773.4785	13768.375	15567.6816	15964.9766	12848.085	11740.1758	15722.0283	11800.2461	15105.5566	12077.3105	14231.7178	11426.1992	12752.6758	15952.9863	15680	14805.959	11951.8799	17843.3066	11267.4551	12079.1387	12798.292	12043.0488	13416.3516	13616.1982	12365.5684	16267.9697	15007.0273	14263.3613	19372.6406	11743.3389	15514.6338	12770.2109	15615.8535	15961.5674	11863.3389	18733.1641	13298.1924	12197.5547	14469.5342	15793.5869	12372.8096	12024.1465	12299.623	11593.9053
0.4003	18228.4922	17101.3867	17366.7441	13772.4023	12420.3428	15553.7998	10305.6846	13071.8262	14075.499	17512.1406	18999.7695	15383.9697	13630.4111	19443.4961	13126.8613	20284.4824	16731.5898	19075.2422	13229.5957	13633.9102	12722.2373	14232.0576	13740.1494	13252.5557	16409.9824	19593.5781	21277.3262	10413.3555	22427.6719	13009.0615	18366.7871	15508.9863	17482.5117	16102.248	19020.0898	18521.3809	20768.3945	17585.127	12314.2402	19144.0098	10049.7715	14532.1162	13418.9238	16772.5508	18091.0664	15901.2871	15996.9043	13976.8047	13676.9473	15062.21	19941.457	24475.1172	20689.1602	13414.7129	18493.0371	18314.873	13816.7129	12927.2021	19356.209	13726.209	17619.4766	12499.9697	14219.543	12778.3926	14826.4609	18670.8223	16432.793	11909.377	14095.9521	22143.5293	12164.2021	13038.9189	14847.5645	12451.8857	14707.127	14794.6094	14871.0635	16465.0176	15625.3467	16450.8926	23723.8066	12855.3291	15892.6787	14037.5557	17468.5078	16771.2637	12369.8711	21271.1699	14638.0361	13488.7529	16404.084	17798.7656	13750.7949	14790.9404	12439.3965	13033.6602
0.5337	18587.8613	17801.4961	18451.1895	13473.1816	14351.5117	16615.9375	10497.8125	12295.3525	15897.1592	17611.2871	17903.7969	14043.123	15619.165	17150.4805	13439.415	23469.418	18289.0449	15664.1465	13233.9248	16308.8828	13489.8477	17452.1426	15923.8193	14294.8271	19388.6289	22111.1602	20578.4414	10674.2871	25514.3066	13892.5391	18826.9102	15796.6396	17462.2852	16981.0098	18132.9727	19503.4941	18572.1738	16832.8164	13531.8984	16386.1172	11081.9893	15085.7324	15061.9834	13737.0479	15526.9561	16866.4004	15273.9424	16271.8232	15203.1807	14976.3018	19702.7285	21075.5918	21287.4434	15172.0459	21566.2188	17895.084	14914.6533	12617.6514	22522.8379	16799.127	17050	13967.4727	13224.9316	15084.9336	17025.7363	18101.8398	16459.375	11229.2529	16762.6133	21849.877	13830.0566	14325.6172	16132.7422	14857.5537	14127.9375	15089.334	17040.416	15330.6797	19542.9766	17480.2168	20430.9766	14869.4092	16754.5273	14987.8438	17747.1191	15165.6699	13601.5596	19690.3555	15508.7158	14119.4473	15002.6729	17677.3945	16605.2559	16730.9297	14105.8408	14695.8291
0.6671	17080.1094	17075.9082	16213.5078	12883.2197	15089.7031	16363.625	10331.4014	11839.5645	17742.1289	16918.9492	16660.7754	13026.1113	16609.2227	13995.4551	12187.5518	23053.8984	16893.4355	13306.8662	12456.8242	17370.2656	14940.5498	19333.0371	16176.0459	14304.1221	19873.4922	20884.8184	16303.9082	10817.5615	22836.957	15336.9717	16248.8076	15340.9502	15569.6582	17523.4922	16172.8799	16607.457	17245.4082	14371.6406	15436.5225	15421.2773	12003.9678	15329.6836	16325.6484	12147.1104	14523.4844	16286.9482	14561.1943	15420.7432	15776.7363	13043.5273	18080.6797	18055.2383	18222.9414	18125.8691	22469.7012	15915.7285	14042.1436	11837.2129	21892.8633	17677.2402	15060.6816	13696.334	12746.6104	18337.4844	16697.5352	16146.5	15373.9189	11310.0176	18693.8984	19546.4238	15088.4795	14365.9121	14678.7451	17442.4395	13146.3896	13582.7168	15440.2041	14261.5527	22717.4473	15508.1592	16386.5059	17222.6523	16549.998	14908.833	16246.0537	12934.4756	13363.7764	16547.7246	14302.9463	13745.9424	13208.5137	16103	20636.7676	18012.877	16688.6367	13621.0879
0.8005	14319.9648	14709.4854	14658.4102	13965.1621	14821.1289	14402.2812	10800.373	12328.8311	17283.2402	15708.4004	15603.1357	12762.4014	16049.9824	12245.3135	11158.4971	19604.0039	15594.1592	12127.5752	12591.748	14929.6602	15464.3643	18521.5762	16242.0791	12006.6475	20359.9395	20302.2559	15043.3799	11179.5586	18664.4004	13917.7598	15362.6777	13787.5928	15083.5156	15411.7344	16302.8955	14591.958	15172.4893	13303.665	16569.6035	14290.458	14073.7188	14506.3086	15387.1328	11604.29	12476.3301	13857.8447	14522.6738	14777.5215	15054.1035	11307.4375	17164.3477	17415.1934	17522.7656	21460.7559	20599.0234	14737.166	13931.4482	12038.7432	18139.8398	14510.21	13409.2168	12320.3047	12662.5508	18147.6406	16767.0078	15541.8496	15530.3564	10846.1084	19270.9648	16756.4609	14543.3379	14170.4033	13197.3467	20238.2715	12682.0078	12810.6885	13673.7871	13564.9043	23251.1172	14305.7148	14859.5332	15579.7422	14301.4365	13982.2568	15699.0068	12591.3848	12487.7236	13299.3955	15402.7236	13715.291	12092.1162	15149.4668	25228.0273	16965.2598	17268.3184	13026.4951
0.934	15322.3359	13162.2295	13335.2617	13826.5352	13816.2383	13727.5703	10503.7988	12034.3135	14959.3398	14379.0107	15298.8027	12704.9248	14849.9336	12272.5674	10505.9658	18039.7031	14575.6768	11391.0928	12843.1748	13468.748	14447.6279	16936.6914	16305.9512	11624.7246	17161.1602	20293.2285	14985.9326	11400.3184	16934.1738	14249.2744	14955.8398	12244.1504	14149.9014	15437.1328	15657.4678	12878.8018	13876.8877	13863.7734	16794.5234	14595.0312	14793.5039	13976.1289	13678.5801	12217.6338	12581.0215	13258.9277	14724.6777	14036.0391	12975.877	10968.5312	16186.6104	17959.959	16754.4453	20986.4844	18499.4375	15830.5674	12806.7637	11676.4033	16179.6377	13426.6055	13397.0703	11388.5381	12666.4102	17240.1797	17052.0059	14478.9141	15608.4668	10861.6855	16617.4844	15882.9365	13746.1279	14316.0508	12063.0801	19807.5254	11734.8809	11784.2812	13176.9121	14374.0645	20264	13337.5898	13589.8682	15172.2539	13194.6895	13160.4082	16039.3232	12942.2656	11094.3887	13476.0811	16124.7783	12975.5576	11701.335	13722.002	25830.3359	15273.376	16122.7314	13092.0166
1.0674	15559.2139	13174.9268	13427.4951	13743.0879	13432.2715	13288.9727	10581.5273	11842.4697	13372.6494	13956.9307	14200.041	13706.2715	14841.6943	12614.96	10932.8682	16401.7344	14045.9375	11484.1094	13291.501	12789.2422	14169.3389	15506.5889	16503.5977	10889.0859	14300.0977	23525.4668	14219.5664	11337.0078	15351.3438	14607.6406	14450.0674	11709.7129	12782.8115	14679.0781	15247.0986	12290.248	14202.1992	14503.873	15277.3164	14807.5986	15819.2998	12787.6934	12907.9092	11781.6348	12389.6016	13317.1436	14138.8984	13467.2129	13292.6201	10936.5566	15065.5225	20141.1172	16011.25	19767.0312	15164.042	16731.3496	13412.5508	12173.0742	15396.4541	12878.1475	12787.9873	11117.5498	12555.1592	15327.4473	16853.7539	13242.9463	14942.6572	11837.874	13296.8105	15396.9707	12758.8652	13492.9434	12123.3818	16977.8574	12340.4629	12544.9141	12754.0156	14213.7314	16566.7871	12520.876	13969.9551	13576.2188	13406.3223	12683.5635	16518.6387	12426.3291	10624.4219	13680.0117	16086.041	13088.7158	11234.5684	13455.332	21699.8125	14787.8584	15755.126	13550.8105
1.2008	15639.6943	13445.4004	14216.0986	13111.0869	13740.5791	12503.3164	10658.3184	11864.4346	11726.5479	12721.1963	12253.2109	14189.6396	14430.8486	13556.9004	11618.6895	14685.3145	14044.7578	12224.9326	12989.2861	13328.9639	14013.0586	13898.5342	16338.1748	10723.0498	14453.2656	24102.6836	13806.7578	10963.1494	15307.9346	15552.8682	14571.8223	12274.0342	12854.2881	14793.2344	14771.2363	11767.5137	13976.5693	13266.7354	14030.0527	14425.3975	17242.0488	11700.9512	13182.9102	12221.0303	14216.9297	13909.6768	13761.6133	13323.7881	12167.9961	10974.3877	15435.1621	20616.6719	14019.3564	19723.1406	15300.9639	16693.877	13494.5752	12557.5127	14041.9551	12629.9766	12328.5088	10981.916	13200.2217	14088.9346	15944.7725	13166.3467	14712.0664	11650.3555	12289.3584	14747.3311	12292.0811	12827.9922	12172.085	16061.2842	12365.3574	12849.5117	13499.9463	14373.8975	15679.6934	12297.877	13575.5605	13469.9707	13556.8545	11617.0947	15817.6611	12265.6777	11168.9209	12715.0254	14751.2227	12315.8994	11461.9756	13799.2812	19207.5566	15980.8467	15252.5723	13869.4004
1.3342	14992.3828	13210.0928	15687.5234	12811.2217	13935.7363	13302.1748	10557.6328	11910.3682	11569.7715	12738.5303	11036.6045	14316.1738	14328.2939	13386.7861	11888.2539	13969.04	15328.8008	12385.8633	12212.2383	12763.3184	12089.6455	13402.7822	15661.3193	10952.1582	14197.2451	22391.3652	13886.3848	10839.96	14390.9297	17748.084	16435.4043	13076.2637	12019.4502	13861.2236	14433.4082	11774.1172	13919.1465	13274.2559	13983.5439	14789.5645	17311.8613	11236.5576	13528.3154	11908.5801	13909.043	13827.0088	13475.6484	12330.6641	14193.8154	10239.1357	15857.0566	20422.0469	13465.5391	18836.2539	16765.7676	15268.0762	13096.4307	13903.0947	12860.0605	12070.7002	12807.6826	10649.9834	12854.0273	13364.0713	16993.7246	13339.3242	15118.208	11193.7373	11797.3018	14871.4336	11505.1416	13007.5918	12556.7295	16139.9746	12879.9492	11928.8975	13877.0078	14297.2461	14767.8164	12575.1436	13737.3281	14389.3643	12783.4678	11418.7344	15208.0479	13088.5146	11510.4893	12163.1172	13513.7188	12147.8994	11420.8242	14173.8223	16658.8398	16301.0664	13083.332	15257.2988
1.4676	14679.3779	14354.4736	16201.8486	13907.3828	13586.6357	14926.4531	11181.04	11895.6357	11853.5137	12824.4268	11105.8516	13329.2324	13345.9062	13837.8008	11854.2549	12667.0273	14307.9395	12944.2568	12256.5195	12814.001	11919.3379	13490.4395	15135.8516	11105.9502	13075.2812	18780.1445	12906.2744	11353.1338	14294.3828	18123.6016	17711.0254	13922.1035	11976.7305	13597.2197	13245.8115	11857.752	14016.0146	11645.9443	13110.5645	15469.9658	17031.748	10957.792	13695.6289	11715.3086	15304.126	13624.291	12927.96	12557.5146	14638.834	11121.9482	16224.5078	17817.5039	12558.2891	16467.5332	16481.1465	14417.7256	13677.2061	14342.7246	13167.3701	12665.2842	13497.4219	10924.6172	13020.5527	13677.9355	17493.9023	14562.3711	14403.8545	11447.7471	12742.8398	15422.6855	11888.4805	12656.8213	13627.7344	16670.4258	13640.7383	11796.9307	15565.499	13034.2842	14601.6924	14421.623	13464.0283	13504.5586	13645.3057	12029.5596	15000.543	12091.1484	11718.6523	11737.2842	12430.6182	12374.5459	11613.1709	13746.0332	14676.6846	16110.873	13243.2207	15720.2969
1.6011	13163.1992	13724.8779	16488.7305	14485.9707	13510.3701	13621.6455	11617.5547	11524.4189	11708.2461	14156.1367	10751.2422	12796.4551	13302.7207	14422.6045	12942.0293	12179.5908	14943.8076	12003.2129	11852.0693	12615.1797	11923.583	13384.251	15389.1221	10736.4023	12766.2139	18371.7031	12698.666	11446.5361	14354.1182	16550.6758	18752.25	12875.6533	12460.4424	12545.9688	12646.0986	13417.8438	14302.0322	11393.0947	13271.0557	16115.5342	16758.166	11759.4365	12903.8545	11478.6436	14340.1211	12344.2217	12131.1465	11793.4893	15062.415	10671.9395	14963.6074	16677.5508	12541.2979	15512.9834	16039.5078	13966.8076	12898.499	13678.1514	13313.7295	12128.0508	13158.3711	11295.1875	12643.1846	12864.5518	17079.5254	13498.3906	13036.6133	10339.1055	13133.4209	14721.8867	11381.8613	12906.4365	14885.9473	16806.3184	15044.874	12003.1182	15849.3789	12142.8535	13384.8174	17129.1504	13170.0146	13262.9609	14925.0264	12770.9229	14232.4326	12435.4609	11691.5469	11509.0654	11636.6719	12774.7363	11401.3223	13227.957	14033.249	15867.3281	12869.6416	13986.9404
1.7345	13237.957	14368.8184	16028.4229	15928.8252	13883.5146	14020.1504	11628.9121	11398.1943	12494.1914	14109.9961	11314.6934	12505.584	13334.1006	14783.2676	12371.2334	12316.8174	14704.416	11092.5947	10737.6562	12042.5576	11946.3252	14396.4629	14669.5859	11280.5264	11978.8672	17644.3398	11640.3887	11256.2744	14813.7285	14824.2393	17211.2129	11367.1055	12408.8877	12701.9756	11918.708	13185.3535	13741.1211	11177.6514	14917.9219	15093.1572	17328.7891	12385.2197	13114.7441	11232.4912	13960.0039	11164.4756	12084.1318	11143.0391	15649.0381	10417.8359	13973.5186	15474.5361	12394.7422	15138.7119	14807.3496	13048.0713	12644.3604	13789.3486	13282.5752	12184.0273	12902.8867	12098.7861	12787.3096	11309.6768	17195.5312	13893.1221	11958.1396	10664.4297	12824.626	13540.0264	10769.8281	13373.1875	14104.4922	16964.8867	16044.373	12285.6592	15545.1455	11357.2598	13282.5762	17437.4277	12650.8115	12410.9316	13812.1455	12659.4502	12966.5449	12637.4814	11228.9463	11083.3838	11486.9814	13357.9414	11430.1748	12831.3496	12819.1514	15143.7051	12831.7139	13465.5781
1.8679	12068.9609	15248.3213	14261.3594	16290.6631	12711.5508	13399.1797	10953.5283	11218.1865	13172.7422	13260.0391	10890.7529	11448.2266	12124.8633	15195.4912	12864.0986	12442.8594	13137.5732	10684.7598	11266.1436	12367.0029	12254.4648	13090.1797	14108.0088	11370.8066	11971.4463	15592.127	11316.3779	11477.8691	14848.3994	13583.5889	15943.0576	11672.0605	12080.916	13205	12099.8135	12308.7393	13436.2734	11053.3066	17361.7227	13461.5098	15348.1055	13246.4814	12691.3438	11099.6787	13512.5645	10765.7852	12014.4375	10926.0459	14975.5439	10402.1113	12107.8779	15260.9541	12668.4316	13591.4736	13955.1006	12620.6934	12183.3213	13041.3467	12867.9092	12545.7441	12632.2822	12402.6846	12722.416	10429.0703	15842.9648	13051.4824	11709.0176	11088.4961	12902.1162	12660.1445	10713.208	13872.6045	13840.1348	16607.7422	16668.5859	11783.7666	15323.8506	11356.0088	13377.2705	15849.7158	12221.2012	12379.2275	13143.7725	12065.8027	12578.501	12922.7783	10971.0869	10913.1328	11420.0781	12611.7363	11453.2168	12641.5439	12727.3926	13502.2881	12768.0215	12778.8076
2.0013	12224.0771	16249.3359	14148.5117	16768.918	12408.752	12732.6572	10371.6797	10843.3408	15275.957	12422.5801	11199.4443	12402.0342	12779.5137	14994.3691	13240.8408	12212.9639	12858.0938	10490.5049	11435.6533	11888.7441	12026.7627	12737.3389	13805.7861	11116.7451	12292.626	13628.918	10990.335	11139.5283	13320.8457	13837.9863	14735.6475	11400.4463	11895.2412	12737.0986	12129.4521	12127.2568	13133.2988	11129.3838	19324.5508	12583.0684	14514.8916	12921.5859	13558.0029	10563.5459	12693.7822	10249.9805	11645.5732	11071.1084	14147.6934	11181.9727	11968.4307	14303.7207	12998.0811	14150.7744	13576.127	13187.3506	12241.1641	12243.125	12788.9736	12726.0596	12245.6455	12184.7998	11747.71	10230.7627	14904.6006	11722.7412	12246.5645	10942.2139	12370.5703	11907.3613	10912.9854	12735.624	13226.21	16403.793	14622.417	12823.2969	14107.4082	11165.2432	13150.5166	13373.8936	11667.7539	11941.7686	13319.124	11670.8203	11769.5449	12517.1074	11015.8975	11211.8613	11478.6123	12334.001	11099.959	12479.5215	13514.2266	12865.1592	12364.4902	11627.8398
2.1347	12279.3535	16120.2451	13592.8682	15183.7031	12405.2158	12681.7168	10556.9121	10621.7773	15581.6523	12650.5967	11295.5977	13032.1953	12881.1182	15902.7959	12967.7236	12271.5732	12347.8896	10530.8066	11482.6709	11842.9297	NaN	12019.127	13038.0312	10876.2539	12222.8887	12633.1152	11052.79	11083.8594	13971.3682	13137.4658	13548.9453	11653.5039	11745.1484	11735.3984	12215.0166	11611.998	12439.8408	11454.375	20006.375	12094.7119	13928.4951	11527.7168	13668.4268	10589.416	12539.3613	10553.6807	11578.8213	11485	13544.3418	11283.7744	11951.874	14075.9834	12186.5703	13918.3096	13281.4766	12603.9014	12013.8418	11950.3984	12513.3652	12027.3574	11833.96	11861.3389	12009.6797	11149.4824	14124.5244	11861.085	NaN	11208.4385	11869.2842	12080.835	11082.3281	12869.9658	12301.1836	15650.1221	12769.6025	12079.1797	13435.1367	11140.3115	13666.3955	12779.1543	11952.0723	11883.4453	13672.2764	12027.2871	11196.373	12664.8457	10982.1836	11305.9561	11496.875	12524.5459	10534.498	13109.9258	13627.3174	12163.585	12206.2764	10828.3662
2.2682	11706.9688	14998.0498	13245.666	13964.0859	12460.4424	12817.165	10830.4424	10562.4619	14696.4492	12893.5645	11345.0117	14159.1738	13130.7676	16287.002	12767.6934	11794.3857	11324.5615	10446.3652	11785.3926	11963.3057	NaN	11960.0947	12272.7275	11774.0127	12332.0264	11431.6826	11294.8057	11863.8496	12725.9561	12618.4395	12520.0762	11247.583	11518.126	12095.8682	NaN	11187.6494	12431.0703	11143.874	17946.8066	11301.6807	14103.5459	11124.2051	13859.0039	10522.2188	12020.3301	11241.9453	12182.0918	10649.4121	12182.3057	10823.1465	11866.1182	13342.335	12573.7803	13099.1455	13331.6367	11569.6133	12895.9434	12733.2197	11919.7412	11999.5439	12218.5176	11788.4941	11885.9082	10935.748	13075.3271	11460.6836	NaN	10879.7373	11639.2207	12692.8652	10230.6895	12829.2549	12361.1387	14486.2158	11666.3359	12240.1982	11651.5674	10899.4277	13179.1494	12238.4834	11557.2256	11680.8672	12530.9121	12465.2617	11374.3164	12907.6582	10822.2383	11139.2305	11001.5791	12357.9883	10253.6963	11969.0693	13697.5205	12066.1504	12403.0596	10702.3242
