x	Y_20181208_15100_10_2g_left	Y_20181208_15100_14_2g	Y_20181208_15100_16_3g	Y_20181208_15100_19_2g_left	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g_left	Y_20181208_15100_5_5g_left	Y_20181208_15100_6_4g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g_left	Y_20181208_15100_7_2g	Y_20181208_15100_8_1g_left	Y_20181208_15100_1_7g	Y_20181208_15100_10_2g_right	Y_20181208_15100_11_3g_right	Y_20181208_15100_13_3g_right	Y_20181208_15100_14_1g	Y_20181208_15100_15_4g_right	Y_20181208_15100_16_9g	Y_20181208_15100_17_7g_right	Y_20181208_15100_18_1g_right	Y_20181208_15100_18_2g	Y_20181208_15100_19_6g_right	Y_20181208_15100_19_7g	Y_20181208_15100_2_3g_right	Y_20181208_15100_20_12g	Y_20181208_15100_21_8g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_23_2g	Y_20181208_15100_26_6g	Y_20181208_15100_27_1g_right	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_32_5g	Y_20181208_15100_5_2g_right	Y_20181208_15100_5_3g_right	Y_20181208_15100_6_2g	Y_20181208_15100_7_5g_right	Y_20181208_15100_8_3g_right	Y_20181208_15100_8_4g_right	Y_20181208_15100_9_3g
0	10872.3037	11289.9707	11911.373	11610.3428	15538.7588	14478.3555	10131.0186	13821.8291	10777.8564	14067.5908	13766.5234	11723.4482	13684.4297	11458.7432	12640.0098	10986.9541	10819.2881	13497.7412	13058.1943	12539.2168	13737.6172	10886.9736	11336.4854	9059.3916	9798.4561	12247.0156	11408.5752	13809.9805	12408.6699	11638.4697	9885.5908	11939.0957	11539.9482	13457.7227	12507.5234	18331.9414	12400.8662	12115.4082	12936.3594	10495.7021	11115.2061	10350.1201
0.1334	11958.8037	12985.9395	14430.4609	12709.7656	16808.6133	14569.7812	10729.6338	15374.8525	13298.6055	15550.502	15224.8086	13076.9941	13610.8018	12712.0596	13788.2285	13440.2744	11174.0527	14947.4492	13202.3545	14264.7324	14361.8369	11217.0195	13564.832	9794.4824	10539.3613	12891.3613	11883.8613	15263.8086	14316.6064	13532.1357	10961.1611	11709.083	11272.0293	13529.1006	12573.3418	20055.1543	12534.0723	12725.6885	12379.2998	10736.3223	11640.3486	10179.3867
0.2668	12804.417	15327.1406	15994.9414	13520.7578	18295.3262	15023.7002	11794.7656	15176.7041	15291.0254	17244.2949	16120.7959	14340.5488	15015.5273	14774.2188	15920.9414	17553.6602	11466.0342	16263.0732	14401.7666	15117.1768	14916.1426	12481.3193	15514.5498	10926.6562	10929.8857	13090.7061	15292.5713	16550.707	16889.2188	17106.1855	13096.1055	12254.3926	11508.1699	15175.3828	13837.208	20673.1055	13655.4609	13438.7871	12834.501	12270.4551	12269.748	10857.9639
0.4003	14925.3984	15831.3477	16068.001	13211.6797	19094.5781	17393.3047	13326.3545	14367.7158	16304.1279	19026.4492	20157.5215	16883.0742	16453.543	16410.2656	20170.0371	22166.2285	13978.0107	15916.249	16275.7881	14265.6064	15883.5508	13774.9785	14633.7568	12275.7666	11141.6289	12659.4971	17616.7812	15442.8721	17198.9043	19624.9883	14730.1289	12480.3359	13253.3682	17390.1875	15152.1846	20132.4531	15704.1689	15881.7324	14759.25	13427.6201	12672.1504	11666.8027
0.5337	16654.2383	15322.8555	16003.3848	13233.0322	18488.5664	22171.3613	15920.6562	13954.9688	15352.8525	18578.4258	23130.1328	19348.7891	16597.3848	17542.9336	22283.6836	23106.5137	14904.6494	15118.5547	17316.4629	14728.4873	15533.8379	14197.5264	14844.4316	13744.6963	11251.0293	12596.1211	17417.6504	13149.3271	15624.3115	18227.8789	15182.7441	12790.0078	13265.7539	17681.2266	18400.3887	21195.3965	18116.8066	17882.2441	16310.7695	12974.9834	14368.2852	13090.96
0.6671	18268.8984	14144.0977	15019.1113	13245.0312	15785.6074	24989.7246	16815.8477	13721.6982	14561.7656	16414.877	22684.3047	18825.1055	15366.7197	17271.3301	21337.4141	22054.8145	13237.2334	12937.2988	16579.2695	14729.6553	16115.8135	14322.7949	15356.5137	14327.9531	12598.0137	12306.3613	16659.9082	12165.4443	16211.3838	15586.0996	16141.0518	15032.2793	14694.6045	16394.457	20134.0781	22055.8105	18074.8926	20021.8594	17250.3008	12442.8828	15288.542	14350.208
0.8005	17850.3105	14662.0215	14616.7686	13662.1201	14733.7627	23970.5137	16370.9492	13752.8682	12793.2617	15617.043	21103.0898	17342.2129	14877.084	16210.4424	18160.7051	18829.2773	14162.3818	12645.0312	15644.3477	14294.5205	16468.2871	13195.7939	14708.9795	14355.7227	14364.7383	11952.9219	15625.7041	12312.0811	15614.6396	14561.8711	15980.833	17067.8359	14274.4414	15400.7744	18418.6602	22986.1543	17074.0234	19013.1914	16389.5781	11894.6846	15034.1631	16112.3584
0.934	18019.2754	14672.6787	13119.9443	13027.3477	13643.2656	22624.9258	15071.6445	13395.8428	13005.5342	14318.9346	20292.3574	17210.7773	14171.1191	15713.1328	16960.4453	18435.418	16324.2148	11815.9531	17173.6836	15022.75	15517.9248	13369.8105	13689.4561	13762.4883	15223.1523	11363.4316	16846.248	12439.3389	15581.3721	14220.5293	15617.1523	17942.3828	13354.0859	13950.4902	16912.4844	19245.2344	15624.249	17092.5234	17040.7734	12114.7109	14540.1816	15780.3545
1.0674	18256.7617	14993.915	13906.6777	12578.04	13200.6104	22019.8359	14287.9648	12730.3984	13497.3428	13712.4434	18980.5547	16874.1016	13708.4932	15617.3066	17000.0957	17287.4102	17577.3262	12522.2461	16306.6074	13886.7754	14960.6592	13857.5049	12095.4355	14546.874	14181.2207	10956.0791	17108.1289	11220.4824	16020.1953	14688.4883	16027.5752	17144.7109	13491.5977	13359.7764	15928.4922	18288.2715	14923.9893	16811.709	14855.1865	11563.3184	14662.582	14726.3389
1.2008	17772.9824	14693.2646	13788.333	12634.6943	13371.1729	22814.7461	14354.3574	13105.3857	14274.3037	14714.1143	17241.3809	16959.5195	14242.8311	14417.4521	16920.9141	16361.3896	16182.0674	12337.5352	14979.1631	13572.9297	14155.3623	14105.7246	11471.8193	15038.8496	14202.3838	11593.8516	16919.0508	11923.4902	17939.5605	14618.0771	15752.6191	15147.7412	13601.4541	13096.6982	15297.0371	16596.9316	15242.374	16432.0762	14557.6797	11888.1846	14019.165	14695.7188
1.3342	16722.2578	14240.1816	12914.1719	12204.0254	12983.2012	19911.2285	14248.0254	14417.4111	14785.7402	14894.5605	15022.1484	16620.0898	14442.583	13148.6445	16944.2031	13995.4482	15596.4248	12028.4033	14750.3906	13367.8203	13558.2256	13598.8584	11305.251	14204.6924	13250.9902	10890.6055	16478.123	11755.8037	16243.1465	14521.4531	14683.3604	16390.5566	12310.4434	12940.1152	14736.9688	14380.25	15568.0156	17375.9824	15115.0361	12075.6797	13641.2295	15394.7344
1.4676	17287.2461	15389.7324	13473.5791	11613.7793	13201.124	18096.9453	14464.998	15611.1826	14211.5879	14541.2363	13741.6562	16205.0312	13871.8486	12949.4629	16676.2969	13025.3066	14327.5615	11616.3926	15162.5098	12420.0869	12943.8555	14396.1104	10864.4092	13176.7002	13535.7822	10646.6748	15369.9531	12157.1846	15738.5332	13685.5693	14550.6562	15947.1777	13114.2031	12397.2041	13801.6055	13853.9834	15094.3467	16699.4062	14059.5889	13336.5811	12968.9219	13651.9062
1.6011	16144.8213	14301.4756	13486.79	11346.3389	12091.9414	17041.8047	13702.9697	15542.0469	12369.8408	15010.3076	12430.0215	15891.3672	14482.0771	13551.6064	17060.8516	12459.2871	13021.4932	11688.7646	14832.208	12430.9834	13213.791	14112.7324	10961.167	13033.4268	12094.3232	10579.8135	13797.8838	NaN	14398.21	13510.0078	14074.3438	15644.0459	12263.5898	12274.8584	13295.7715	13023.1387	13909.4629	15637.9707	13861.7734	12704.1035	13146.252	13590.5752
