x	Y_20181208_15692_30_1g	Y_20181208_15692_31_2g	Y_20181208_15692_36_12g	Y_20181208_15692_36_7g	Y_20181208_15692_37_20g	Y_20181208_15692_41_2g	Y_20181208_15692_41_7g	Y_20181208_15692_44_19g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_8_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_9g	Y_20181208_15692b_15_1g
0	29532.666	30068.0938	31276.9902	24824.4844	30885.1367	29747.7539	29359.2383	27579.0938	31214.2695	28874.0762	30469.3887	31209.1133	28203.6758	26432.8086
0.1334	28742.5762	28964.6367	31723.2559	24678.0938	31758.4102	29907.75	29706.459	26394.9336	31545.9512	29617.1582	30044.4785	29968.4082	28867.3867	26965.3164
0.2668	31221.0742	28089.9766	31710.8789	25608.0801	31518.748	30881.7383	29641.1348	26690.7754	31591.8047	31020.2441	30393.4805	31735.707	30230.2773	25576.4434
0.4003	29914.4258	28863.0508	30397.5938	26630.1758	31747.4473	31616.6523	28849.1484	26157.2441	32360.043	30632.7773	31835.4199	30468.1777	30144.2383	25894.8262
0.5337	30335.6973	29345.2148	31561.8496	27386.7832	32014.1445	31823.3281	28680.2676	26744.6953	31642.6484	31246.8145	30834.3535	32187.6152	31122.5938	26467.8828
0.6671	29547.3262	29787.5508	30336.7832	27333.2734	32292.4219	30866.0703	27517.0723	26910.8398	32079.3281	32178.3105	30915.8477	30307.1992	30474.6719	25624.7266
0.8005	30414.5918	28524.0098	30830.4238	27130.2617	33426.9062	32634.0234	29729.6523	28129.6445	34146.3633	33541.4102	31670.9238	29814.5566	32780.2461	25290.7285
0.934	30070.3398	27346.0234	34194.9453	26684.2383	34669.5391	33670.2422	29093.418	26438.25	34529.2969	31391.0098	32118.6816	29417.1055	31763.2207	27198.6055
1.0674	29403.4102	28098.0215	33961.2031	26923.5625	35336.2734	32311.1211	29147.502	26738.9141	32423.7207	34952.4844	31792.4082	30130.5703	32998.4414	26616.3027
1.2008	28698.8184	28810.293	34715.0625	27626.709	33382.9258	32424.0195	30131.2266	28761.9219	34138.3086	34031.125	32135.8086	31726.5156	32885.0938	27535.3555
1.3342	28623.3652	28680.2246	37881.4727	28991.8574	33536.0273	33352.7852	29830.959	29016.752	32303.373	35587.3008	33297.7539	31401.748	32316.5977	27360.3809
1.4676	27827.5703	30626.3594	41702.8867	29250.4961	34226.2891	33755.2188	28807.1582	30394.1113	33708.5312	35005.2617	36299.457	30691.6797	33776.9844	28377.9277
1.6011	29373.8633	30459.373	49943.5	30064.7695	36300.8008	34938.7578	29965.4043	33223.5234	35482.4766	37113.0703	42270.7578	31471.248	34960.9727	29822.1152
1.7345	28872.5625	33975.1094	63206.6758	29146.6719	39099.1836	35478.9961	30863.4141	43082.4336	38797.1133	39245.207	59251.7305	32527.916	35332.9062	36574.3359
1.8679	27663.8672	44208.1367	66333	31128.2891	51479.7969	37013.8477	32357.627	55480.2344	45446.418	40229.8125	96063.9375	32114.6816	37077.8945	52353.0938
2.0013	29119.8555	65824.0625	52852.875	36441.625	72739.375	39204.668	37829.5039	64126.6211	60247.8828	45707.2305	124642.0078	32963.8359	44303.0703	60229.6602
2.1347	30708.3301	75023.4922	42136.1523	48800.4844	81821.9922	54749.9844	50573.0234	51598.1719	72202.7812	57820.9648	115562.9219	34395.9688	50303.5039	47918.8242
2.2682	33686.9062	61477.0352	36500.0859	68648.6484	67697.2656	65664.3125	66515.0625	39463.7578	64331.375	55936.8086	80250.0781	38061.5	45222.6055	35231.1172
2.4016	36549.0078	43882.7969	36796.0312	67967.9766	48946.8398	60144.3047	60905.7656	32500.9453	44344.6016	45106.0156	52601.043	45688.5703	37525.3008	30083.8848
2.535	34944.25	34760.668	NaN	52520.9531	40445.9883	47454.0078	49069.3555	30020.9219	39307.4766	40919.7617	40927.9688	62037.0039	37005.2695	28295.418
2.6684	29314.1914	31100.4902	NaN	56274.4219	36034.2305	40095.5117	36843.2734	NaN	34042.9102	41534.6992	35988.0898	64624.9219	33765.1406	NaN
2.8019	27325.0762	30422.2168	NaN	NaN	35071.0742	NaN	32637.6406	NaN	32261.0195	NaN	NaN	48545.5859	32124.3477	NaN
2.9353	27234.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38196.9805	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35500.7461	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
