x	Y_20180224_15100_7_7g	Y_20180224_15100_8_2g
0	13112.767	16040.439
0.1334	13858.19	17943.508
0.2668	15347.229	19110.932
0.4003	18992.676	19342.197
0.5337	20860.348	19186.688
0.6671	19857.639	19219.74
0.8005	19851.857	18737.051
0.934	18801.246	19011.482
1.0674	18540.541	19173.672
1.2008	19095.258	18958.873
1.3342	19381.295	18679.584
1.4676	20204.061	18329.391
1.6011	20041.879	19328.641
1.7345	19403.287	19651.705
1.8679	20468.129	18915.369
2.0013	20751.217	17894.033
2.1348	19890.656	17800.777
2.2682	19110.178	17474.748
2.4016	19310.686	16589.949
2.535	18687.314	17215.467
2.6684	19064.818	16006.183
2.8019	18117.803	16331.095
2.9353	16538.533	15625.554
3.0687	15813.69	15659.659
3.2021	15904.609	14990.148
3.3356	16689.758	NaN
3.469	16464.441	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
