x	Y_20181208_15100_1_7g	Y_20181208_15100_10_2g	Y_20181208_15100_11_3g	Y_20181208_15100_13_3g	Y_20181208_15100_14_1g	Y_20181208_15100_15_4g	Y_20181208_15100_16_9g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_2g	Y_20181208_15100_19_6g	Y_20181208_15100_19_7g	Y_20181208_15100_2_3g	Y_20181208_15100_20_12g	Y_20181208_15100_21_8g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_23_2g	Y_20181208_15100_26_6g	Y_20181208_15100_27_1g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_32_5g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_6_2g	Y_20181208_15100_7_5g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_9_3g
0	27980.6836	30236.6152	29797.5332	27598.9062	22916.6406	27498.4297	29400.7012	27466.293	28249.8047	29555.2695	25385.6973	26147.252	29201.0039	27817.0137	29181.2891	31239.5664	30073.4043	27871.5469	26491.9688	27497.3223	25084.0254	31642.959	31390.8535	32256.5918	30625.584	33186.5039	30423.1992	31712.3242	31979.9883	29603.6348
0.1334	27363.6641	30464.1797	30645.6172	27080.9277	24542.4844	28009.5684	29004.5664	28405.334	29745.4277	27342.0957	27850.6953	26802.5312	30479.0762	26680.875	29663.7285	31075.959	30282.4668	30026.5723	27758.3359	27608.1309	23817.0977	30914.9492	30557.9805	29418.9648	29948.4707	31367.1621	29454.0312	31127.5762	31378.2715	27749.373
0.2668	28149.1973	32429.0547	32078.1113	28464.7383	24256.3789	28606.4375	30226.6758	29335.1875	29072.748	27412.2266	26165.9316	28480.1797	31974.9453	26956.041	30251.5938	30551.707	29542.25	28308.2402	28264.002	28000.5684	24865.5977	30638.6387	30649.4648	30416.875	30356.168	33332.4805	30818.9453	30877.1895	32329.9414	29333.5098
0.4003	28376.3359	31712.5273	31116.1055	26750.0098	24323.4805	28687.1094	30391.4375	28066.8906	28486.7266	28819.502	27098.832	27937.3516	30798.9258	27205.6641	29998.9883	32658.3359	31239.2676	28372.127	27325.4727	26976.1309	27205.5996	32093.6211	30058.7129	29795.4238	31210.2285	33481.7305	31216.8652	30791.2695	32005.6855	29664.3809
0.5337	28098.0684	32732.7852	31327.4258	28675.4531	23378.416	29192.9902	31218.6289	28518.9492	29794.1953	28580.1211	27305.9219	27425.9863	30719.4336	27648.6992	30977.3027	34014.543	30832.1699	29933.6191	28635.3848	28243.1504	24525.7207	32710.9551	30986.9355	32003.3809	31517.5371	32222.4199	29822.6543	32255.1973	33152.8906	30651.5469
0.6671	27473.9551	32041.1875	30959.2422	29045.75	25607.252	28301.9414	30375.6016	29952.4648	29808.8125	29200.3027	28033.8809	27427.4414	30711.1094	26686.4238	34399.9297	35995.5664	30892.5859	30250.1367	29117.0273	28824.4043	23265.3594	31713.3945	30801	32115.0684	31652.6191	35519.0625	30794.4414	30614.0176	33239.9844	29581.0801
0.8005	27868.125	31394.2695	30650.3594	31418.6953	25611.5645	29076.0762	30202.9043	29027.7617	29837.1445	28335.7129	27201.916	28433.6191	31242.6953	28665.4102	35615.5117	38869.875	30403.0078	28569.543	28023.252	28100.0586	24061.3809	32197.0352	31522.0176	35966.0742	32777.6289	35285.0898	31410.291	30848.1484	32942.5781	29285.1641
0.934	29067.3945	32430.7441	30649.0117	30781.4805	25100.3203	29778.1367	29422.2344	30265.2793	30803.6465	29610.9902	28687.3555	28785.6016	31090.4121	27095.8906	38454.3789	37956.2031	31676.0508	29286.8867	29900.6055	28246.1055	24262.123	32254.6484	29593.1348	39348.4922	33745.7305	32897.168	31043.459	31371.6699	33951.1875	29234
1.0674	29445.1914	31429.2617	31372.2383	34131.9336	25667.6016	29377.4102	30092.8848	32899.5625	30264.5254	30644.3398	32496.5605	28163.9316	31326.1211	30566.9082	53363.3242	34885.7188	34555.0234	29994.8398	31078.5996	27822.2344	23749.7734	31934.1816	30781.4727	46724.4258	33049.1406	33707.4375	31935.4336	33740.7539	33997.9102	29785.1543
1.2008	31379.3418	32502.7109	32409.7422	38037.1719	26124.0312	32636.1211	30024.1621	34986.0547	29727.2812	31671.8984	38752.6758	28837.3711	30731.0391	36885.4258	87535.2344	31638.3555	42444.9062	30753.2949	30357.873	27277.3926	24931.8535	32363.1055	31578.5059	62916.5703	35523.6523	34395.7266	33157.4766	36921.6719	33633.2305	30589.9082
