x	Y_20181208_15692_30_4g	Y_20181208_15692_31_18g	Y_20181208_15692_31_6g	Y_20181208_15692_32_6g	Y_20181208_15692_33_10g	Y_20181208_15692_33_6g	Y_20181208_15692_36_5g	Y_20181208_15692_36_8g	Y_20181208_15692_36_9g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_38_5g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_40_10g	Y_20181208_15692_40_12g	Y_20181208_15692_40_14g	Y_20181208_15692_42_14g	Y_20181208_15692_42_18g	Y_20181208_15692_42_1g	Y_20181208_15692_43_10g	Y_20181208_15692_43_18g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_44_18g	Y_20181208_15692_44_2g	Y_20181208_15692_45_14g	Y_20181208_15692_45_9g	Y_20181208_15692_46_17g	Y_20181208_15692_46_18g	Y_20181208_15692_46_19g	Y_20181208_15692_46_3g	Y_20181208_15692_46_8g	Y_20181208_15692_6_7g	Y_20181208_15692_6_8g	Y_20181208_15692_7_11g	Y_20181208_15692_7_5g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g
0	32699.5918	32008.8398	27858.0801	28448.2441	26983.6074	27866.8867	31019.3262	31347.7383	29514.0762	32255.1895	26533.9355	31046.209	26253.7051	31531.6152	28499.6191	29301.9668	29001.1699	31636.0664	30271.3027	30386.9805	28251.2207	31247.1133	26499.2266	30769.8535	29094.0312	27066.1855	24754.7109	29725.8125	31237.3203	28817.1797	33386.4531	26349.7461	28406.3125	27977.459	30461.2734	32737.2266	30116.9141	30007.9746	28638.6133	28503.0273	30074.6738
0.1334	32289.7129	32554.3242	27795.0059	29777.7539	26834.834	28491.2793	31820.6055	30635.9668	28835.625	32338.3887	26946.9355	30400.3633	25691.0566	31174.6895	30356.9277	29967.5586	30333.9375	30678.7207	33032.3477	31241.5	28542.3457	30830.0098	26468.7031	31359.0801	29881.6602	26650.2832	24360.2734	31759.7227	31395.4395	30018.3145	32210.1426	25682.2402	27464.1445	29063.7363	31586.4746	33348.4414	31567.7773	30182.4961	29742.4473	28875.1504	31469.8555
0.2668	32991.4766	31792.2051	27282.4551	28719.3262	27346.6504	27851.0156	31238.0723	31899.9336	28204.9707	32918.7266	26272.6797	31078.9062	26987.9883	31741.2969	29952.9121	30555.8535	29384.3301	31644.5762	30539.9375	31151.5137	28972.1875	30177.7559	27287.7754	29511.2285	29847.4043	26712.3594	25402.6367	31295.8359	30941.2109	30690.459	32006.9004	27428.7949	27374.2754	29126.4805	31774.1992	32697.3711	32637.8301	30404.6211	30869.6426	29567.1797	31407.2051
0.4003	33145.5781	32958.3203	27273.6836	28334.4707	26854.0176	28098.9492	31616.4512	31576.0859	28557.3711	32336.5488	26942.4941	31895.3086	25881.6113	31400.8633	31111.9707	30507.7676	30230.8164	31693.5859	32067.3105	30857.0488	28345.127	32686.6758	27453.8027	27819.7773	30692.2031	26996.9629	26682.1133	32497.248	31658.0566	31028.6152	33914	28330.125	28117.8906	30037.8398	31027.1055	33401.7656	32622.5703	30802.6855	30344.916	30041.0078	32996.2383
0.5337	32461.0547	32781.9336	27837.4883	29162.3008	27418.0254	28786.5781	34363	32170.6289	29052.1602	31415.3906	27529.5684	34073.6055	27591.9414	32529.1914	31617.7715	30754.3242	28867.7461	33322.0742	33481.5664	31083.8652	30232.8125	32929.832	26187.3672	29419.2832	30604.2227	27275.3965	24937.207	33046.9336	31473.9941	31718.7109	34743.6641	27851.0508	28522.6133	28705.4766	31010.9785	35176.9844	31655.5176	30593.0488	32067.4277	30843.0254	31062.0605
0.6671	32610.2012	35121.9375	27980.0391	30398.166	28079.5352	28773.9043	34430.2578	30603.8008	29583.4395	31588.0488	26626.6211	35323.7539	27078.5508	34360.1836	30882.623	30205.0117	28810.9062	31605.9082	32552.4922	31951.3477	30520.4512	34448.2656	25915.5488	29105.9824	32778.0781	26028.3438	24653.7246	32281.4863	33481.1523	32352.1562	35586.4414	28529.9082	29321.207	29368.0254	30980.9316	37147.6289	31530.5645	31438.8828	31589.5508	30861.1035	31084.3672
0.8005	30717.7656	35616.3438	28373.5273	30771.5918	29236.8789	28828.4355	36142.918	32393.5684	31017.1406	31564.5957	27352.5215	33534.4688	28948.2109	35156.2422	30461.3145	31749.2227	31071.7031	34654.8867	34327.707	36819.2734	29754.3574	36538.0625	28462.6934	28966.3555	31814.7793	26524.3867	25940.0117	31417.0508	32409.748	32698.7637	37268.0625	28848.8047	29654.8145	29975.9375	32552.5215	38866.7383	30749.4102	34227.4258	32798.6133	31612.043	31183.4492
0.934	31580.5195	39626.4609	28561.6504	31721.2266	30429.9121	30199.2734	41166.4531	32867.5781	30708.0078	32124.5957	27685.5449	33828.1875	29030.75	35872.3281	31016.2461	31903.8418	33710.6094	37879.2148	33108.8828	43065.043	29224.3867	42665.2539	27330.0391	29398.3496	32114.9727	27956.916	25502.8848	32664.2949	32863.293	32267.1328	39892.4688	29553.5977	29762.332	30183.293	32917.7969	48449.6484	31431.791	41755.7344	33081.2734	33265.9609	30985.582
1.0674	33479.4492	50675.1758	29492.0098	30344.9395	32836.4531	29067.375	55043.1094	32516.6523	33148.582	32100.168	28916.0293	35118.957	30560.3008	40986.6055	32087.6934	32660.7324	43555.5117	50248.2891	34016.9258	59901.543	30380.5898	60674.8945	29832.1484	30045.8223	32616.8789	27474.6133	26761.3203	33351.9219	39146.4258	36537.1875	48580.0234	30709.6602	32663.1367	35782.5117	33354.8945	62738.2617	31388.8281	49873.2891	35311.9062	36123.1719	34045.082
1.2008	34214.0547	54064.5703	31825.0449	32148.9277	39974.5039	27379.873	75422.7031	32527.4238	39399.1211	32886.4453	29904.1602	36791.9336	35005.0391	56403.5469	35425.6953	34258.5273	57960.8633	67608.6094	33477.0117	78901.4609	30541.668	80344.8672	33906.0898	30563.0352	33157.0742	29393.7676	26882.4023	33757.2539	52343.4805	39884.7383	65875.0078	35968.7891	36120.7812	44327.4531	34265.8945	73172.7969	35342.9453	50678.9609	41628.9141	42951.4219	35553.3203
