x	Y_20180130_15100b_1_10g	Y_20180130_15100b_1_12g	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_1g	Y_20180130_15100b_1_2g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_12g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_7g	Y_20180130_15100b_11_11g	Y_20180130_15100b_11_2g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_10g	Y_20180130_15100b_13_14g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_4g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_9g	Y_20180130_15100b_15_12g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_15_2g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_16_12g	Y_20180130_15100b_16_5g	Y_20180130_15100b_17_3g	Y_20180130_15100b_17_4g	Y_20180130_15100b_17_7g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_18g	Y_20180130_15100b_18_2g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_19_13g	Y_20180130_15100b_19_1g	Y_20180130_15100b_2_1g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_8g	Y_20180130_15100b_2_9g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_1g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_17g	Y_20180130_15100b_22_19g	Y_20180130_15100b_24_13g	Y_20180130_15100b_24_4g	Y_20180130_15100b_3_10g	Y_20180130_15100b_3_11g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_19g	Y_20180130_15100b_4_24g	Y_20180130_15100b_4_4g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_15g	Y_20180130_15100b_5_17g	Y_20180130_15100b_5_20g	Y_20180130_15100b_5_3g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_3g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_5g	Y_20180130_15100b_6_8g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_15g	Y_20180130_15100b_7_16g	Y_20180130_15100b_7_2g	Y_20180130_15100b_7_7g	Y_20180130_15100b_8_1g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_7g	Y_20180130_15100b_8_9g	Y_20180130_15100b_9_11g	Y_20180130_15100b_9_13g	Y_20180130_15100b_9_6g	Y_20180130_15100b_9_7g
0	39747.551	36751.754	34218.344	35956.551	37983.637	33597.699	36095.898	36723.824	38139.988	36008.117	33974.762	36720.379	35630.996	37728.812	33602.434	33178.906	37542.711	33631.023	33692.602	36575.262	37223.312	35824.742	37881.367	39284.895	37710.004	34127.758	36639.129	39107.746	41017.707	29746.809	36645.562	34667.703	35404.637	34412.086	38148.711	33176.598	29218.955	38459.988	34061.637	35615.398	32270.857	36591.297	36172.555	40546.273	39155.773	35363.887	36513.621	35278.125	38047.484	34213.41	38795.742	35757.559	33196.262	31172.537	39408.191	36527.398	35012.5	38881.062	37459.648	33214.199	38169.273	34654.707	38072.48	35178.531	37609.434	39618.211	35643.969	34842.039	39225.477	36377.059	38216.777	33643.074	34524.727	34150.246	39829.48	38332.609	35876.832	36361	38746.562	35857.621	39032.93	40268.75	38016.266	37999.559	35277.828	39313.832
0.1334	40752.641	36976.348	34882.883	36340.684	37978.914	32241.037	36877.117	37461.98	38820.898	36573.48	33695.016	36313.508	34871.648	37331.094	32359.984	33596.633	36719.184	31110.029	34079.215	36004.418	37481.059	37060.648	37350.711	38567.801	39855.383	32481.924	36896.637	39281.703	39131.699	29151.438	36079.574	33011.617	35493.258	36107.832	38416.855	32068.172	28142.803	37296.887	34790.855	36000.406	29787.59	36975.309	36754.945	38704.043	38810.992	37351.176	36677.574	35667.16	37040.074	34564.219	40011.945	34003.719	35316.383	32535.002	39871.879	35667.059	33915.941	39071.516	37617.617	32071.123	37119.621	34189.781	38231.203	33730.324	37415.047	38803.32	36898.066	35686.5	39337.238	35203.969	39417.871	34285.809	34459.738	33223.234	39482.52	39451.84	36703.094	37395.664	37242.074	36344.863	38297.453	39798.457	37742.648	37802.27	35226.379	38262.602
0.2668	40039.32	37495.852	33001.766	36833.32	38539.219	33275.547	35882.648	35452.441	35751.809	36602.789	34084.762	36314.551	34869.34	35900.523	33839.941	35084.875	37362.738	34446.672	33777.586	36289.398	37700.152	36014.207	37218.441	39055.148	38370.289	32589.227	37039.898	40782.695	38708.25	28327.219	33707.766	32523.977	35436.234	35038.25	39887.883	33454.883	29302.572	36571.574	34775.172	35848.691	30358.52	37516.227	37125.422	38238.453	39057.484	38281.734	36230.867	35396.676	36702.836	34436.238	39966.465	36295.516	34376.023	32160.045	40717.285	36561.465	32623.15	38819.457	36515.164	33037.09	38036.637	35714.477	38324.531	35247.43	37594.496	39059.801	34646.961	36340.355	41090.039	36212.152	39151.367	35295.531	37154.754	32649.053	39314.246	38868.738	35999.746	37395.148	36955.23	36535.152	39141.688	40501.809	40043.414	36910.223	35548.484	38455.77
0.4003	39306.863	37727.871	34648.121	37173.965	36774.59	34698.152	37236.375	35507.832	37167.707	36108.016	34524.516	37057.688	35831.164	35363.414	31944.885	34419.824	36068.688	32945.891	34337.609	36259.547	38816.934	35168.656	37100.879	39028.668	37842.188	33413.199	37542.766	39946.391	38700.605	29238.957	34049.68	33411.996	35812.598	34952.945	39744.512	33094.539	28929.473	36885.938	33500.48	34319.066	30727.283	36988.039	36824.102	38430.168	37732.172	37930.695	36080.848	35819.977	37657.238	35725.566	40621.203	37525.559	33731.828	29195.141	39948.141	37266.125	35218.543	38238.828	35485.477	33324.598	36779.449	35418.965	38011.926	33916.98	38497.664	38495.91	36076.98	34959.82	40340.285	36744.668	38881.488	35507.461	35831.086	34271.031	37711.34	38240.145	36494.109	38194.668	35539.734	35628.484	37989.074	39125.508	36737.781	37855.871	35330.523	38999.02
0.5337	38603.07	37128.352	35058.512	36507.785	36964.277	32540.691	38123.5	35917.387	35121.062	36571.887	33280.727	36536.469	36167.195	35390.828	31678.502	35365.676	36382.988	32623.795	36195.766	35002.316	38974.41	35716.922	38495.281	37817.777	39425.09	33273.59	36100.246	40382.355	38370.977	29706.125	33990.203	33399.559	37793.223	35153.07	42688.293	33962.781	29570.725	37962.27	34510.477	34777.191	31653.594	35126.449	35339.488	36887.242	37749.559	38299.914	36492.703	35493.355	37961.926	35533.59	41540.23	35171.25	34988.727	31982.758	40702.137	38739.918	32777.492	37647.594	36966.289	31846.926	37438.16	34709.969	37506.691	34981.441	37511.465	39224.824	35347.016	36335.453	39523.547	34957.93	38053.793	35167.938	36880.453	35367.387	36934.137	38799.715	35544.191	38438.77	35823.566	35968.434	38042.098	40340.984	35961.082	36528.188	36239.707	36966.73
0.6671	41025.406	36008.062	34260.418	37088.262	38315.883	31938.055	35920.664	35061.344	35654.926	38065.309	34018.539	37349.754	37702.309	35899.629	33242.84	33779.445	38096.789	31887.74	35297.004	34824.496	38715.426	34416.398	37007.754	39059.906	38714.957	31929.824	36447.102	40471.633	39603.457	31063.355	34577.789	33319.594	35947.305	34042.703	41616.973	31740.525	30331.73	37942.699	33398.242	35075.746	31438.922	37311.223	37099.477	36825.402	37925.879	38705.988	35944.836	34845.703	38859.703	34597.195	40250.215	34565.715	34627.844	32197.889	39572.555	35572.18	33399.621	38616.938	35970.953	33971.652	36441.973	36514.539	37526.254	34414.492	38129.07	39851.094	34412.91	36479.758	40108.465	36335.434	37752.801	35063.242	33655.805	34971.289	35996.477	39816.059	35189.312	36810.934	36204.465	35536.016	39468.188	39046.305	38472.168	37731.801	34719.383	37569.922
0.8005	39383.645	38187.574	33605.301	38437.273	37564.441	34397.91	37619.805	36653.18	36848.906	38450.938	33257.008	37269.164	35502.723	36569.332	32909.566	34428.488	40580.527	31629.006	34443.141	34851.199	38785.465	34450.379	37273.586	39171.629	40386.66	31805.617	35318.582	39586.266	40334.785	34209.609	36253.133	32394.963	36234.363	33685.117	39858.609	32640.699	29950.217	37493.984	35100.246	34472.242	30084.426	36581.109	36828.52	39425.934	37749.258	37700.145	37623.844	35371.16	39067.777	35129.816	39934.211	36859.508	33848.75	31287.494	38952.508	36499.625	34578.031	38590.098	37478.184	32268.861	37183.172	35367.719	37420.766	34989.246	38804.891	39700.988	36064.672	36774.977	39744.211	35745.914	37640.176	35664.559	34175.758	34757.371	36405.215	39296.48	34819.27	36840.344	36351.262	34629.848	39770.5	38350.547	38083.234	36639.207	35127.57	38555.586
0.934	37741.953	36428.293	33907.297	37618.438	38923.059	34380.586	37368.906	38732.242	36419.066	37519.699	33457.207	37704.18	35350.492	36988.27	33369.828	33908.789	42059.785	34637.492	36689.383	35426.543	38076.348	34188.418	38699.852	37499.617	38718.047	31278.625	36260.367	39609.441	40600.695	36121.566	35710.59	33206.219	37063.309	33483.281	38414.324	32595.424	30034.945	37481.094	34768.266	35591.293	30548.729	36281.09	37115.633	39414.984	37390.137	35854.711	37047.215	34713.562	40365.582	35746.766	39627.828	33558.094	33612.152	30181.029	38319.098	35680.711	33204.242	36571.477	38542.352	32706.145	36460.359	35319.117	36535.355	34941.141	38154.496	39310.664	34917.34	39478.621	40345.863	35499.039	38672.762	34678.262	33235.594	35929.316	37512.875	38779.594	36661.711	38289.73	36013.613	34276.121	38223.957	40444.969	36691.48	34791.988	34373.453	40302.305
1.0674	37664.461	36285.656	33044.18	36194.625	39125.828	35252.266	35852.895	35970.684	36298.445	38291.508	34152.504	39036.582	35804.957	37054.688	32379.346	34779.125	38799.641	35699.18	35233.484	36411.324	39621.078	33433.059	37682.25	39105.887	39145.848	31647.234	38072.105	39856.332	42507.43	37446.637	37446.535	34091.316	36336.254	34257.473	38733.055	32455.684	29960.764	37135.461	34501.262	36163.082	29206.523	35596.996	37627.828	38908.711	37889.371	37862.977	37791.242	36091.578	40991.219	35248.961	39850.219	34492.457	36052.398	32592.471	36877.93	34863.414	34907.062	36232.191	38434.172	32739.375	37456.203	35892.918	35985.797	36042.793	38474.23	38395.195	34160.047	39776.195	40365.297	36117.613	38301.785	37623.582	31950.152	37828.152	39348.691	38466.027	35214.852	36161.602	37369	35225.781	38344.289	39831.734	37831.957	35850.285	36425.879	41019.398
1.2008	38821.379	36297.434	33120.039	39742.805	39823.902	38326.762	37333.488	34850.246	38255.906	40265.805	35088.996	40658.766	35768.98	37077.938	32852.039	37232.242	37554.773	34333.453	36641.266	35896.203	39375.086	33933.641	37534.32	40211.262	39682.941	32923.309	40560.172	41320.906	41123.066	36155.648	37313.797	32694.402	36469.617	35815.441	35683.145	32707.457	29118.115	37084.719	33903.93	36133.82	30547.787	37462.816	37945.922	38262.23	37295.266	41074.156	37615.215	36841.332	41703.805	36697.391	40858.875	35201.398	33665.875	30226.025	38299.477	35500.715	35278.938	37849.988	40993.379	31301.229	39243.125	34807.836	37890.133	37705.676	40323.367	39311.844	33827.066	40892.816	40256.336	36505.836	37676.453	37261.109	34402.871	40420.699	40178.195	36448.367	37526.5	36254.434	37299.98	34569.598	40538.836	38658.137	38022.371	36787.559	34761.266	42774.336
