x	Y_20181208_15692_31_14g	Y_20181208_15692_31_5g	Y_20181208_15692_32_2g	Y_20181208_15692_32_7g	Y_20181208_15692_33_9g	Y_20181208_15692_37_11g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_1g	Y_20181208_15692_41_1g	Y_20181208_15692_42_1g	Y_20181208_15692_43_12g	Y_20181208_15692_43_17g	Y_20181208_15692_43_4g	Y_20181208_15692_44_3g	Y_20181208_15692_45_16g	Y_20181208_15692_46_17g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_47_10g	Y_20181208_15692_47_11g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_7g	Y_20181208_15692_8_11g	Y_20181208_15692_8_7g
1.3342	14600.7812	12998.0771	12573.5869	14206.4502	13038.0713	14003.1406	13250.376	12706.4746	16596.1367	13226.0752	14903.2744	14878.168	14002.2744	12284.3301	13082.7539	11716	14017.0703	13630.0928	14626.6631	15432.166	17693.625	14810.8145	12696.7734	15694.4258	11957.9619	11359.3682
1.4676	15113.251	13649.6084	12460.2402	13233.2168	11794.8652	14122.1172	13041.708	13405.0439	15790.9814	12551.3174	14000.1904	14495.1455	13051.5293	13559.124	13234.9375	11490.6836	13164.3789	12898.0117	14836.2539	14627.0322	17082.8027	15600.7627	12213.3467	15751.2783	11908.6055	11402.7197
1.6011	14235.4834	13925.1758	12796.124	13103.5586	11912.3916	13394.4092	12895.1348	14309.6348	16064.9492	11981.8047	14089.4277	13487.8516	13958.8574	13926.2002	12442.7041	10829.2383	12773.5293	12136.4346	14152.2422	14654.9121	16495.3398	15888.3027	12660.959	14957.0439	11724.3887	11506.4678
1.7345	13867.7598	13707.9199	13317.835	13414.0908	11895.6055	12852.1445	13091.6699	13990.4434	15925.3564	11788.332	14917.5156	12983.4531	14719.5674	13588.1836	12869.502	10658.2568	12092.0488	11635.8389	13935.9795	15032.6904	14618.1211	14018.6953	12757.833	14758.6426	12115.2002	11658.125
1.8679	12347.5859	13338.0684	14120.4844	15413.8506	11946.2627	12782.3076	12901.9756	13711.9375	15267.3271	12573.707	15918.6445	14016.6797	15140.2119	13432.7285	12340.417	10825.1475	12621.3252	12056.9736	14176.4463	14425.2266	13377.9053	12770.5918	11810.6377	16155.1221	12678.3105	12090.2148
2.0013	12712.125	14049.1064	14104.5322	16659.1777	13085.9512	14077.8623	12027.6738	13574.4902	14209.8662	12347.1523	14471.041	14361.1328	15471.7422	13488.9346	12443.3193	10691.9355	12260.7148	12160.3984	14584.208	13962.0049	13008.0625	12660.833	12704.1953	17856.7969	13058.332	12131.6084
2.1347	13403.6953	13873.3213	13058.5107	15494.4209	12838.335	13321.2568	11544.6963	13294.1768	13477.0566	12880.0654	13412.8223	14053.3516	15008.8574	13095.1602	12580.9639	11174.3438	12593.2451	12786.9668	13698.1191	13903.124	12709.9443	12847.6387	13928.5635	17309.5859	13656.1465	12047.2959
2.2682	13251.9326	14269.8477	12982.916	14701.4404	12372.7285	13933.1357	11438.7705	13685.541	13125.4414	12972.7881	13182.0342	13275.7939	14311.1094	13068.4248	13519.3789	11265.6934	12636.126	13551.2324	13087.4238	12461.7568	12390.9834	12166.0762	13539.4932	16962.5566	12818.9316	12046.0986
2.4016	13345.0635	14376.7266	13085.1523	14141.0254	12106.4902	14264.1875	11359.6816	14041.9834	13416.9736	13300.2637	11523.7734	13575.8984	13915.7637	13254.8145	14368.457	11979.0947	13167.3174	12722.5664	13139.2119	11452.1309	12846.168	11368.29	14103.4971	17630.9766	12480.8369	11932.8047
2.535	13204.293	14182.5039	13463.7979	13811.0859	11873.168	13758.4072	11570.0879	13526.9219	13168.1191	12852.8096	11296.4707	13672.9316	13899.6406	13623.9756	13206.7041	11693.5039	12659.8438	13953.3359	12005.6396	11671.5146	14105.9375	11374.6953	13607.1484	16994.9941	12954.4668	12032.1162
2.6684	13432.6377	13468.9688	13687.5732	13579.2686	11335.75	13802.04	11934.8047	13222.6787	13698.6748	13490.7041	10558.375	12363.5312	13886.0479	13783.5713	12524.2451	12601.8047	12299.8682	13586.416	11836.6279	11385.1475	14592.9893	10948.6709	13640.917	16176.8408	13179.707	11399.373
2.8019	13213.3945	12424.0137	13273.9902	13270.7275	11296.0459	13782.6455	12506.8848	12690.5127	13804.9473	13797.3301	11015.8369	12216.8027	13614.2168	13132.083	12046.4531	12529.7197	12841.0293	14121.6318	12358.0693	11263.5273	14370.0557	10961.5918	12385.373	15122.0693	12865.3135	11418.3799
2.9353	12827.3047	11644.4941	12154.5342	13022.2988	10843.8389	13380.6396	13160.8086	12297.7441	14274.1211	14027.4941	11406.8418	12140.5146	13301.4688	12219.8652	10909.543	12298.9385	13397.4629	13004.6768	12722.6523	11691.1836	11908.9775	11396.6455	12817.8379	14146.5986	11861.1055	11961.8467
3.0687	12486.7578	11348.0625	11763.3555	12432.2812	10674.1201	13469.4932	13192.0713	12173.0254	13038.6719	14667.6807	12006.3359	12050.3955	12944.627	11941.4297	11170.4561	12171.624	12751.6055	12209.7949	12510.0225	12158.7168	12325.2207	10738.9912	12912.8262	13243.624	11818.8818	11987.9209
3.2021	11842.5547	11697.2236	12101.957	12616.0615	10774.0674	13117.8096	12321.8467	12223.4492	12733.9854	14649.6924	12044.0244	11653.4873	13234.5322	12365.2178	11763.0947	11676.9746	12038.0986	12703.1885	12150.6533	11579.9453	12427.0586	11490.8652	13129.4023	13164.3877	11171.7969	12680.9639
3.3355	12046.708	11390.8838	12224.499	NaN	10894.373	12863.6719	11409.2598	11878.6689	12616.5098	13542.9268	12146.4316	11746.0332	13354.3857	11636.3457	11264.4688	11608.3037	12301.7373	12010.3408	12633.0176	11445.6123	NaN	NaN	NaN	13113.1338	11119.6494	NaN
3.469	12010.3555	10748.5576	12719.5742	NaN	10189.8301	12776.5967	11007.7686	11798.3379	12999.8613	12894.3701	NaN	12300.9141	NaN	11680.8018	11972.3857	11942.5859	12822.8291	11847.5889	12763.1182	11498.3613	NaN	NaN	NaN	13278.9727	11280.666	NaN
3.6024	12160.8994	11135.5557	12770.0449	NaN	10374.9326	12729.3486	10739.7246	11282.4512	12738.9268	12891.2646	NaN	13418.0771	NaN	NaN	12762.8428	NaN	12680.7363	NaN	12005.0732	12018.2822	NaN	NaN	NaN	13223.1094	10973.4609	NaN
3.7358	11583.1846	NaN	NaN	NaN	10555.8506	14307.1914	11049.4277	11911.3564	12313.9531	12065.7061	NaN	13011.9395	NaN	NaN	12234.6299	NaN	NaN	NaN	NaN	11247.0908	NaN	NaN	NaN	13294.0361	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	10686.3818	NaN	10606.4229	11461.9443	NaN	12533.71	NaN	12346.5977	NaN	NaN	12109.3223	NaN	NaN	NaN	NaN	11723.168	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12119.4443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
