x	Y_20181208_15100_1_6g	Y_20181208_15100_13_4g	Y_20181208_15100_13_6g	Y_20181208_15100_13_9g	Y_20181208_15100_2_2g	Y_20181208_15100_22_10g	Y_20181208_15100_22_2g	Y_20181208_15100_4_1g	Y_20181208_15100_6_1g	Y_20181208_15100_7_3g
0	10918.6523	9755.2705	10588.7451	12745.7295	9596.0898	11531.9863	10541.0947	13262.833	12266.1982	10880.5732
0.1334	11855.2861	10298.291	11155.4668	13972.3662	10144.5986	13967.8545	10807.3184	14837.7021	12996.7334	11616.417
0.2668	13202.4844	12652.5684	12224.9268	16057.7412	11283.7549	17252.416	11706.3389	15536.9551	12265.1924	12110.9043
0.4003	15628.9678	16221.0752	13568.4766	19532.1797	14494.3662	18010.252	12726.0098	15050.8232	12897.1699	12612.876
0.5337	17787.9375	18247.7988	15552.5166	20173.6289	16160.2793	16623.2129	13506.957	14434.127	13357.7021	15758.6797
0.6671	17014.9551	18487.9453	16441.457	18935.5254	15337.916	16202.4805	14049.0703	14388.8584	13098.8232	16481.3945
0.8005	15807.9297	16521.1836	16647.9355	17989.3086	15647.6885	14803.4209	13978.2578	14047.5254	13383.1494	16928.457
0.934	15101.1299	16192.9639	15719.2031	18379.5918	15781.4219	14746.0996	13122.5957	13361.7949	13727.5977	15796.6914
1.0674	14547.7344	16581.7852	15257.625	17397.1543	15778.8037	14899.8008	12609.2871	12317.1318	13651.832	16404.4238
1.2008	14434.0977	17189.1719	14692.251	16836.9062	14287.6572	15581.8682	12553.7363	12521.3115	13702.6416	15731.5898
1.3342	14516.4873	16667.5586	14602.9707	16092.0088	14139.0518	15390.5039	12047.9053	12345.3525	13781.1494	14783.2402
1.4676	15217.167	15664.5283	14080.6934	15048.4746	14303.8242	14829.3535	12388.5195	12215.6807	13603.3984	13587.3057
1.6011	14851.5059	15234.4463	13978.9629	15156.8311	13875.9131	14284.4727	13112.8682	12180.9111	12839.2852	14116.9688
1.7345	14618.042	15376.8604	13408.3799	14736.3555	13282.5518	14468.0127	13802.793	12322.7559	12476.9473	13270.627
1.8679	14954.1973	15304.6709	12888.8877	14008.126	13547.0615	14471.3916	13612.3525	12405.4062	11404.4746	13535.0391
2.0013	14824.7891	14018.752	12371.6396	14650.5205	13647.0312	12758.7324	13865.5088	12249.9834	11495.0625	14130.3506
2.1347	14411.4277	13767.3057	12386.3154	13718.2236	13895.3154	13085.7588	12754.375	12685.75	11555.7783	13754.2666
2.2682	14408.6094	13261.7256	12315.252	12995.8252	13566.5537	12156.5098	12671.3086	12279.2793	11548.0479	14014.4209
2.4016	13399.1885	13132.1807	12853.9785	13150.1113	14736.2393	11804.2812	11838.3594	12183.4775	NaN	13382.6758
2.535	12530.6865	12339.7852	12198.4004	12308.2363	NaN	11892.3389	12011.7256	NaN	NaN	12630.374
2.6684	13230.2432	12157.0186	11961.4209	12331.2588	NaN	NaN	11996.9824	NaN	NaN	12926.3984
2.8019	NaN	11935.5596	12410.8574	NaN	NaN	NaN	NaN	NaN	NaN	12209.4893
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12428.5
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
