x	Y_20181208_15692_33_6g	Y_20181208_15692_36_6g	Y_20181208_15692_37_21g	Y_20181208_15692_39_6g	Y_20181208_15692_40_18g	Y_20181208_15692_41_12g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_7g	Y_20181208_15692_44_1g	Y_20181208_15692_44_5g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g	Y_20181208_15692b_12_14g	Y_20181208_15692b_12_4g	Y_20181208_15692b_14_4g	Y_20181208_15692b_2_6g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_5g
0	27622.1035	28521.6797	29999.7441	29010.6328	29034.7734	25680.0586	29111.5488	26459.3672	29129.2305	24063.7461	23725.2402	28015.2324	25992.3711	29706.2422	26150.2754	28141.1328	28882.2852	30491.8086	26927.1133
0.1334	27679.1348	27841.4316	30723.8359	30995.3164	29594.2852	24594.5098	28778.1699	25027.6875	29249.6465	24427.9492	24215.2324	28398.3145	26945.6973	30980.207	26337.0371	28273.5742	28245.8887	30582.6934	26955.9902
0.2668	28276.1895	28096.625	29919.1152	30075.1816	30305.1191	25135.0801	28584.2422	24142.1797	28627.7891	24644.4473	24599.5	27616.3203	26349.6914	30694.9141	25853.6211	29413.6738	28651.1172	30315.752	28001.625
0.4003	27797.1484	28752.2344	29658.25	30423.2031	29201.6523	24354.5469	29657.0469	24293.9629	28671.748	25244.0332	25552.7461	28191.9453	26796.3438	30743.2578	25817.7168	30312.7656	28879.2168	30894.0312	28301.9297
0.5337	26742.3242	29085.7031	30168.3926	29197.2344	31116.8906	25081.8262	30774.6426	24430.4062	27997.6816	25805.6289	25828.2344	30474.0645	26053.2891	29455.6484	26912.6074	29635.3242	28396.7578	31128.1855	29816.7578
0.6671	26812.7754	27950.2051	30380.3125	30256.6152	29066.8008	25224.5586	31108.6191	25296.7871	29889.2949	25350.375	25541.3164	28373.3887	26857.4805	30288.9375	27071.2773	28644.8242	28051.1699	29867.9336	29996.8145
0.8005	26929.6973	29413.6074	30923.4492	30970.2012	31537.1855	25777.8125	30423.0488	25256.6836	30039.1035	25926.4355	25969.1816	28599.1484	25589.3105	31268.2168	27264.8164	28859.1699	30678.8594	30850.5879	29948.084
0.934	26797.7461	28513.4707	32245.4766	31961.8066	29079.5078	27034.3906	30130.5742	25426.5508	28255.002	24838.6621	26007.4375	27533.1934	26637.3203	30750.7363	25583.877	29367.8164	30985.5625	32003.6934	30056.9648
1.0674	25462.0234	27101.9375	32062.543	32342.8066	31665.6387	27524.7441	29118.252	25952.3574	28436.4805	24041.8848	26546.7188	28029.1543	24241.4141	30750.332	26417.7812	29947.1387	32377.6035	31222.9297	30092.873
1.2008	26004.8789	29171.625	31616.3848	30732.9199	30791.2012	28042.5527	30276.7734	27075.8535	28433.457	24624.2578	25789.3711	28898.9902	25182.5996	29287.1465	25785.8848	31233.373	31171.3594	30960.6641	29481.3262
1.3342	27758.5938	30111.9863	31260.6582	31987.9023	31389.9727	27473.8965	30519.5898	26536.7266	29084.2031	26203.5254	26962.4395	29716.6445	25921.0078	30412.5039	26495.416	30754.0801	29371.1133	29101.0586	28740.9609
1.4676	28077.5508	28701.8555	32489.1523	31686.9297	31293.1387	26720.5332	31172.1895	25171.9434	29359.0332	24610.7832	26468.2871	30390.6855	26605.0488	31505.166	25742.084	30869.0684	30843.209	29550.1152	29564.1602
1.6011	29092.3984	28591.6992	33173.9805	31315.6465	29186.6719	27127.9688	30284.0645	26741.5723	28810.2773	24687.8887	27604.3184	29841.8164	26487.416	31371.7305	26382.373	30680.5176	31306.7344	29641.3145	29125.8555
