x	Y_20181208_15692_30_1g	Y_20181208_15692_31_2g	Y_20181208_15692_32_7g	Y_20181208_15692_32_9g	Y_20181208_15692_33_7g	Y_20181208_15692_34_3g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_16g	Y_20181208_15692_37_20g	Y_20181208_15692_40_4g	Y_20181208_15692_41_2g	Y_20181208_15692_41_6g	Y_20181208_15692_41_7g	Y_20181208_15692_42_2g	Y_20181208_15692_44_11g	Y_20181208_15692_44_19g	Y_20181208_15692_44_8g	Y_20181208_15692_45_12g	Y_20181208_15692_45_16g	Y_20181208_15692_46_5g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_10g	Y_20181208_15692_8_1g
0	10485.4756	11267.9004	10944.9512	10406.0693	10760.0947	12346.8271	11485.5723	12386.5879	9653.3232	10572.2529	11342.6084	11051.8984	10039.4189	11764.8525	12959.4453	10639.8525	12353.5547	10756.707	13196.0312	10100.3896	10215.6416	10004.0469	11648.3721	9819.2432	13010.0264	10162.7715	9567.415	12296.623	10465.8799
0.1334	10256.2139	11862.6084	11961.9932	11098.3477	12183.1299	12772.6084	12135.1699	13386.3193	10474.6562	11539.5469	12679.9883	11804.0596	11281.5693	12553.541	13676.208	11192.623	12219.4795	12187.0215	15249.4111	10782.1553	11180.0283	11092.5859	12358.3867	11037.959	14364.2773	11138.2324	10176.3223	13702.6748	12850.5801
0.2668	10475.1465	13541.8779	14867.1855	11744.627	13237.2939	14139.9971	12881.0254	14066.708	11449.9199	13543.1504	15639.0801	12240.6582	11564.2363	14846.4277	14120.1455	13472.4043	13302.4922	13727.5957	18014.8965	11463.6445	12556.2295	11124.4482	14060.3604	13063.8555	16086.8096	13537.6074	11526.6777	15093.3994	15731.668
0.4003	11775.6016	15973.502	17449.0195	15061.0391	14593.2959	15434.2949	12772.2979	14446.8262	13456.1855	14008.3779	18779.9238	13482.5527	12689.4648	17453.1367	14487.6191	15335.7812	14319.1182	15443.752	17899.6387	13335.1572	14978.5518	11328.0908	17610.2891	17845.7402	17447.125	15823.7051	14730.7383	14594.1396	17885.502
0.5337	13973.3564	16854.5898	18065.5547	19154.5117	15171.7539	16073.207	12151.5869	15578.8818	16333.0176	14774.416	18797.3379	15501.0938	14121.3232	17828.9473	16243.1553	15245.8154	14831.4678	14814.3213	18374.9922	15848.7373	14934.0127	11846.5244	19386.6445	18984.6855	21366.0703	16509.6484	18980.0215	14426.71	16305.8281
0.6671	17055.0879	15820.8691	17606.8945	18797.0312	14110.127	15727.3662	12524.2188	15860.0879	16542.3984	15118.0498	18644.168	17972.3477	15354.459	16384.4941	16439.4805	16395.6211	14843.0029	14450.3672	16710.9531	16369.0391	15130.4404	13363.0928	18214.4414	16554.1309	20626.7852	15073.3447	19216.791	14016.6768	15137.2568
0.8005	17451.7773	15229.2227	17562.3887	16715.498	12923.5215	14321.1855	13287.2705	17368.9395	15800.623	14112.3789	17650.5391	19294.2812	15097.8613	15743.3291	15305.9092	15847.4258	14710.0332	14263.627	14926.8975	15664.2822	16637.7363	16657.5488	17467.4082	14194.2266	17683.4395	15528.8857	15774.1924	13632.8281	14843.8027
0.934	16663.75	14535.2686	17615.8828	16553.2852	12995.9844	14609.0312	13154.0625	15741.4336	14615.793	13367.3613	17201.7852	18222.8008	14851.376	14813.4873	14443.1924	15392.0283	14652.626	14678.1855	13852.4365	15899.0439	16744.7383	17396.9453	16736.0527	13689.8525	16283.0762	15574.958	14238.3613	12765.957	15125.167
1.0674	17241.4453	13564.7744	17159.7832	15937.4736	12650.9492	13895.5391	13277.1455	16201.7969	14308.2998	13939.1045	16861.791	16878.4902	15384.4033	14339.1719	14365.1562	14524.168	14892.3008	14686.7402	13935.7432	17016.7539	16239.9834	16393.1719	16537.2559	13291.7764	14268.4121	15640.9277	13769.2148	12277.208	14413.5
1.2008	16593.3086	14849.1523	17241.8887	15804.8311	12656.3301	13805.8701	13661.3301	16805.2637	13011.5127	13116.8633	16095.4541	16722.9688	14584.834	14582.7695	14049.5781	14007.8223	14524.9043	13896.7139	13563.6924	15815.5322	15351.1816	15301.3701	15444.4824	13189.4121	15470.7324	15209.1406	13512.2441	12680.0801	14548.5635
