x	Y_20181208_15100_10_4g	Y_20181208_15100_11_3g	Y_20181208_15100_11_5g	Y_20181208_15100_13_16g	Y_20181208_15100_13_20g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_14_10g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_14_7g	Y_20181208_15100_16_3g	Y_20181208_15100_16_4g	Y_20181208_15100_16_8g	Y_20181208_15100_17_1g	Y_20181208_15100_17_2g	Y_20181208_15100_17_3g	Y_20181208_15100_17_6g	Y_20181208_15100_17_9g	Y_20181208_15100_18_1g	Y_20181208_15100_18_4g	Y_20181208_15100_18_6g	Y_20181208_15100_19_3g	Y_20181208_15100_19_8g	Y_20181208_15100_2_2g	Y_20181208_15100_20_9g	Y_20181208_15100_21_11g	Y_20181208_15100_21_5g	Y_20181208_15100_22_10g	Y_20181208_15100_22_4g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_23_3g	Y_20181208_15100_23_4g	Y_20181208_15100_24_1g	Y_20181208_15100_25_1g	Y_20181208_15100_25_2g	Y_20181208_15100_26_5g	Y_20181208_15100_26_7g	Y_20181208_15100_27_1g	Y_20181208_15100_27_5g	Y_20181208_15100_27_7g	Y_20181208_15100_30_8g	Y_20181208_15100_32_1g	Y_20181208_15100_32_2g	Y_20181208_15100_32_4g	Y_20181208_15100_32_8g	Y_20181208_15100_5_5g	Y_20181208_15100_5_6g	Y_20181208_15100_6_4g	Y_20181208_15100_7_3g	Y_20181208_15100_8_1g	Y_20181208_15100_9_2g
1.3342	10758.7373	14236.6855	13543.874	16340.9551	13024.6338	16528.1172	24492.6523	17080.4531	15481.751	13203.2432	14891.6152	12722.667	11640.1533	14824.3252	12368.6914	12311.0713	14994.416	15848.5195	13056.5166	12239.0527	17929.0332	14072.8125	11776.8984	18243.6113	15997.6475	14079.8252	13865.335	12639.0771	17226.9746	17039.1699	14384.499	14536.3564	16087.4932	15471.2773	11822.4297	12333.6855	14290.8203	16006.7812	14648.4072	14281.6309	14892.7998	11136.4434	16151.4092	14146.9316	14144.7793	17290.9375	14648.0732	14196.584	17356.3301	17008.6133	17516.1816	13358.8447	10629.8643
1.4676	10719.7744	13419.6484	14140.04	14718.7178	13428.4824	14343.8389	29264.791	17207.6172	14786.2549	14085.1631	15204.8242	13286.9658	11845.8633	14921.8301	12886.5674	13406.0498	14543.5918	15714.8369	13350.1016	12850.4531	17309.9453	12424.6289	11207.3262	17716.4922	16018.3193	13275.4023	13369.6777	13579.2559	17040.1758	15303.4443	15028.5303	16067.9834	15594.585	15893.4541	11509.5576	11615.8584	12943.6074	14488.0127	14804.7295	12923.4766	14539.1562	10798.9121	16637.9902	14914.3916	14750.1455	17321.5195	15101.3916	13843.7627	16391.3145	15793.8623	16418.4609	14263.1045	11288.8525
1.6011	11420.8809	14301.6816	14110.2578	14477.6836	14073.9619	12999.7422	29571.625	15569.3896	14272.1416	13216.6904	15050.834	12531.0439	11949.9033	13837.6074	12409.793	15842.041	13435.1865	15032.6338	12184.7188	12351.5381	16375.7861	12003.5029	11450.5586	16449.4434	14389.7969	12815.1885	13254.0273	13642.6064	15491.0068	13966.002	14306.2305	15444.4199	13811.3652	16174.5928	11933.1328	11625.458	11418.3633	13363.0879	15952.1084	12330.5244	14032.4229	11285.7139	14199.2363	15279.498	14446.8066	18063.9297	14222.208	14040.4727	15935.1602	13409.0391	16158.6182	13420.0098	11431.5244
1.7345	11669.4092	14941.0859	13551.6328	14562.7041	13961.0547	12492.1689	24840.2129	13675.1543	13054.373	13002.5449	14340.3838	12439.3994	12891.9795	13318.21	11524.3838	14669.0684	13997.7129	14373.6992	12217.7266	12459.5557	16275.2568	11491.4688	11223.4336	14834.2227	14187.3779	12998.6543	14079.1494	13228.9492	14109.3047	12782.0518	13245.7275	14988.8584	12819.9805	14856.4053	12687.0195	11639.3398	11182.8643	12335.8223	16904.3828	11139.998	13482.458	12003.9385	13733.1885	15247.2461	13764.5557	17249.9453	12448.2539	14397.5615	15561.7119	12132.6748	15213.917	12928.8457	12744.8682
1.8679	12267.5811	14938.3838	12717.9199	14226.8301	14816.5352	11774.5098	19992.4219	11874.4941	12109.7998	11992.2168	14146.6719	11840.4385	11963.6338	13134.0928	11045.5703	13027.5166	16017.6631	13283.6426	12498.374	14153.0068	15203.7588	10990.2031	11378.1494	14599.9785	13435.0137	12295.5996	13878.4756	12674.5068	13316.416	12334.8311	12106.5732	14058.7871	12353.0947	13934.1904	12964.2891	11995.1455	10346.5264	11520.708	14428.1113	10431.1895	13005.7227	12185.2207	14251.208	13522.1289	13219.8984	16481.7852	11318.3418	12896.2021	14702.7607	11376.9424	13718.7432	12220.5645	12175.2275
2.0013	12693.6396	15607.5234	12933.0254	13856.3213	14933.1338	11255.6885	17292.3203	11852.9414	11922.5215	11640.415	14417.0498	11860.6904	11900.0752	12632.2295	11096.8682	11883.4629	15609.2793	12776.6787	12210.0039	15061.0518	13917.8936	10584.9844	12280.0713	13910.6318	13415.2793	12499.1738	13114.4092	12449.8184	12101.8213	11705.5771	11454.2549	13284.6201	12096.8857	12878.7021	12599.9375	11863.9668	10694.2148	11421.5732	14335.2109	10084.9697	12424.8701	11902.7275	15023.541	12140.5273	13090.7256	15053.5859	10952.0859	12961.3291	14444.5342	11541.6572	12345.1084	11816.4678	11477.8418
2.1347	15192.0459	16902.4395	11964.585	12611.1299	14478.9805	11229.54	15239.7197	11278.8242	11710.0996	11564.6797	14860.7217	11539.876	12041.4404	13011.5332	10443.8672	11787.1455	13241.0859	13209.5127	11640.5244	15878.9639	13355.2207	10078.752	12374.3574	12859.918	13007.9238	12016.8447	13282.7822	12110.6797	11734.8398	11595.6387	11621.8271	12480.7676	12342.209	11867.3096	11637.3691	11390.2617	10799.0488	11868.4561	13248.0518	10432.8154	12112.1406	12547.0635	13840.8633	11958.7432	12431.3047	13534.082	11359.4785	13105.0996	13998.0205	11697.3887	12382.2734	11596.4248	11701.124
2.2682	16938.7285	16243.334	12434.0889	11820.7656	14652.7715	11408.2891	13405.5576	11943.0283	11663.7197	11608.9824	14606.4668	11716.791	NaN	12596.3799	10829.5703	12167.29	12728.6855	13401.8613	11479.708	15420.5713	11748.5674	NaN	NaN	12373.7402	13201.4248	12028.25	12805.8057	12521.127	12034.9229	11930.2383	11386.8477	13465.7949	12267.9229	11926.9385	11173.7852	10878.249	11194.1348	11921.2402	12348.9189	10458.9404	12515.5186	NaN	12507.4922	12642.7598	11820.0264	13104.3115	11345.332	12667.1025	14659.4453	11667.3193	12362.2354	11576.6055	10706.2051
2.4016	15312.4414	15421.7402	12324.3564	11388.2158	13789.2617	11640.5088	12731.0664	11660.666	11679.1748	11669.291	12976.8975	11691.0459	NaN	12774.7568	10755.0723	11626.6992	13372.0156	13798.2793	11973.7402	13654.1162	11610.7764	NaN	NaN	11128.6289	13061.0918	12665.7275	12204.8418	11573.4707	11673.6104	11833.1523	12203.917	13129.4717	12204.6582	11093.3545	10908.7432	11029.1504	10891.4551	11563.6064	12654.6387	10367.8955	12284.3086	NaN	12430.0068	12487.6748	12184.9668	12658.3184	11841.8613	12406.3994	13614.707	11387.4121	12172.167	11847.0449	10956.1816
2.535	13640.4668	NaN	12045.9717	11199.4053	13801.6367	11496.4941	13033.4512	11811.6924	11548.6875	11832.4463	NaN	11903.0264	NaN	12838.7383	11263.7363	11266.1328	12968.2832	12965.0361	12080.5527	12893.3027	11106.1631	NaN	NaN	10489.0889	14320.3662	12381.4336	NaN	11156.3154	12051.4307	11962.2764	NaN	13288.6221	12169.0889	11497.0801	10636.4287	11307.0312	10915.207	11932.7656	12288.5381	NaN	12206.7949	NaN	12268.1094	12637.9062	11616.666	12227.6064	NaN	12947.8154	13185.708	NaN	12831.4971	12755.6377	11773.4404
2.6684	12989.458	NaN	12071.6572	11469.2764	13182.2363	NaN	12607.0879	NaN	NaN	NaN	NaN	10968.0596	NaN	NaN	NaN	11808.2041	12647.8623	NaN	11462.6016	12173.1006	11577.04	NaN	NaN	11401.0049	NaN	NaN	NaN	11987.9502	12576.0771	NaN	NaN	12890.5273	NaN	11574.5713	10146.7725	11178.0176	11174.374	NaN	12492	NaN	NaN	NaN	11666.8242	12761	11604.3115	11517.9434	NaN	13048.4902	12216.5146	NaN	NaN	NaN	11207.5127
2.8019	10951.8135	NaN	11604.499	11223.1367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11095.5986	NaN	NaN	NaN	NaN	12892.4297	NaN	11414.4883	NaN	11215.8945	NaN	NaN	11602.2939	NaN	NaN	NaN	12241.1895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11803.7812	NaN	NaN	NaN	NaN	NaN	NaN	11478.5801	12534.3711	NaN	11912.6719	NaN	12583.1191	NaN	NaN	NaN	NaN	11579.6367
2.9353	10867.1396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13395.7998	NaN	11401.0371	NaN	11623.3613	NaN	NaN	11166.7021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11214.4404	NaN	NaN	12187.5361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	10730.0752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12064.3701	NaN	NaN	10429.5137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12113.6299	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
