x	Y_20181208_15692_32_1g	Y_20181208_15692_32_7g	Y_20181208_15692_33_11g	Y_20181208_15692_33_14g	Y_20181208_15692_33_4g	Y_20181208_15692_33_6g	Y_20181208_15692_34_3g	Y_20181208_15692_36_11g	Y_20181208_15692_36_3g	Y_20181208_15692_37_14g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_38_9g	Y_20181208_15692_39_10g	Y_20181208_15692_39_13g	Y_20181208_15692_39_8g	Y_20181208_15692_40_13g	Y_20181208_15692_40_4g	Y_20181208_15692_42_11g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_43_8g	Y_20181208_15692_44_11g	Y_20181208_15692_44_15g	Y_20181208_15692_44_16g	Y_20181208_15692_44_4g	Y_20181208_15692_45_12g	Y_20181208_15692_46_14g	Y_20181208_15692_46_23g	Y_20181208_15692_46_3g	Y_20181208_15692_47_11g	Y_20181208_15692_47_12g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_7_11g	Y_20181208_15692_7_1g	Y_20181208_15692_7_7g	Y_20181208_15692_8_10g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
0	30081.127	29609.3984	30526.2812	32250.5156	30648.7031	27866.8867	30320.1855	25701.7207	30429.4492	29900.0781	32255.1895	26533.9355	31046.209	26785.1406	31531.6152	31755.668	28499.6191	30988.0156	30523.3867	31923.2012	28251.2207	30769.8535	27693.7246	30005.2129	31146.3887	29094.0312	27962.0723	28972.2441	28251.6406	30072.0254	28406.3125	32875.2148	30153.3223	25852.0117	23630.7734	30116.9141	24891.8984	28638.6133	32036.6055	28503.0273	30074.6738	29198.2402	29933.7363	29831.8652	25347.4746	29140.2637	30838.9062	30275.4531	34388.4766	29754.2246	29709.0391	29172.7402	27792.0234	29739.7344	28095.2109	30294.9922	33750.3047	30202.6406	27506.3691	31874.1152	31195.8359	32371.6836
0.1334	29398.541	29329.0195	30160.2871	33561.4844	32132.2715	28491.2793	31192.916	25242.9746	29419.7793	30873.2695	32338.3887	26946.9355	30400.3633	25940.707	31174.6895	32280.4941	30356.9277	31731.2812	30604.7617	31290.8184	28542.3457	31359.0801	26441.3555	28724.1445	30784.8945	29881.6602	27365.4941	28563.1055	27283.2461	30569.3086	27464.1445	33596.7266	30272.8633	26109.3711	24251.4082	31567.7773	23467.2969	29742.4473	32097.9336	28875.1504	31469.8555	28508.6914	32268.5801	31442.1484	27126.5879	29911.3691	31133.6074	30765.2109	34400.293	29410.1797	28890.0059	28208.375	27070.8828	30982.5508	28715.2656	31411.5039	33791.1797	28665.8516	27401.0195	33582.3828	32933.1719	32184.5684
0.2668	28557.3516	29066.2227	30315.9922	32862.4375	33279.5586	27851.0156	30542.4668	27137.6016	30039.9766	30678.4961	32918.7266	26272.6797	31078.9062	26810.8867	31741.2969	31985.6094	29952.9121	32010.0762	31593.7871	32242.1738	28972.1875	29511.2285	25832.6875	29426.5488	30613.7109	29847.4043	27018.4043	30371.3145	27380.3477	30185.4141	27374.2754	34709.7617	29623.8301	25713.6211	26073.1055	32637.8301	25297.6582	30869.6426	32188.748	29567.1797	31407.2051	28563.8223	32375.291	32596.2949	27940.0781	29310.6211	30125.3477	30705.4688	33692.5156	29426.5098	29438.0469	28801.2363	27157.4316	31191.8516	28024.0469	28817.9766	34328.8164	28928.0332	28471.8594	32759.3008	33214.1758	32742.7285
0.4003	28851.0469	28887.4688	30713.377	31587.5488	33399.9258	28098.9492	30347.2285	26063.7363	30947.4277	30452.6504	32336.5488	26942.4941	31895.3086	25839.9004	31400.8633	32843.6797	31111.9707	31133.1641	31625.5762	31795.1602	28345.127	27819.7773	25949.7617	31099.3574	32590.3672	30692.2031	27976.1582	29965.748	28194.7578	30851.416	28117.8906	35525.0234	32222.5059	25474.3809	25637.1387	32622.5703	26378.4531	30344.916	33154.5234	30041.0078	32996.2383	29148.6504	33344.3867	36360.9023	27564.1035	29258.9121	30308.2617	30983.3652	33477.4062	29418.1211	29519.8457	30926.5215	28402.7266	29321.8887	29030.7559	29671.5293	34464.1172	29595.7402	26768.0117	31859.6582	33190.9805	33467.0117
0.5337	28320.1348	30574.4023	30578.1797	31416.5488	31546.668	28786.5781	30638.748	26612.541	29982.8965	31746.4355	31415.3906	27529.5684	34073.6055	26870.5078	32529.1914	31917.6719	31617.7715	30820.0117	31458.541	30886.6445	30232.8125	29419.2832	27525.9258	31256.7383	33873.4258	30604.2227	27620.5977	30843.9004	27655.2363	31662.7578	28522.6133	35922.7969	32230.666	27323.625	26216.8145	31655.5176	25569.6895	32067.4277	32191.3125	30843.0254	31062.0605	30030.2969	32361.082	44560.957	26833.2637	28527.8691	28967.252	30497.2051	33749.8789	30769.6504	30452.6914	30766.6738	28121	31221.9004	28486.8965	30930.9414	35176.5039	32333.2539	27643.8496	33586.0078	32323.6289	33563.5117
0.6671	30820.502	29388.125	31609.0508	32379.3086	31444.043	28773.9043	31425.5059	27581.793	29722.5781	31905.4785	31588.0488	26626.6211	35323.7539	27038.2012	34360.1836	31194.0625	30882.623	29639.0723	30080.6484	31833.8652	30520.4512	29105.9824	27575.3496	30779.043	34021.457	32778.0781	26815.6113	31845.3359	28415.3652	30714.2031	29321.207	35102.8906	32281.3203	27062.5664	25314.6133	31530.5645	26303.3223	31589.5508	30559.5703	30861.1035	31084.3672	30468.2637	31658.4375	63064.4609	28191.4453	28618.2285	29750.3906	29493.1035	33793.6094	30195.2246	29119.7168	30818.7754	28584.0469	31555.0293	28641.5293	31123.8633	34819.5234	32518.2617	28520.9277	32503.5645	32642.875	34647.4414
0.8005	32437.4316	31672.209	32800.7891	33496.2617	32385.2656	28828.4355	30822.4688	27108.627	30365.377	32505.1387	31564.5957	27352.5215	33534.4688	26985.0293	35156.2422	32359.1133	30461.3145	30435.9102	30581.3359	32210.7422	29754.3574	28966.3555	28178.0312	31524.4238	34491.082	31814.7793	27341.0176	31457.6504	29496.457	30941.625	29654.8145	36996.8359	32280.7695	26556.2637	27435.4805	30749.4102	26133.0195	32798.6133	31256.2871	31612.043	31183.4492	32039.334	31165.0664	78840.0312	28375.2637	28858.1035	29502.4473	31107.8066	33564.4336	31339.6641	30561.1328	30614.9844	28432.8379	30547.0781	30315.5312	30339.6621	33448.8984	32655.5156	28801.9082	33885.5859	33094.1641	33825.1914
0.934	33968.5352	30534.4473	32712.6328	36289.8008	32812.375	30199.2734	30778.2441	27825.5059	31158.8965	31970.3105	32124.5957	27685.5449	33828.1875	26767.6641	35872.3281	33098.0859	31016.2461	31768.3164	30255.4355	31962.0859	29224.3867	29398.3496	27584.3242	31941.0039	35898.6289	32114.9727	26375.9043	31586.877	29211.9844	30203.5957	29762.332	36815.6836	34030.3906	26916.6816	25559.9609	31431.791	27017.3691	33081.2734	33161.6055	33265.9609	30985.582	36977.2773	30969.3848	76086.0156	28922.498	28793.2324	30755.4648	31134.0488	36325.0898	32678.373	29870.3984	31045.9746	30082.2793	32947.3867	30865.7188	30757.2734	35578.3398	34937.2188	28815.2344	33182.7031	33806.8672	35184.832
1.0674	40913.7305	31340.3066	32921.7109	39697.4453	35763.6719	29067.375	31508.0508	27603.5957	30765.3867	31944.6172	32100.168	28916.0293	35118.957	26916.7383	40986.6055	35163.8633	32087.6934	31438.2715	31437.584	32236.8418	30380.5898	30045.8223	28498.0938	32167.582	37891.9102	32616.8789	27002.5215	32073.1133	30145.3203	31542.7695	32663.1367	37002.9336	36114.2734	27892.7285	26606.0508	31388.8281	25745.6699	35311.9062	33037.7656	36123.1719	34045.082	48007.6758	31757.0898	54775	31028.8457	28939.5273	32536.9609	30817.6934	37661.6484	32435.3398	29526.7207	36751.3594	30217.3516	33191.3438	30942.7012	32520.1465	37420.4492	36666.2461	28614.1465	34615.9141	34106.9922	33969.5508
1.2008	57012.6484	31997.1484	32892.5117	49693.8789	38608.0352	27379.873	31100.7246	29098.1914	29469.6523	31945.3477	32886.4453	29904.1602	36791.9336	27426.0703	56403.5469	35661.6016	35425.6953	30710.5156	31501.625	31753.3359	30541.668	30563.0352	28858.7305	31965.1953	40805.2148	33157.0742	26959.0039	31410.2656	31441.8242	31799.4004	36120.7812	40575.1641	41965.7227	27674.3477	27929.8262	35342.9453	26825.748	41628.9141	36686.3984	42951.4219	35553.3203	70590.6172	32286.2852	39735.5195	38811.0391	29289.1855	34006.75	30621.9277	44140.6328	33611.9141	30542.002	46256.5078	30027.6562	35046.582	31802.541	32406.3516	39247.8047	43586.332	30935.1777	36941.9102	36201.4609	32280.0078
