x	Y_20180130_15100b_1_10g	Y_20180130_15100b_1_12g	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_1g	Y_20180130_15100b_1_2g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_12g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_7g	Y_20180130_15100b_11_11g	Y_20180130_15100b_11_2g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_10g	Y_20180130_15100b_13_14g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_4g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_9g	Y_20180130_15100b_15_12g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_15_2g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_16_12g	Y_20180130_15100b_16_5g	Y_20180130_15100b_17_3g	Y_20180130_15100b_17_4g	Y_20180130_15100b_17_7g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_18g	Y_20180130_15100b_18_2g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_19_13g	Y_20180130_15100b_19_1g	Y_20180130_15100b_2_1g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_8g	Y_20180130_15100b_2_9g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_1g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_17g	Y_20180130_15100b_22_19g	Y_20180130_15100b_24_13g	Y_20180130_15100b_24_4g	Y_20180130_15100b_3_10g	Y_20180130_15100b_3_11g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_19g	Y_20180130_15100b_4_24g	Y_20180130_15100b_4_4g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_15g	Y_20180130_15100b_5_17g	Y_20180130_15100b_5_20g	Y_20180130_15100b_5_3g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_3g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_5g	Y_20180130_15100b_6_8g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_15g	Y_20180130_15100b_7_16g	Y_20180130_15100b_7_2g	Y_20180130_15100b_7_7g	Y_20180130_15100b_8_1g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_7g	Y_20180130_15100b_8_9g	Y_20180130_15100b_9_11g	Y_20180130_15100b_9_13g	Y_20180130_15100b_9_6g	Y_20180130_15100b_9_7g
0	11906.161	12367.412	11205.619	11390.607	11234.469	11744.3	11869.2	15711.844	12504.521	13737.777	14213.363	15203.645	12957.908	14536.585	13109.888	13904.81	13519.77	12837.442	12986.8	12784.119	13184.922	13287.463	13316.423	14380.064	12543.355	11941.734	13248.478	14659.788	11926.554	11351.776	12778.318	12140.82	13208.753	12551.048	13568.132	12952.065	13280.345	13418.499	13976.979	12994.212	10493.114	12849.725	15312.062	12620.468	15153.056	14786.455	11955.557	13010.461	15525.213	11745.263	12684.952	13297.83	13217.943	13860.354	14964.465	13540.2	13366.2	13634.647	12727.458	13422.7	14828.952	11777.552	13993.633	12261.67	11990.302	12895.206	14374.313	13746.343	13140.932	13583.284	11999.837	13889.63	13329.646	14845.951	12274.272	14708.507	11828.227	11527.277	13194.844	13541.194	14484.37	14927.896	13321.939	12949.256	13462.069	14810.299
0.1334	11770.418	12070.854	11146.308	12247.448	12175.125	13152.863	12897.406	16286.502	13021.057	14098.317	14923.965	16893.182	13727.49	14602.859	13787.938	14169.492	14003.996	13631.363	14504.799	13775.067	16192.496	13924.875	13437.99	15396.213	12574.627	12646.907	14340.131	14036.998	11562.577	12730.145	14118.093	12805.87	14550.075	13693.479	13739.713	13600.141	13546.187	14373.358	14044.424	13905.648	11243.762	12724.594	17411.07	13638.98	15457.07	15068.959	12643.708	13864.066	17129.816	12774.272	13667.146	13344.432	14280.063	14334.768	15372.217	13755.037	13344.664	14554.776	13709.672	13272.475	16170.845	13039.723	13666.776	12530.233	12395.35	13432.614	14205.846	15609.225	13244.214	13852.697	12192.822	14404.586	13598.776	18392.977	12902.859	13889.604	13240.698	12147.016	14141.802	13638.271	14027.845	15227.928	14466.325	13409.24	15079.162	16564.479
0.2668	12709.344	13672.021	12308.519	12776.29	12401.219	15803.495	13183.375	19216.205	15171.948	16099.225	17140.445	19305.262	14528.292	16833.537	15498.16	14424.472	16655.941	14262.751	18266.75	13967.837	18007.061	14952.685	14073.721	16123.277	13252.873	14621.804	16409.801	15484.575	12511.386	13860.562	15661.45	15376.858	17093.627	15645.238	15754.902	15589.795	14900.227	15858.024	14533.069	14128.31	11821.04	14467.946	20632.527	15251.297	16521.361	16903.176	14640.212	15673.211	19266.068	14540.807	16742.75	15161.355	16488.221	16608.246	16946.76	13873.061	13646.705	15362.25	17235.502	13582.615	19940.479	16221.892	14075.284	13420.369	13862.242	15056.077	15674.062	20077.037	14848.415	14743.051	13667.49	16283.837	15402.207	21457.316	14170.219	15272.575	15773.019	14001.369	17252.26	15708.161	14982.45	18156.285	17521.988	13778.144	16973.359	19921.271
0.4003	13914.613	15082.214	14174.113	12148.322	13376.791	15077.807	14861.61	19673.457	16964.764	19574.562	21311.141	23618.896	16371.607	18731.771	18064.297	17418.693	19279.221	16112.467	22697	15809.361	21161.602	17465.037	15110.104	18594.834	14741.709	17901.855	20679.16	17976.916	13086.271	15349.744	16817.752	18972.957	18229.838	18745.383	17704.168	19122.014	17879.293	17663.895	16232.346	15993.249	11868.956	17272.881	20738.328	16766.117	18071.178	18680.955	16956.965	18231.035	17437.777	17024.201	19018.51	15913.757	18988.262	18552.266	19649.484	15483.326	13656.875	17401.795	24275.787	13876.751	23984.012	18895.609	15664.68	16595.098	15654.603	15878.604	18063.027	21778.498	18105.314	17160.545	16333.711	21028.104	16824.129	23869.674	16915.039	18201.051	17998.701	17144.176	21209.25	18480.119	15632.473	22008.951	21386.615	14749.796	20421.861	19831.16
0.5337	15568.304	16635.49	15024.923	12373.707	13748.934	14193.692	15356.2	18362.33	16842.637	19875.418	23642.977	22088.191	19773.709	22377.156	19664.25	19306.24	18222.498	17013.297	23341.428	19235.283	21333.088	20492.986	16395.988	18886.096	18068.473	19513.42	24244.777	20673.248	14915.481	14302.302	15569.852	22867.85	16180.265	19621.846	22673.82	21506.74	20063.252	16151.513	18221.139	18563.336	12336.129	19698.043	18420.162	19526.555	16936.945	21670.027	16800.377	18698.707	16039.894	19271.027	16304.473	16467.025	19494.676	18976.848	22735.211	18605.184	15940.995	23203.277	27336.988	14431.075	23673.85	19957.221	17902.203	17698.551	16987.801	20187.945	19641.555	18968.66	20343.432	18511.061	17819.791	24680.934	19694.91	23646.643	19036.496	22137.906	17902.35	18478.863	23716.365	22303.545	19146.045	22748.299	21050.238	14576.346	20662.012	19544.547
0.6671	15758.182	15457.646	14846.101	13493.761	14168.488	13917.642	15096.474	18376.482	16080.946	17317.518	21885.992	19323.656	22745.934	23778.908	19374.613	18439.748	16726.396	14527.75	20472.666	23959.879	18848.02	18860.42	17714.738	17716.758	19022.18	18568.352	21980.479	20893.557	16308.37	14137.934	13746.28	24941.699	14330.69	19219.24	23139.719	19394.141	20807.818	15349.888	19486.15	18414.846	12288.395	17829.508	16426.449	19905.867	15783.336	20802.686	15460.312	17168.994	14263.853	19521.756	14584.338	15261.256	17897.146	19273.125	21220.902	23524	14971.113	26438.926	23847.752	16507.777	22199.967	17954.084	18067.039	16974.961	16975.078	23117.738	16794.648	17227.416	20316.082	17563.176	16021.735	21742.256	21691.328	18785.721	18414.85	25060.016	19134.602	15807.832	20430.807	24968.006	18931.436	20117.648	18448.996	14576.507	19769.617	18381.529
0.8005	15623.302	13506.238	13037.544	14014.151	13158.273	13673.875	14030.167	18013.15	14811.207	16752.648	19400.293	18439.473	23156.43	19579.051	17659.654	14545.932	15346.639	14849.979	16906.566	21639.225	19414.461	18083.766	18139.957	16390.191	17627.686	15300.409	19244.301	19833.895	15808.871	13749.403	14082.744	22239.52	13637.357	17086.943	19598.684	17801.453	17907.199	15304.664	17439.619	17725.029	11753.486	16265.181	15269.088	17169.068	15741.62	19777.4	13984.564	16011.834	13273.878	17715.203	13285.617	15429.777	16307.01	17899.088	18508.23	23140.186	14301.593	25153.732	20570.791	16856.252	19377.801	17105.631	16453.721	16367.869	15869.242	22288.699	14669.654	16228.441	18674.404	15918.236	15737.96	19029.871	20227.043	14845.024	16530.002	23424.189	16341.417	13525.142	17302.422	23410.658	17327.482	17644.035	16169.063	15132.119	17771.293	17864.773
0.934	14840.433	13067.371	12118.758	12992.772	11815.9	13555.29	13452.085	19965.857	14749.648	17203.203	18243.355	17082.273	21605.709	17664.428	15266.034	12899.884	14992.558	14425.264	16003.5	18642.402	18282.793	15852.637	16160.829	15131.917	16474.213	13547.978	17505.801	18545.99	14478.642	13656.547	14211.135	20256.604	13844.592	16221.101	16562.863	18221.502	16514.355	14829.529	16343.397	15781.477	11942.892	14416.905	15451.046	17359.871	15352.945	17831.543	13930.494	15697.256	13331.537	17659.354	12510.392	14514.258	15308.144	18139.246	18240.941	20450.016	13620.381	22729.223	17979.119	16072.482	18435.268	15848.448	13948.705	15629.338	15012.316	21742.07	14609.546	15771.233	16423.516	15587.689	16439.049	18002.711	16566.629	13544.712	15196.101	20864.895	14907.472	13119.22	16002.6	20489.533	15482.951	16903.773	16054.739	15146.344	17693.277	16460.055
1.0674	14084.25	12958.509	11621.977	13062.664	13137.072	14081.161	13759.72	19706.697	14071.279	18912.844	16936.318	16036.319	19172.4	16793.496	15278.303	13080.942	15476.424	12928.547	15765.441	17210.406	17984.373	14450.186	15574.994	14277.229	14938.503	12845.019	16535.186	18308.633	14174.966	13446.181	12559.68	17739.152	12942.324	16423.352	15745.403	17717.582	16980.568	13315.501	16497.588	14414.496	12316.875	14311.876	17857.248	19178.408	15792.104	16653.842	13623.734	15878.182	13227.666	17969.346	12399.821	13146.458	14324.554	17825.785	15893.717	19681.152	13391.655	23861.383	18082.758	16525.369	16923.379	15810.05	13437.769	15159.155	14624.964	19681.816	12962.003	15260.172	16588.139	14962.604	16349.172	17695.572	15129.659	12762.378	15329.828	19299.145	14740.381	13625.887	15770.429	17837.316	15140.768	18223.148	17431.002	16231.297	18346.164	14371.081
1.2008	13538.353	12337.141	11879.092	12789.86	12610.933	13639.706	15288.716	19583.434	14128.748	18734.273	17773.637	15691.403	18888.424	16834.57	15221.017	12502.05	15311.154	13998.7	13372.419	16315.741	16846.301	14240.975	15792.962	14101.707	13964.184	13408.287	15860.313	18141.504	13788.665	13451.207	12329.544	14992.653	13468.745	17696.93	15762.923	17212.252	17871.35	13265.627	17624.992	13126.072	11630.804	14977.086	21521.018	18122.57	15770.089	16449.121	13887.133	16245.562	14249.792	18727.34	12495.392	14104.837	14706.566	16904.436	15750.447	17996.08	13004.331	25117.547	18582.699	14784.572	16017.379	16154.543	13006.955	15054.186	13840.194	18053.592	13748.482	13620	17850.225	15600.575	17459.322	16958.246	14558.423	13301.384	14145.971	20155.277	15106.295	14588.532	16159.155	19018.561	15009.26	19630.629	16189.419	15389.437	19793.451	15112.455
