x	Y_20181208_15694_20_1g	Y_20181208_15694_7_4g
0	11078.9209	11036.8496
0.1334	11993.334	11113.0439
0.2668	14365.9365	12491.8008
0.4003	17102.8438	14599.1328
0.5337	17817.8281	14831.9121
0.6671	15513.1006	14612.3174
0.8005	14057.251	14926.335
0.934	13997.4414	14268.6152
1.0674	13587.0596	14100.501
1.2008	13520.1396	14476.1201
1.3342	13430.0752	14603.2285
1.4676	13084.9893	14243.3154
1.6011	12848.25	14623.9014
1.7345	13159.9668	14427.3906
1.8679	13223.5391	13595.3135
2.0013	13657.7168	13361.4795
2.1347	14076.0322	13442.6777
2.2682	14756.7725	12851.542
2.4016	15979.8926	13337.29
2.535	15757.2812	13446.5352
2.6684	14813.1016	12204.7773
2.8019	13712.7852	11582.3994
2.9353	13952.2705	11362.8994
3.0687	14430.6387	10896.332
3.2021	13654.4502	11584.3955
3.3355	13354.7168	12392.6855
3.469	11861.2305	11278.3389
3.6024	11491.8809	11784.8271
3.7358	11187.9092	NaN
3.8692	10581.7539	NaN
4.0027	10877.1318	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
4.6698	NaN	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
