x	Y_20181208_15693_1_11g	Y_20181208_15693_1_1g	Y_20181208_15693_10_10g	Y_20181208_15693_10_1g	Y_20181208_15693_10_2g	Y_20181208_15693_13_11g	Y_20181208_15693_13_5g	Y_20181208_15693_14_2g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_1g	Y_20181208_15693_2_2g	Y_20181208_15693_20_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_11g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_7_8g	Y_20181208_15693_8_10g	Y_20181208_15693_8_2g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_8g
1.3342	14047.665	11431.9062	16172.0215	15000.7617	13466.0518	15906.7275	13119.876	15557.5254	12751.3115	12961.7646	15409.9258	13769.3203	13115.582	13156.4111	15574.75	13396.498	13026.1201	13621.1094	14189.8555	15326.3027	15805.3486	11839.9014	12260.3818	11149.4893	13588.3994	15399.8838
1.4676	13012.9307	11238.1357	15109.9229	14793.0176	13460.7285	15041.6914	12607.6143	15080.3721	12179.3281	12677.25	14137.2178	13290.2832	13676.0049	12945.1191	14903.3184	12129.1357	14113.1631	13605.0811	14116.6484	15645.6484	14955.5986	11188.4707	12585.9395	11193.0088	13840.8486	14186.4268
1.6011	12798.4141	10575.3457	15124.7451	13731.2861	12917.6797	14085.3926	12408.1377	14418.9209	11594.4766	12395.1523	13345.4717	12446.7441	14516.6523	12922.875	15165.2256	11362.2832	14090.8115	11780.6416	13605.4434	12942.8516	13190.8623	11331.8457	12232.1064	11000.7197	13384.6895	14061.8965
1.7345	12252.0703	11160.6064	14265.4746	13201.1611	13237.1035	13797.7402	12845.6152	12712.2812	11326.0068	12090.458	13124.0869	12390.7881	13890.6992	12210.6289	13766.249	12220.8115	12767.1094	11712.2598	13775.6055	13882.7705	11860.1631	11388.5137	11404.8672	11078.7314	13025.2695	12580.0283
1.8679	11711.0977	10985.8447	13232.001	13040.2354	12365.8184	13883.0098	13216.4961	12775.3818	10890.2832	12713.9795	13048.7861	12899.7354	12962.3682	12283.0869	14262.2559	12764.4873	13662.2051	11896.584	13878.3174	13444.2656	11362.334	11093.7568	11889.833	10456.0322	12916.209	12805.3105
2.0013	11894.8193	10504.3564	13621.1367	12132.0107	12164.5146	13192.8438	13943.582	12057.0312	10771.0283	12669.8145	12975.4453	NaN	11810.3936	12124.7979	13623.4766	11964.2607	14436.0029	11887.5098	13549.9131	13887.6416	11566.7568	NaN	12460.9814	10261.0938	12335.209	12551.377
2.1347	12012.3398	10351.2588	12714.4648	12009.6025	12243.5322	12378.7617	15180.9043	12682.915	10529.9258	12421.1406	NaN	NaN	11754.2705	NaN	13871.373	11620.1592	14757.2891	11899.9365	NaN	13119.5703	10955.0654	NaN	11871.8145	10522.2969	11805.7393	11738.6943
2.2682	11551.2393	10303.3955	13012.1709	11355.0254	12167.8691	13063.8643	14808.9199	12865.1953	9855.2871	12269.2422	NaN	NaN	NaN	NaN	14208.793	11126.7207	14599.2178	NaN	NaN	13675.3711	10794.9912	NaN	12147.04	10916.9463	11495.9795	12334.5156
2.4016	11738.4941	NaN	12714.043	11332.8027	11633.3438	12548.9551	13805.0967	NaN	10159.2393	11965.3467	NaN	NaN	NaN	NaN	13617.7578	11892.3281	NaN	NaN	NaN	13759.7207	10884.2031	NaN	NaN	NaN	NaN	12048.1602
2.535	NaN	NaN	11988.1885	11354.085	NaN	NaN	13072.7422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14313.8135	11505.7393	NaN	NaN	NaN	NaN	11504.2891
2.6684	NaN	NaN	12139.2334	NaN	NaN	NaN	13244.5586	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13550.3418	NaN	NaN	NaN	NaN	NaN	11526.3447
2.8019	NaN	NaN	11876.4893	NaN	NaN	NaN	12853.8525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13180.2314	NaN	NaN	NaN	NaN	NaN	11164.748
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	11865.7744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12529.8799	NaN	NaN	NaN	NaN	NaN	11427.6035
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	11573.3232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11713.3711	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	11578.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11174.4258	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	12165.6982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	13003.291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	13172.6855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	12328.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	11830.959	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	11466.8994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	10364.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	9995.8672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	9926.1416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
