x	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_7g	Y_20181208_15693b_12_6g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_5g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_8g	Y_20181208_15693b_6_9g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
1.3342	14260.3301	14802.1973	14282.0918	12677.6055	13776.4062	12946.7676	17956.4805	14098.1709	14782.9814	15995.4258	12166.9443	12152.4658	13815.417
1.4676	14247.8584	14517.5449	13604.6309	12643.251	13525.4512	12203.5322	17031.4023	13520.3184	14876.6885	15607.0596	11938.1191	12237.498	12983.0381
1.6011	14315.5645	14388.707	12980.7324	12515.9766	12658.3867	12334.335	16684.748	12087.5605	14447.4014	14726.0693	11464.9062	11699.0635	12178.0195
1.7345	14497.3271	13296.4424	12612.1211	12540.5342	12978.9121	12444.9922	16829.3867	11566.4922	14666.333	14346.6885	11157.4609	11816.8516	12853.9648
1.8679	15421.6729	13462.2881	12353.873	12326.0361	12725.6572	12099.5518	16176.8877	11185.8555	13846.6934	15329.9219	12378.7266	11839.0664	13806.2451
2.0013	14768.3115	12076.5459	11820.4258	12517.5244	12188.9014	12368.2559	15046.2051	10704.3623	13817.001	14147.0703	12469.5322	11908.209	13281.9473
2.1347	13967.1738	13201.584	11833.1689	12913.6064	11592.3164	13063.751	15117.377	11434.376	13844.957	14076.1982	12124.291	12460.7295	12512.7148
2.2682	14247.5371	14118.4541	11935.5771	12937.6865	11316.1777	12516.4004	14938.1396	11310.9072	15024.7812	13737.5498	11521.6543	13020.8574	13209.7002
2.4016	14888.002	13692.7744	11348.4502	12670.5059	11042.2246	12552.5176	14453.2246	11841.9482	15476.083	13482.6299	11787.751	14493.1943	14335.5381
2.535	14007.582	14945.2607	11263.7998	12678.9248	11457.8721	12608.8105	14642.5801	13852.5342	15974.1328	12744.7793	13228.2559	14367.9482	15202.709
2.6684	12364.7061	15112.4443	11166.1621	12545.6787	11718.1162	12676.4707	13834.5342	13505.5518	15897.3848	12311.2812	13634.0723	14001.1953	15159.4512
2.8019	12192.4824	14594.9072	11323.9219	12843.3564	12377.8965	12866.9502	13705.6885	12033.5918	15251.292	12443.7783	13695.1133	13295.5352	14608.8086
2.9353	12533.9316	14316.1113	11591.6064	13409.3574	12449.3232	13090.0195	13678.1602	11131.3457	14572.5898	13211.4854	12381.3301	13446.1982	13163.0176
3.0687	11874.0752	12826.9492	11725.4297	11887.9727	12369.1572	13455.1943	13980.8301	10895.2148	14065.6758	14920.0625	12494.6768	14820.1562	12619.1221
3.2021	11183.3018	12888.1885	11674.3271	11968.874	13279.0068	13613.8936	12386.5391	11753.4531	13529.7734	15859.7715	12033.5273	14013.5264	12195.1699
3.3355	11162.3516	11830.2754	12115.71	12384.4873	14208.0859	13795.498	13066.418	11510.9258	12644.7207	15968.4043	11872.6953	13696.1729	12075.7236
3.469	10906.9727	11311.9355	11131.6543	12270.3408	14024.4854	14302.9678	12737.0986	11467.46	12729.168	16164.2607	11227.1377	13854.8789	12937.7012
3.6024	11594.5361	11744.2461	11738.2295	11660.8662	14208.1562	13229.415	12229.3154	11392.2822	12668.1416	17359.4746	10639.5264	13437.9424	12335.3496
3.7358	12432.3809	11014.2051	12049.7598	11274.8945	12924.1436	12572.7588	12554.6436	11417.3369	12134.3047	17005.7891	11217.6475	12427.1836	12006.9385
3.8692	11911.9102	11443.8125	NaN	11390.4375	12628.7725	12020.2129	11840.0342	11718.2129	12250.1533	16813.5449	10611.2822	11691.0801	12319.9043
4.0027	11735.0225	10962.1729	NaN	NaN	12257.7812	11797.2832	10664.8838	11261.3145	12407.9541	14798.9775	11040.2949	11311.3975	11777.623
4.1361	12025.2041	11427.4639	NaN	NaN	12163.4912	11717.4121	10875.4355	11657.3066	11563.209	13276.4561	10887.8828	11363.8145	NaN
4.2695	12272.7451	11064.1172	NaN	NaN	12070.2549	11401.9834	10987.2705	11742.6777	11589.7842	NaN	NaN	NaN	NaN
4.4029	NaN	11368.4551	NaN	NaN	12383.416	11094.6191	NaN	11044.7002	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	12129.4941	11645.6084	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	12502.3711	11642.2246	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	11631.2383	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	11326.1201	NaN	NaN	NaN	NaN	NaN	NaN	NaN
