x	Y_20181208_15100_1_3g_left	Y_20181208_15100_10_3g_left	Y_20181208_15100_11_1g_left	Y_20181208_15100_13_10g_left	Y_20181208_15100_13_4g_left	Y_20181208_15100_13_6g_left	Y_20181208_15100_15_1g_left	Y_20181208_15100_15_3g_left	Y_20181208_15100_15_4g_left	Y_20181208_15100_15_6g_left	Y_20181208_15100_15_8g_left	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g_left	Y_20181208_15100_17_1g_left	Y_20181208_15100_19_1g_left	Y_20181208_15100_19_2g_left	Y_20181208_15100_2_3g_left	Y_20181208_15100_21_3g_left	Y_20181208_15100_23_2g_left	Y_20181208_15100_24_1g_left	Y_20181208_15100_25_1g_left	Y_20181208_15100_26_1g_left	Y_20181208_15100_27_1g_left	Y_20181208_15100_3_5g	Y_20181208_15100_5_13g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g_left	Y_20181208_15100_7_7g	Y_20181208_15100_8_1g_left	Y_20181208_15100_8_4g_left	Y_20181208_15100_9_1g_left	Y_20181208_15100_10_4g	Y_20181208_15100_11_3g_right	Y_20181208_15100_11_5g	Y_20181208_15100_13_16g	Y_20181208_15100_13_20g	Y_20181208_15100_13_3g_right	Y_20181208_15100_13_4g_right	Y_20181208_15100_14_10g	Y_20181208_15100_14_2g_right	Y_20181208_15100_14_3g_right	Y_20181208_15100_14_7g	Y_20181208_15100_16_3g_right	Y_20181208_15100_16_4g_right	Y_20181208_15100_16_8g	Y_20181208_15100_17_1g_right	Y_20181208_15100_17_2g_right	Y_20181208_15100_17_3g_right	Y_20181208_15100_17_6g_right	Y_20181208_15100_17_9g	Y_20181208_15100_18_1g_right	Y_20181208_15100_18_4g_right	Y_20181208_15100_18_6g_right	Y_20181208_15100_19_3g_right	Y_20181208_15100_19_8g	Y_20181208_15100_2_2g_right	Y_20181208_15100_20_9g	Y_20181208_15100_21_11g	Y_20181208_15100_21_5g	Y_20181208_15100_22_10g	Y_20181208_15100_22_4g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_23_3g_right	Y_20181208_15100_23_4g	Y_20181208_15100_24_1g_right	Y_20181208_15100_25_1g_right	Y_20181208_15100_25_2g_right	Y_20181208_15100_26_5g	Y_20181208_15100_26_7g	Y_20181208_15100_27_1g_right	Y_20181208_15100_27_5g	Y_20181208_15100_27_7g	Y_20181208_15100_30_8g	Y_20181208_15100_32_1g	Y_20181208_15100_32_2g	Y_20181208_15100_32_4g	Y_20181208_15100_32_8g	Y_20181208_15100_5_5g_right	Y_20181208_15100_5_6g_right	Y_20181208_15100_6_4g_right	Y_20181208_15100_7_3g_right	Y_20181208_15100_8_1g_right	Y_20181208_15100_9_2g_right
0	13042.3926	13731.7861	13293.6006	13802.5762	12193.7305	13428.8467	13638.5713	11959.6846	11525.2441	12703.2471	10708.5977	13071.1016	10053.0107	12889.9023	13750.6338	11921.5176	13192.4062	13342.3633	13531.3223	13392.5225	11573.2871	11703.2256	14307.8643	12652.6133	12040.8438	15163.2197	13417.5938	12296.2197	10893.8037	11808.8994	11524.1406	11342.3691	14573.8184	11270.1289	11674.1436	11451.6602	10374.5234	13707.79	12765.0322	13345.0771	10880.7295	12889.0293	12095.0205	11271.7051	12511.1973	13004.7998	12540.8721	12232.6289	13528.2764	12229.2646	11302.5342	10970.2686	13617.7695	10736.9932	12316.2422	10777.4053	13430.2217	13766.1396	11419.791	13117.5195	12223.5547	11837.7627	12006.8926	14128.3213	11075.877	11560.6182	10801.1084	11441.6465	12142.5596	13245.3086	6357.3164	14703.0576	10547.7832	12312.0508	12279.3145	11244.5732	11358.498	13936.1533	12431.3564	10736.0088	12534.7598	12774.1172	10901.3916	11705.6865
0.1334	13451.8027	15030.834	13745.125	14665.1191	11859.3184	14395.042	13964.9082	12699.7627	11609.3467	12647.4346	11256.6338	13369.0479	10528.042	13783.7588	14743.4453	12475.8818	13989.7637	13060.0762	14082.6982	13378.8896	11823.4453	13109.6299	15211.6885	13125.751	11950.2158	15768.7549	13338.9385	12710.6865	12008.0771	13516.3604	11815.5605	12185.8555	14467.8008	11767.3438	12350.6523	10896.0869	11173.9717	14462.1416	15441.4307	14061.1611	11673.1309	15206.9121	12099.0889	12173.915	13705.3848	13725.6787	13609.6094	12344.8564	14792.2412	12705.9688	11702.1875	11394.9365	15443.0469	11008.6514	12956.9385	10725.749	13671.5186	13312.1797	11676.3154	13520.9678	13118.3564	12937.1133	11863.3506	15369.46	12100.8926	11884.4902	10567.2617	11964.958	12132.8838	13312.4121	6983.8242	14957.5918	10889.7959	12133.1387	12532.6641	12008.9756	10961.0811	14828.1943	13079.4619	11230.2881	13161.8262	13064.4189	11316.8877	11432.8115
0.2668	14884.7119	16679.3359	14870.4287	16078.3887	11922.5176	16764.207	14694.3174	13095.0664	13847.8203	14640.5664	11527.8125	13904.5635	11943.2412	15308.2012	16571.9863	14170.1973	16223.3428	13261.4951	15764.8848	13683	13253.0869	15527.8184	16946.6543	14750.8779	12974.2266	16721.6426	13609.668	14831.5674	12936.7041	14855.3779	12740.0674	12605.1406	15863.5156	13838.4414	12738.875	11584.8242	12891.1113	14945.4492	17020.3184	15581.6582	13034.1602	21514.3379	13121.168	13686.9453	14927.7432	14285.8662	15131.4912	12400.0312	15735.1367	14343.7158	12199.2715	12169.6064	17250.0039	11597.8135	13969.5938	11366.5215	15235.0479	14096.4453	13455.2441	13992.0293	14645.415	15645.833	13535.3838	17041.3711	12340.0488	12560.2012	10749.1104	12120.1475	13378.6191	13955.542	9344.9355	15454.373	11738.7109	11241.3291	13400.9102	13241.5078	10887.3799	19586.2246	13403.29	12181.1172	14186.7607	13246.7031	12597.5791	11378.9893
0.4003	15272.5918	19846.375	15735.8535	19774.3809	12359.1592	18981.7852	16492.748	13211.0879	16033.8193	17063.8496	12555.9668	14703.1123	14049.6758	20053.1973	20834.4121	16393.5195	20472.2656	13624.7812	18021.2969	15823.3994	16464.5352	19675.6465	21333.8945	18144.209	13037.0557	17815.2363	13856.5469	16533.707	14433.335	17802.0254	12550.1641	13392.9258	17429.123	18627.4062	12902.3662	11951.249	16754.1465	15930.4658	18601.625	19868.3438	15414.7607	27181.2871	15965.252	16009.3682	16958.0547	16695.6699	17331.3809	13109.1953	17689.1191	16555.2949	14025.2031	13155.085	19276.8574	14048.1631	13676.9443	11419.5059	18056.1328	14348.2783	15690.709	14900.6855	18087.7148	18318.8184	16184.9736	17998.0566	12917.8779	15692.4082	11484.6846	12763.7764	16369.6709	14235.8779	19411.8359	19446.2031	13050.4727	12784.709	15055.291	17131.8926	11827.791	22698.373	13529.7578	13993.6045	15933.4473	14495.8818	14334.1523	12227.708
0.5337	17257.7754	24054.1211	18786.623	26608.1426	14013.0088	20143.4688	20677.2656	13959.5244	18621.9766	19006.6406	15298.2627	17473.793	17023.8105	23111.2012	20908.7129	19682.7207	24786.8633	15649.0664	20594.7539	18850.6016	17877.8008	22133.5273	24336.9258	21699.043	17157.2754	18702.1309	14215.6738	17524.4316	15977.459	19278.2617	12451.1064	14886.9795	21755.4434	22165.4844	13462.1055	13926.1074	20968.0684	18585.4199	17329.5176	22626.6562	16012.6289	25937.2773	18046.9805	15199.6855	19025.2051	19108.6035	21715.6992	13404	20559.0391	17097.4336	15501.5215	15331.8281	18855.793	17144.8008	14037.9707	12981.5908	19713.1543	15848.0596	17923.4551	17107.3164	22252.1875	17710.8887	18881.541	16128.7637	15492.1279	19380.6426	13572.5371	14586.5918	19649.8984	16302.5859	20797.0234	23457.0586	14282.3691	15200.874	17962.2031	23900.5391	13072.7676	21875.2246	13846.874	17215.7598	18191.375	17712.6914	15205.6523	13969.1465
0.6671	16601.3633	26553.5449	21520.3125	32679.7383	17107.3418	18586.5234	26249.0352	15778.8643	17123.6055	18392.1875	15810.2344	20397.9199	16272.4609	21865.6074	20916.4707	20318.5762	23792.5273	17967.7148	21825.0723	23106.9805	15757.1445	21554.8887	20533.1934	22568.0488	19957.3164	17606.7148	16528.5938	16075.0762	16287.0146	18208.6133	14432.3408	14976.9004	22239.0723	22430.3184	15801.2773	17158.6543	22500.7461	22588.959	16952.4219	19671.4785	13849.4375	21498.3984	16695.2617	13151.2568	18710.0762	18403.9883	21362.5215	14427.6289	21510.1875	14853.5713	16863.0254	18929.8496	16598.3223	16209.5176	15719.251	15124.9355	19132.4863	17586.6699	16631.7109	20593.3516	22677.0977	16712.0098	16897.582	14303.6357	16148.5938	19280.5527	15283.502	16800.7344	19644.0938	15997.8691	16890.5449	23108.6387	13989.2129	18098.3379	20222.5527	22713.8301	15221.1211	19027.9297	16248.4229	18396.1836	20690.5059	18335.9805	14348.3477	16541.5137
0.8005	14397.5977	23186.043	20213.5352	29116.4824	18201.0352	16187.1621	26829.2305	16618.8789	17544.2578	15322.1846	15050.249	19023.5527	16502.9043	17646.6211	21124.2031	16208.9072	21145.1152	19385.5195	21027.3633	21949.0879	14177.5918	19069.8438	17780.7383	18202.3574	23521.6426	14566.3691	20347.1406	14797.1318	16427.8555	15563.2285	16059.2646	15243.6426	20931.0996	18867.7754	18741.334	17776.8262	22491.2461	23644.8145	17517.0254	16235.3867	12381.8164	18185.582	16911.9043	12366.1035	16142.1631	15890.8408	18348.877	15170.2754	19961.0332	14518.3105	15928.2402	19725.0449	16065.46	13120.2031	18026.8281	15855.4893	18687.1406	19291.3418	14828.4629	22218.666	20296.5879	15285.5986	14387.6426	12811.0781	15793.8525	16079.8428	15093.5859	15901.8633	18553.1016	16205.0781	13913.6279	19778.248	12558.1367	16828.0996	18854.8145	19432.9297	17290.2422	18623.1992	15966.9746	17679.1133	18056.0742	16089.6025	13548.0889	16174.2207
0.934	14467.3037	19220.2109	18932.0449	23754.9902	17934.1582	15505.4639	23573.9707	16636.2949	17296.541	14753.9033	14228.4473	16964.5566	16469.3359	16403.6074	19440.8574	17674.8203	17938.4199	19963.8926	19876.541	18495.3535	14357.959	17091.1855	16838.7871	16578.6582	22653.293	15575.7266	21274.6484	13825.6807	15822.624	15646.1855	17409.4863	13569.0615	17611.7227	16920.4609	20551.8574	16109.9668	19153.748	21793.6875	17367.3574	15643.46	12070.8877	16286.2363	16221.5029	11746.8086	15213.1113	14081.1367	15015.7422	18466.2812	17648.9141	13694.7607	14777.5254	17395.791	15178.0537	11768.9551	18550.2695	14199.377	16490.0938	17987.75	13587.9482	22086.709	17442.4609	15004.9619	13218.2363	13370.8545	14325.8457	14595.6836	13679.7715	16407.8809	18232.7637	14771.0391	12498.6836	15878.0596	12309.3594	14515.0332	16396.2285	15814.1455	18085.7402	18010.4004	14267.7617	18225.9883	16191.2207	13895.9873	12684.2314	13833.8672
1.0674	13980.9287	17226.8633	17424.4316	19564.2422	17947.4434	14697.3926	19238.5957	14397.8018	16971.9688	14690.6211	13577.1377	16627.709	16145.2373	16826.5078	17901.2207	16605.584	17033.7109	20507.5879	17613.291	17164.418	14562.665	16637.4023	17477.459	16415.3047	20982.0996	15947.7754	18311.3301	13043.3945	14735.9902	16003.96	15129.2539	12467.2139	14586.876	16023.6348	19648.5625	14679.6299	18472.2617	19303.1465	17481.6641	15516.4043	12630.8086	14860.2324	14718.9131	11445.3584	15808.8086	13237.7012	13614.5078	18187.7812	16289.1387	12160.1689	13722.0361	17097.959	14956.5605	12294.8535	17364.4824	14214.3389	14830.4707	15264.8711	12432.7656	21660.6016	16707.9219	14133.2988	13219.2754	14920.2988	13324.9385	12551.2871	12473.5127	15881.6738	17985.123	13226.874	12060.6904	15560.6396	12173.208	14665.1436	15484.0586	14632.5566	18307.1133	15609.5615	14483.834	19217.4258	16796.127	13984.3193	12379.1572	11892.1211
1.2008	13631.1611	16804.0625	15428.3301	17223.6055	15471.707	14862.4648	18772.8613	16410.9727	15227.3115	15462.7959	13620.3848	18393.2207	15745.1855	15454.9902	15919.832	17222.0352	16695.2305	19251.4961	18420.5273	18769.3496	14541.1348	19658.0059	16991.4023	16233.0225	18422.8184	15571.0254	14344.6787	13046.4971	13742.75	16264.6631	14697.8916	12631.8496	15194.332	14556.5967	18015.9141	14481.3828	17228.4824	20668.1094	16726.3594	15841.8662	13153.6865	14788.9961	13101.0029	11656.0928	15690.4531	12697.0439	13095.458	15524.7256	15910.5977	12738.9355	12815.624	17896.0293	14760.0723	11879.4131	17846.1602	14192.3369	14864.2188	13736.249	12214.5508	19040.2012	17388.0215	13857.6738	13577.8486	14750.3242	14053.5713	11723.7158	12173.9287	14667.1943	17889.8047	12571.583	14180.9863	15180.9502	11585.6436	15082.3076	14564.2002	15020.7881	17356.0762	14422.375	15442.4404	18462.3672	16249.2881	16028.5625	12775.1953	10908.4336
