x	Y_20181208_15100_1_7g	Y_20181208_15100_10_2g	Y_20181208_15100_11_3g	Y_20181208_15100_13_3g	Y_20181208_15100_14_1g	Y_20181208_15100_15_4g	Y_20181208_15100_16_9g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_2g	Y_20181208_15100_19_6g	Y_20181208_15100_19_7g	Y_20181208_15100_2_3g	Y_20181208_15100_20_12g	Y_20181208_15100_21_8g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_23_2g	Y_20181208_15100_26_6g	Y_20181208_15100_27_1g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_32_5g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_6_2g	Y_20181208_15100_7_5g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_9_3g
1.8679	13402.5742	13266.9639	15305.2793	11334.1055	11765.2393	12795.9951	13289.25	11883.7617	13225.9639	14182.7061	NaN	12042.1143	12442.127	9941.7002	12486.666	NaN	13300.7998	12169.0361	13053.2012	14297.5361	11448.0283	12224.5723	11797.2393	NaN	12922.2012	15802.0615	14068.8682	12376.8125	12328.1582	12789.9277
2.0013	13619.457	12160.3418	14184.9824	11238.3262	11437.6826	NaN	12769.8066	12522.3564	12535.1738	13833.291	NaN	11627.752	11800.2998	NaN	12187.4785	NaN	NaN	11892.584	12069.0723	13248.3828	11530.7705	11454.749	12114.9346	NaN	12463.6494	14496.6377	13933.124	NaN	12061.6025	12356.2441
2.1347	13914.5752	11500.1016	13419.2119	11413.0732	11532.002	NaN	12929.2881	12502.3701	12448.4824	13667.7881	NaN	11207.3271	11841.2256	NaN	12637.1436	NaN	NaN	12116.7793	12326.9834	13429.7939	11185.4541	11734.2539	12097.7646	NaN	12375.7646	13696.4248	12742.5605	NaN	12550.8438	11656.6826
2.2682	13159.1611	11720.9482	13365.0635	NaN	10891.4795	NaN	12743.7734	NaN	12143.5264	12570.1748	NaN	11233.3193	12107.582	NaN	12926.4668	NaN	NaN	NaN	12242.1396	12912.6309	10930.7578	11168.0664	11454.0039	NaN	NaN	12872.6104	13319.2568	NaN	12779.4619	11692.3154
2.4016	NaN	11281.9326	NaN	NaN	NaN	NaN	NaN	NaN	11802.3564	12890.0254	NaN	11372.1494	11777.9229	NaN	NaN	NaN	NaN	NaN	11946.1094	12860.8486	10657.5186	10365.6611	NaN	NaN	NaN	13106.7334	12554.1152	NaN	12135.376	12291.3408
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12899.0254	NaN	NaN	11289.8115	NaN	NaN	NaN	NaN	NaN	11479.7227	12472.5967	10473.0137	NaN	NaN	NaN	NaN	13203.6436	12507.082	NaN	NaN	12572.541
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11353.0879	12279.3926	10259.6719	NaN	NaN	NaN	NaN	NaN	12438.5967	NaN	NaN	11991.1846
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12196.9902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
