x	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_15g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_10_7g	Y_20180130_15100b_11_12g	Y_20180130_15100b_11_13g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_12g	Y_20180130_15100b_12_13g	Y_20180130_15100b_12_16g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_13g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_4g	Y_20180130_15100b_13_5g	Y_20180130_15100b_13_9g	Y_20180130_15100b_15_10g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_15_8g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_12g	Y_20180130_15100b_16_1g	Y_20180130_15100b_16_4g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_4g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_24g	Y_20180130_15100b_18_4g	Y_20180130_15100b_18_6g	Y_20180130_15100b_18_7_1g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_7g	Y_20180130_15100b_19_8g	Y_20180130_15100b_2_2g	Y_20180130_15100b_2_5g	Y_20180130_15100b_2_6g	Y_20180130_15100b_2_8g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_12g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_1g	Y_20180130_15100b_20_2g	Y_20180130_15100b_20_5_1g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_20_9g	Y_20180130_15100b_21_1g	Y_20180130_15100b_21_7g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_14g	Y_20180130_15100b_22_6g	Y_20180130_15100b_23_10g	Y_20180130_15100b_23_8g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_24_15g	Y_20180130_15100b_24_7g	Y_20180130_15100b_3_14g	Y_20180130_15100b_3_5g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_4_22g	Y_20180130_15100b_4_6g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_15g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_1g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_6_10g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_16g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_12g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_2g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g
0	11205.619	13310.345	11744.3	11869.2	12504.521	13737.777	13081.144	12922.776	14106.851	14213.363	14220.154	12234.111	13849.877	12754.999	12855.655	13221.784	13109.888	14043.722	12519.725	13904.81	13347.229	12986.8	14922.235	12784.119	13420.114	12767.482	12605.716	12433.081	14380.064	11941.734	13248.478	12233.175	12938.357	14659.788	13815.114	13788.835	13320.958	12778.318	13208.753	12551.048	13971.641	13866.902	12687.105	13273.465	13418.499	13976.979	12077.105	12125.398	12364.4	12430.422	12955.361	13616.841	12620.468	11691.703	14136.266	14786.455	11439.128	13609.391	11651.999	11955.557	13097.294	11745.263	13840.026	12827.158	12704.6	12277.246	12987.314	12029.9	12169.35	15156.26	13695.183	12247.522	15001.153	14302.891	12727.458	15233.787	12095.612	12984.866	11395.324	13116.763	13993.633	11834.605	14215.258	12261.67	12871.107	15517.086	12803.476	13440.482	11828.425	14634.957	13746.343	14516.894	13329.646	12274.272	13194.844	11123.896	13740.494	13291.483	14682.481	12779.904	13053.914
0.1334	11146.308	13714.831	13152.863	12897.406	13021.057	14098.317	14220.612	14292.416	14703.944	14923.965	14288.127	12463.779	14105.034	12896.179	13677.584	14584.64	13787.938	13623.229	12627.194	14169.492	14320.29	14504.799	15780.147	13775.067	13196.66	12248.65	13692.002	12481.849	15396.213	12646.907	14340.131	13211.797	12800.019	14036.998	13388.028	14223.041	13588.743	14118.093	14550.075	13693.479	14979.443	13682.142	14293.675	13465.638	14373.358	14044.424	13052.778	13055.238	13014.331	13220.319	12286.938	13518.035	13638.98	12531.032	16560.82	15068.959	13644.44	13793.557	11427.151	12643.708	13145.335	12774.272	14494.018	13260.315	15130.603	12214.978	13452.811	12949.133	12475.231	16071.205	13035.127	12370.342	16737.006	14249.604	13709.672	15011.016	12430.731	13411.275	11492.787	12984.569	13666.776	11781.893	13842.809	12530.233	13327.131	16306.812	12495.642	13928.703	13097.789	17077.701	15609.225	15218.987	13598.776	12902.859	14141.802	11979.282	13979.449	13600.129	15934.938	14168.904	14563.717
0.2668	12308.519	14447.224	15803.495	13183.375	15171.948	16099.225	15060.854	16389.641	16198.646	17140.445	16072.62	12960.629	16512.633	14003.386	15522.925	17009.883	15498.16	14822.525	13258.048	14424.472	14792.046	18266.75	17378.129	13967.837	14235.567	12901.48	15243.861	13888.473	16123.277	14621.804	16409.801	14399.066	13199.806	15484.575	16007.213	14823.255	14794.686	15661.45	17093.627	15645.238	15653.579	15102.315	16160.921	13726.197	15858.024	14533.069	14173.428	13822.872	14245.59	14667.54	13536.414	13589.867	15251.297	13369.611	18757.488	16903.176	15890.837	15895.306	12282.911	14640.212	13644.656	14540.807	15189.44	15377.207	17750.857	12865.98	14321.666	13269.241	14252.813	20521.793	15056.115	14273.167	20144.596	15758.924	17235.502	14858.279	13720.188	14127.704	11567.178	14571.578	14075.284	12660.085	15471.311	13420.369	14624.722	20801.57	13744.254	15040.892	14466.213	19328.117	20077.037	17289.246	15402.207	14170.219	17252.26	14282.25	14456.316	15775.104	16671.068	15314.909	17044.627
0.4003	14174.113	15724.591	15077.807	14861.61	16964.764	19574.562	16220.059	18185.199	17993.732	21311.141	19861.822	13153.926	20002.57	17870.828	18858.486	17098.328	18064.297	17468.484	14693.574	17418.693	15953.766	22697	18139.922	15809.361	16435.172	14222.982	15788.638	16248.501	18594.834	17901.855	20679.16	16369.315	14255.572	17976.916	19001.273	17323.465	17232.307	16817.752	18229.838	18745.383	16824.484	19019.617	18109.273	14727.351	17663.895	16232.346	16759.361	16106.338	18669.977	16211.543	15663.049	14090.729	16766.117	15340.449	19004.842	18680.955	16745.426	18104.02	14657.321	16956.965	16353.134	17024.201	17124.512	17089.172	24275.654	14197.977	16032.998	14746.435	17021.881	24382.354	18043.186	16532.824	24128.752	20469.15	24275.787	15861.961	17574.709	17219.479	12975.696	16322.734	15664.68	15504.798	16672.104	16595.098	18242.496	27970.41	17046.869	16484.984	17138.924	17671.441	21778.498	21548.551	16824.129	16915.039	21209.25	15823.915	15844.166	19810.301	16983.361	16010.917	18328.961
0.5337	15024.923	15887.977	14193.692	15356.2	16842.637	19875.418	20350.436	20424.014	19092.104	23642.977	21322.631	16564.084	21051.127	18855.49	21568.793	16014.411	19664.25	20317.854	15748.739	19306.24	19876.307	23341.428	18807.48	19235.283	17330.971	14958.397	16263.691	16401.133	18886.096	19513.42	24244.777	16488.885	16907.531	20673.248	19583.211	19714.473	20354.934	15569.852	16180.265	19621.846	18371.672	20377.369	19978.914	17516.072	16151.513	18221.139	16227.91	19753.305	21390.223	17828.133	17736.711	17095.666	19526.555	14562.451	17254.16	21670.027	15420.636	17198.916	17145.033	16800.377	17624.371	19271.027	20499.051	19213.719	27376.699	16534.707	19567.873	16839.695	17360.381	24535.408	22753.605	15399.734	22560.506	23053.982	27336.988	16105.945	19376.785	20498.252	16539.059	20227	17902.203	18955.203	16554.486	17698.551	21934.936	28152.271	19451.02	19277.281	17856.77	16086.629	18968.66	28095.26	19694.91	19036.496	23716.365	15735.852	18003.203	27445.561	16215.513	15945.859	17678.172
0.6671	14846.101	14676.838	13917.642	15096.474	16080.946	17317.518	23085.125	19314.211	18440.336	21885.992	17288.301	16259.603	19300.461	16616.961	19767.125	15162.345	19374.613	21228.496	15963.074	18439.748	20907.059	20472.666	16434.4	23959.879	15895.485	16051.933	15291.866	14394.343	17716.758	18568.352	21980.479	15468.395	16448.234	20893.557	16303.98	19770.137	20414.797	13746.28	14330.69	19219.24	23140.4	19530.16	22758.195	19187.129	15349.888	19486.15	16445.115	20435.178	18952.699	16989.432	21132.73	19818.166	19905.867	13296.873	15151.617	20802.686	14996.02	14547.128	17800.111	15460.312	17465.365	19521.756	18942.719	18666.611	22833.725	17890.842	19367.279	17783.129	16410.113	21629.422	22848.941	13888.621	18730.646	23396.922	23847.752	14577.429	18081.016	20092.756	18742.885	21580.188	18067.039	18858.248	15298.476	16974.961	21284.682	24966.18	19009.328	17840.438	16063.193	14902.787	17227.416	27596.576	21691.328	18414.85	20430.807	15266.833	17891.992	33020.422	15387.84	16539.525	14526.849
0.8005	13037.544	13678.917	13673.875	14030.167	14811.207	16752.648	23130.186	17777.207	17485.344	19400.293	14638.018	15220.743	18612.682	14685.97	17667.031	13965.515	17659.654	20224.814	14419.437	14545.932	18621.668	16906.566	16453.416	21639.225	15500.991	14585.236	15712.395	12441.608	16390.191	15300.409	19244.301	14830.754	17636.48	19833.895	14590.787	17344.486	18505.619	14082.744	13637.357	17086.943	22217.297	18637.158	23633.801	16429.684	15304.664	17439.619	14790.343	18713.309	17625.141	16140.552	22126.814	20439.223	17169.068	12748.228	13688.657	19777.4	14188.628	13785.175	17292.953	13984.564	17093.217	17715.203	16678.516	16082.529	21425.434	16106.03	17450.545	15830.792	16818.635	19215.201	20341.232	13717.491	16041.695	20865.375	20570.791	14793.074	17407.625	18469.475	18329.896	21275.654	16453.721	18395.592	14480.392	16367.869	18623.102	22480.775	17839.74	16469.379	14481.47	13552.771	16228.441	23623.746	20227.043	16530.002	17302.422	14635.777	18455.637	31572.139	14944.688	16195.291	14819.356
0.934	12118.758	12337.937	13555.29	13452.085	14749.648	17203.203	22987.027	16707.102	15793.044	18243.355	13696.775	13604.95	19613.238	14328.888	17089.787	13165.853	15266.034	18633.207	13966.432	12899.884	16970.516	16003.5	16543.734	18642.402	13994.866	14446.466	16343.796	12264.278	15131.917	13547.978	17505.801	14970.521	18526.299	18545.99	15139.227	15270.688	18393.652	14211.135	13844.592	16221.101	20035.252	19820.035	19450.078	16479.492	14829.529	16343.397	13681.462	17383.049	15654.519	15544.844	18582.086	17962.168	17359.871	13091.522	14080.363	17831.543	14615.197	13324.077	15395.167	13930.494	15844.907	17659.354	15956.765	14820.817	19910.705	14768.928	15278.444	15202.847	18477.191	18369.811	18064.389	14015.533	14506.935	17040.787	17979.119	14995.245	16442.939	17745.109	15784.621	19222.945	13948.705	17307.986	14618.561	15629.338	16763.215	21338.873	15818.858	15734.704	13599.382	13910.462	15771.233	22989.971	16566.629	15196.101	16002.6	13793.912	17891.236	26939.238	15637.064	15287.173	14310.161
1.0674	11621.977	11832.897	14081.161	13759.72	14071.279	18912.844	20436.695	16021.074	14235.312	16936.318	13324.196	13307.948	18891.766	16044.879	17031.283	13083.138	15278.303	18069.238	13153.201	13080.942	15538.635	15765.441	16144.548	17210.406	13580.014	14073.659	15783.84	12821.817	14277.229	12845.019	16535.186	14202.873	19169.729	18308.633	13861.647	14972.104	16567.703	12559.68	12942.324	16423.352	18065.793	19271.049	16668.695	15611.282	13315.501	16497.588	12776.319	17103.682	15006.568	15276.85	14850.347	16885.564	19178.408	13758.164	13615.837	16653.842	14682.555	13352.493	14400.64	13623.734	14664.57	17969.346	15446.821	13837.898	19869.102	14421.143	13705.412	15503.575	18255.699	18486.654	17143.197	14045.553	14242.383	15528.129	18082.758	16894.598	15384.505	16602.404	15404.887	18390.871	13437.769	16056.135	14250.424	15159.155	14274.87	20662.801	15421.6	15085.523	13972.325	13687.284	15260.172	22083.389	15129.659	15329.828	15770.429	14261.822	18522.129	23812.773	15178.906	14824.086	13926.048
1.2008	11879.092	13219.344	13639.706	15288.716	14128.748	18734.273	19680.203	14364.25	13927.624	17773.637	13788.85	14313.168	17903.088	18261.062	17021.42	13459.183	15221.017	18859.883	12113.084	12502.05	15417.103	13372.419	16471.117	16315.741	13705.508	14327.159	14437.092	13938.107	14101.707	13408.287	15860.313	13110.296	18026.781	18141.504	12824.426	15030.312	16431.201	12329.544	13468.745	17696.93	17016.619	17262.459	15855.62	16117.296	13265.627	17624.992	12352.205	16871.156	13066.743	14569.901	13414.993	16601.512	18122.57	12986.864	13320.645	16449.121	15130.592	13256.546	14464.217	13887.133	13802.392	18727.34	16709.938	13658.181	17981.078	13848.849	13233.55	15565.087	16914.592	17829.703	15638.762	14976.639	13072.672	15384.928	18582.699	17277.18	16706.902	14912.852	16302.906	17498.318	13006.955	16198.129	14385.512	15054.186	13810.265	19630.496	16100.164	16899.334	15295.517	13963.701	13620	20800.471	14558.423	14145.971	16159.155	13867.687	20092.551	21514.164	15813.5	13629.878	14187.84
