x	Y_20181208_15694b_1_5g	Y_20181208_15694b_6_3g
0	29691.8809	29060.0938
0.1334	30260.6016	29331.6543
0.2668	30226.2949	28190.873
0.4003	29904.75	28351.4609
0.5337	29250.0918	30003.2168
0.6671	29646.8496	29768.1582
0.8005	30519.5547	28895.6758
0.934	29483	30223.8828
1.0674	29744.0195	30177.918
1.2008	29921.3496	29428.0879
1.3342	30405.7051	29955.3867
1.4676	30471.5977	30239.4746
1.6011	30146.5508	30535.9805
1.7345	30011.4512	29686.4727
1.8679	29452.3242	29914.5859
2.0013	29595.0137	29920.4062
2.1347	31622.3281	31531.0488
2.2682	32415.4023	31601.7129
2.4016	32359.4414	31803.0156
2.535	32936.2695	34334.7188
2.6684	31828.4219	38850.793
2.8019	32441.2773	50501.832
2.9353	35462.7461	66016.4062
3.0687	41171.6328	67543.9062
3.2021	55734.8516	53183.7422
3.3355	72636.6875	40128.6328
3.469	71846.4766	34123.4375
3.6024	54456.3984	32709.1133
3.7358	41557.3633	32272.2383
3.8692	36342.082	31881.2051
4.0027	33210.1641	NaN
