x	Y_20181208_15693_10_9g	Y_20181208_15693_5_8g
0	11084.4658	11286.542
0.1334	11518.0137	13748.9775
0.2668	13126.7432	12886.4316
0.4003	15069.3027	12359.4736
0.5337	16734.0938	12701.3262
0.6671	16353.5107	13199.2988
0.8005	16407.6582	13542.8965
0.934	16517.1211	14427.292
1.0674	17091.3438	13667.5234
1.2008	17364.1309	13351.4453
1.3342	16165.7764	14007.5215
1.4676	15849.2842	13840.3389
1.6011	16867.1328	13953.2559
1.7345	16382.5166	13986.7773
1.8679	15596.0889	14686.2588
2.0013	15953.9512	15040.915
2.1347	16202.7002	14978.9951
2.2682	16269.377	15117.1152
2.4016	15447.9629	14526.4805
2.535	14936.4561	15038.7832
2.6684	14317.9199	15089.7295
2.8019	13587.6934	14415.877
2.9353	13150.335	13802.2695
3.0687	14485.6064	12848.5801
3.2021	14446.752	12182.6953
3.3355	14775.7871	11276.5488
3.469	15404.3604	10933.2783
3.6024	14558.7432	10772.3701
3.7358	13449.0342	10418.8662
3.8692	12358.9873	NaN
4.0027	11562.4414	NaN
4.1361	11081.3477	NaN
4.2695	10769.7246	NaN
4.4029	10015.9307	NaN
4.5363	NaN	NaN
4.6698	NaN	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
5.4703	NaN	NaN
5.6037	NaN	NaN
