x	Y_20181208_15692b_13_2g	Y_20181208_15692b_14_4g	Y_20181208_15692b_2_6g
0	23789.9746	28141.1328	28882.2852
0.1334	25182.2051	28273.5742	28245.8887
0.2668	25638.4668	29413.6738	28651.1172
0.4003	25759.3223	30312.7656	28879.2168
0.5337	26647.377	29635.3242	28396.7578
0.6671	25938.8398	28644.8242	28051.1699
0.8005	25570.5	28859.1699	30678.8594
0.934	26227.416	29367.8164	30985.5625
1.0674	24824.1367	29947.1387	32377.6035
1.2008	26464.4668	31233.373	31171.3594
1.3342	26595.375	30754.0801	29371.1133
1.4676	26081.9062	30869.0684	30843.209
1.6011	26328.9746	30680.5176	31306.7344
1.7345	25820.9844	30407.4277	31539.6367
1.8679	25885.3223	30089.7461	30460.2949
2.0013	25352.8184	30113.3984	30413.1777
2.1347	25384.3633	31267.3574	30101.6836
2.2682	26052.0273	32433.7871	29841.1562
2.4016	26478.8203	33284.3906	30625.6348
2.535	26619.0293	33510.6016	29643.6738
2.6684	28902.7559	35942.9453	28943.0781
2.8019	35419.1562	43953.6406	29321.0605
2.9353	51259.707	65109.8125	29716.1699
3.0687	69417.4609	94718.3672	32346.5117
3.2021	67640.9375	94920.4062	37471
3.3355	53870.7031	68557.0234	50250.0352
3.469	38391.4102	48442.543	58627.418
3.6024	31334.4316	38168.5352	52397.2734
3.7358	28210.7012	34115.3242	42390.668
3.8692	27090.207	33144.8242	35887.3633
4.0027	26759.373	33228.2227	33758.4727
4.1361	25242.1406	32125.7246	32128.3555
4.2695	NaN	NaN	NaN
