x	Y_20181208_15692_32_7g	Y_20181208_15692_34_3g	Y_20181208_15692_36_3g	Y_20181208_15692_40_4g	Y_20181208_15692_44_11g	Y_20181208_15692_45_12g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_7_1g	Y_20181208_15692_8_10g
0	29609.3984	30320.1855	30429.4492	30523.3867	30005.2129	28972.2441	25852.0117	23630.7734	24891.8984	32036.6055
0.1334	29329.0195	31192.916	29419.7793	30604.7617	28724.1445	28563.1055	26109.3711	24251.4082	23467.2969	32097.9336
0.2668	29066.2227	30542.4668	30039.9766	31593.7871	29426.5488	30371.3145	25713.6211	26073.1055	25297.6582	32188.748
0.4003	28887.4688	30347.2285	30947.4277	31625.5762	31099.3574	29965.748	25474.3809	25637.1387	26378.4531	33154.5234
0.5337	30574.4023	30638.748	29982.8965	31458.541	31256.7383	30843.9004	27323.625	26216.8145	25569.6895	32191.3125
0.6671	29388.125	31425.5059	29722.5781	30080.6484	30779.043	31845.3359	27062.5664	25314.6133	26303.3223	30559.5703
0.8005	31672.209	30822.4688	30365.377	30581.3359	31524.4238	31457.6504	26556.2637	27435.4805	26133.0195	31256.2871
0.934	30534.4473	30778.2441	31158.8965	30255.4355	31941.0039	31586.877	26916.6816	25559.9609	27017.3691	33161.6055
1.0674	31340.3066	31508.0508	30765.3867	31437.584	32167.582	32073.1133	27892.7285	26606.0508	25745.6699	33037.7656
1.2008	31997.1484	31100.7246	29469.6523	31501.625	31965.1953	31410.2656	27674.3477	27929.8262	26825.748	36686.3984
1.3342	33117.5352	31141.3477	31745.8594	31439.6426	32124.1367	33016.1953	30951.0117	29018.5137	28261.6309	41575.1719
1.4676	36393.4922	33903.207	32451.3887	32036.1758	32444.0527	35376.625	36860.6797	31036.8945	29782.3652	52906.4023
1.6011	42610.9961	38631.2227	32296.4863	32440.5801	35215.8125	39718.0781	56510.1445	35309.9961	31921.9785	53552.0586
1.7345	55801.9375	52894.4922	33499.4805	34815.4648	43932.9961	54235.5547	75846.5469	48216.207	38408.3867	44778.3008
1.8679	57651.7656	62432.4453	39230.0508	37620.7109	60819.9922	73989.2188	77226.6797	60385.4805	53005.1758	38065.3281
2.0013	46139.2656	56316.9453	47695.7031	42174.5	74904.5312	75467.4766	55655.5195	54718.2852	58704.7148	35384.4219
2.1347	37676.4531	42735.5234	49831.7109	44755.3047	64606.2734	53202.8398	38459.2695	40806.4805	49454.4531	32711.3379
2.2682	32303.8027	38344.3906	41963.9609	40258.0469	48119.2734	42139.1641	33035.832	31278.5918	36441.8281	NaN
2.4016	30562.7148	37302.4883	35704.7422	38454.9531	39866.3711	37197.7148	30587.3652	28995.7031	29572.5312	NaN
2.535	30108.002	NaN	31695.0645	35583.9375	38707.1211	33808.2656	NaN	NaN	28382.8203	NaN
2.6684	NaN	NaN	NaN	32411.1758	NaN	NaN	NaN	NaN	28247.4746	NaN
2.8019	NaN	NaN	NaN	31732.9492	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	32702.4922	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
