x	Y_20181208_15693b_10_15g	Y_20181208_15693b_11_15g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_6g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_5_11g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_15g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_5g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_6g	Y_20181208_15693b_9_14g
0	31204.0938	29782.0977	26167.4375	29882.6934	29209.6543	32392.1699	29991.1562	30600.3867	26193.1973	30589.4609	27859.082	27347.0879	28393.1562	30669.2246	29356.2129	29657.7344	33986.5508
0.1334	30698.0391	30636.6328	25435.8047	31447.0371	30358.8652	32853.2812	31088.0215	31491.6211	26471.2383	30991.3691	28885.9805	28026.0898	28937.0996	32835.1758	30098.7168	28805.7148	34657.8633
0.2668	31201.5977	30861.4258	27927.7871	30792.5703	29063.6094	32195.1387	29516.4434	30528.5898	27335.4082	31210.8418	28665.8652	27300.0059	28496.5215	32123.6348	27943.8691	29083.2949	34380.8359
0.4003	31558.8047	31628.2754	27031.4609	31126.498	27324.5098	32292.6719	30251.9473	32315.2656	26999.7266	32746.75	29339.3125	27072.6543	29899.9297	33297.9883	28585.0742	28141.3672	34730.6328
0.5337	31264.5117	32627.7734	26369.6504	31246.6484	30119.0957	32688.7207	30254.3867	31949.1367	27615.1367	33325.9805	29077.5723	27590.7168	28945.5859	33311.668	29583.8438	29033.0938	35614.5469
0.6671	31147.7578	31965.6836	25777.1211	32474.5781	29266.6816	33146.8398	31939.0469	30653.291	27113.6738	32560.6543	29668.1465	26147.3555	28629.4648	34811.7383	28719.127	30280.2715	35220.6484
0.8005	32456.209	31579.498	26186.0469	30354.9609	27756.2441	32561.0586	32602.7715	31343.5469	26724.3281	33263.4453	29332.1016	28404.5391	30246.373	33314.3828	28671.0918	30611.498	35645.3008
0.934	31918.2754	30433.7656	26572.2246	30381.7852	29520.9727	33126.8867	34533.4453	30824.6602	26412.7578	32481.2461	30343.5605	27515.8008	28707.457	33534.6875	29157.2578	30254.8398	36209.1211
1.0674	31855.4805	31452.834	26896.4531	31812.9766	28960.334	32183.6426	32504.9824	31658.584	26451.791	32037.293	30451.6387	27922.791	29472.1621	34364.5156	29583.709	30382.1426	34417.7734
1.2008	32131.2891	32695.916	27798.1484	31513.8418	29899.6055	33658.9297	32721.3301	31983.4395	27369.1406	32519.9121	29474.9922	29083.4668	30949.793	34812.3359	30316.7695	30009.1699	33623.1719
1.3342	32216.8887	31584.4082	28092.5371	31236.5488	30229.3574	32911.6602	31518.9707	33806.1211	27751.3535	33514.8594	31754.0215	29423.25	30200.5762	34487.2734	30521.916	29715.7441	34543.6875
1.4676	32816.7383	31167.7773	28585.9395	31096.9023	29234.873	33785.9023	34075.3867	33032.6992	28562.5762	33837.3789	29700.4121	28773.6328	30634.0273	34311.2188	29284.9141	29259.125	33915.168
1.6011	31736.1582	30852.2383	27971.2734	30467.5605	30944.5234	33739.7344	34674.3711	33566.5078	27029.7617	32297.8125	30690.584	29301.9629	30606.0059	36080.0742	28937.9805	31155.2617	33512.9062
1.7345	31685.0977	30287.6875	30318.125	31085.9492	30468.1582	35508.6523	32978.1562	33106.2539	26953.0391	33266.9336	32127.9629	30188.5098	30427.5	35051.5156	29266.7441	31566.2949	34817.0859
1.8679	31484.2617	31280.3574	33196.207	31951.8711	30216.6797	35663.7461	35004.4844	34008.8281	27566.2715	33365.6719	31350.375	30394.5234	31881.707	35518.6836	29935.5	30590.6309	33246.2773
2.0013	33110.293	31859.3359	44438.9688	33011.1758	30608.4824	36482.2266	35447.6992	38434.1797	28273.8926	32580.5391	32015.3574	31202.8672	32194.8887	36045.6016	30137.2598	31397.0645	34730.9844
2.1347	31551.3652	32030.7441	68827.5938	39812.2422	33893.4609	37525.3008	37163.8164	47907.9375	29692.0547	33969.4375	32888.9297	33664.9961	34470.0312	35902.3516	30818.4316	30859.5898	35041.9805
2.2682	32453.9004	35851.7734	87430.3516	51234.5469	34776.1719	42370.4766	41146.7852	52786.6211	30473.791	36343.2773	34028.7773	39974.7539	38189.8242	35785.2266	32155.7715	31039.7168	39705.8633
2.4016	34118.0469	45603.8398	77409.2266	68120.7031	42049.918	52888.9531	52036	45010	32479.2578	36670.9531	33508.2266	50348.4961	50406.7344	38208.7656	37034.9141	30835.6582	51249.2734
2.535	35813.1367	60278.1641	52628.2344	77541.8047	58290.9844	80832.3672	65486.3867	37964.6875	37649.3555	47335.7305	37542.8047	46475.75	72112.2188	38467.6523	43187.8125	32287.4785	74956.2344
2.6684	40306.25	65773.0859	39409.2148	59034.8164	76007	112383.3594	66847.1797	32597.6621	41600.5703	56408.4922	49091.2656	35315.4258	73572.6641	42487.1641	41455.0781	32387.1641	107985.6406
2.8019	49670.8594	51455.2812	37664.9023	42462.1953	70446.125	94601.3438	52935.9414	31070.3359	42523.1914	53394.7695	56659.4648	29627.123	52350.1055	51023.582	34378.5703	33548.0898	112843.8594
2.9353	65082.3594	38536.2773	39640.3164	36794.6992	50474.8867	61771.3086	43729.9492	NaN	36604.3203	42819.4141	47568.0625	29229.8438	40668.1797	50319.543	32841.6875	32852.4453	80233.7266
3.0687	63820.25	36724.5547	NaN	33531.9727	39313.6953	44563.2812	39602.2188	NaN	32434.7871	37096.1172	39047.1055	26816.6484	36237.8438	43767.457	34002.2227	36272.3203	52717.2617
3.2021	50755.7031	NaN	NaN	34093.8945	34668.0664	37988.1367	39863.6367	NaN	31478.293	34221.0039	35986.8438	NaN	33811.8672	38647.9453	NaN	42164.3555	39695.2578
3.3355	39515.3438	NaN	NaN	NaN	33303.5703	34928.8555	NaN	NaN	29900.1855	32773.793	34777.2305	NaN	35449.3984	37098.0742	NaN	60732.6367	33677.1055
3.469	36917.3516	NaN	NaN	NaN	NaN	35364.5469	NaN	NaN	NaN	34155.1094	33613.2148	NaN	NaN	36414.9219	NaN	90491.6094	31773.7266
3.6024	34636.7109	NaN	NaN	NaN	NaN	32912.4219	NaN	NaN	NaN	NaN	32378.9141	NaN	NaN	36978.4219	NaN	102577.0391	NaN
3.7358	33284.1406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75447.4688	NaN
3.8692	33120.7891	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48640.0156	NaN
4.0027	31999.1328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40116.1289	NaN
4.1361	32439.3809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35626.2773	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34124.207	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32320.4355	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
